Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,857312419.0,3513.71854709897,,6.06300309718189,,0.41183438663193,Post-demographic dividend
1973,864799662.0,4205.57306430121,,8.09443961602792,,0.447102179707965,Post-demographic dividend
1974,872040235.0,4657.73892138441,,13.1636026120795,,0.564632633314399,Post-demographic dividend
1975,878923921.0,5178.01124361524,,11.687575365504,,0.389311033726187,Post-demographic dividend
1976,885095643.0,5579.60400985969,,9.26775457576897,,0.322950732675268,Post-demographic dividend
1977,891148506.0,6265.24985596956,,9.29919719175362,,0.38295430120619,Post-demographic dividend
1978,897250576.0,7476.96583572754,,8.08329882588529,,0.391847502477892,Post-demographic dividend
1979,903640940.0,8535.84885041796,,9.04920959425406,,0.458580004734551,Post-demographic dividend
1980,909780809.0,9388.38730695693,,11.9499716626145,,0.575699583053022,Post-demographic dividend
1981,915881806.0,9431.26934770428,,11.7673874344182,,0.584225723346263,Post-demographic dividend
1982,921481239.0,9332.86447444932,,9.47098932052414,,0.498408677226624,Post-demographic dividend
1983,926626734.0,9631.66240595903,,7.31048579668417,,0.429940259930169,Post-demographic dividend
1984,931426792.0,10013.8267886379,,6.19476379545978,,0.478557825286743,Post-demographic dividend
1985,936237496.0,10490.4567432023,,4.77374272340098,,0.325898909243394,Post-demographic dividend
1986,941302405.0,12748.9693927043,,3.15909729451934,,0.590610984277756,Post-demographic dividend
1987,946544990.0,14699.864170894,,4.06651115944105,,0.92934910454399,Post-demographic dividend
1988,952006529.0,16464.3926480239,,4.68620183753046,,0.939717212497754,Post-demographic dividend
1989,957909363.0,17089.900837594,,5.71599155135626,,1.09121640478338,Post-demographic dividend
1990,964048985.0,19060.3281514935,,6.09844414810207,,1.17328791617123,Post-demographic dividend
1991,971176019.0,19964.1366797101,,5.62586408593004,6.30342858967574,0.728816801967127,Post-demographic dividend
1992,977958696.0,21277.8025178217,,4.03703020778741,6.90974371827122,0.666853505087788,Post-demographic dividend
1993,984265557.0,21281.107534027,,4.14481954180491,7.48651730763916,0.781964404599437,Post-demographic dividend
1994,989907298.0,22749.5988671729,,2.95340936761076,7.49826568384512,0.82603326258323,Post-demographic dividend
1995,995212216.0,25096.7430557087,,3.75494413677554,7.37900214196111,1.04189613392212,Post-demographic dividend
1996,1000693857.0,25077.4216144776,,2.61538461538462,7.55544167748768,1.12952477609169,Post-demographic dividend
1997,1005936747.0,24457.3328086437,,2.20114313510882,7.35616622831062,1.43580866863111,Post-demographic dividend
1998,1010875500.0,24443.3143833238,,1.83432999908412,7.38356866971576,2.44378338931263,Post-demographic dividend
1999,1015710581.0,25545.0485881307,,1.6117611762866,7.11499892739429,3.81659044087675,Post-demographic dividend
2000,1020793420.0,25861.0000013795,2477.18267765368,2.57987611218612,6.53577798666909,5.04649886175569,Post-demographic dividend
2001,1025680403.0,25487.8821218049,2570.61180441149,2.65691093929316,6.37243450299936,2.63914944548827,Post-demographic dividend
2002,1030818658.0,26453.2238308344,2789.78920836023,1.99874921149352,6.76098594541882,1.98598520595204,Post-demographic dividend
2003,1035935060.0,29511.174146187,3172.27694376191,2.02168542857985,6.84490389302611,1.65106385692495,Post-demographic dividend
2004,1041241254.0,32625.4279406154,3497.76360666304,2.0792446463609,6.65582414204207,2.14521030334312,Post-demographic dividend
2005,1046468599.0,34155.2852944615,3686.82569863281,2.37531958977879,6.35666572288065,3.2447768399128,Post-demographic dividend
2006,1052106032.0,35742.5425175519,3889.19576954869,2.45792444195864,5.94111044918845,4.29490330825271,Post-demographic dividend
2007,1058252873.0,38784.3634932165,4222.75368310898,2.32761128891476,5.52691607132261,5.67971690699776,Post-demographic dividend
2008,1064631968.0,40837.1603829801,4515.7721161018,4.15279708110295,5.86479443803505,3.74862859303684,Post-demographic dividend
2009,1070085408.0,38248.7923385649,4589.8432341435,0.83926224679384,8.0143127561493,1.77568831775455,Post-demographic dividend
2010,1075046427.0,39710.7654338051,4741.9561105983,1.99621236745889,8.28996444503882,2.45491481625892,Post-demographic dividend
2011,1077987051.0,42530.4301945737,5101.79894345556,3.3298532335065,7.99801030175779,3.0142373030599,Post-demographic dividend
2012,1082488958.0,42286.9172434272,5123.39632820228,2.48567562177017,8.05298928535951,2.30283475313407,Post-demographic dividend
2013,1087230525.0,42520.7968500268,5155.86128113533,1.40858109183012,7.96175897924453,2.43935714152716,Post-demographic dividend
2014,1092179620.0,43165.5514844553,5307.28631655313,0.906797948515676,7.43814615960043,2.03194718894795,Post-demographic dividend
2015,1097061415.0,40638.3758095101,5147.71465048208,0.368046842325369,6.8660955478293,3.55672505235276,Post-demographic dividend
2016,1102020063.0,41369.9337219357,5329.07841431,0.607397074641661,6.40342414907525,4.10459944335915,Post-demographic dividend
2017,1106214534.0,42968.4478075775,5514.63941583023,1.73079959118897,5.83559902020152,3.01910078959527,Post-demographic dividend
2018,1110126741.0,45382.3069254991,5797.12637602503,1.73860861988181,5.2902558691901,0.473370494762221,Post-demographic dividend
2019,1113310738.0,45700.938132739,5919.04678462361,1.61963190184049,4.94093121435134,1.97003359991388,Post-demographic dividend
2020,1117443485.0,44474.5497503182,,0.632267331911676,6.70277433662697,1.13350575181858,Post-demographic dividend
2021,1116796245.0,49223.5950344334,,2.51837109614205,5.77739699766455,2.09368334745687,Post-demographic dividend
