Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,254807021.0,195.255637549457,,,,1.095020172494,Pre-demographic dividend
1973,261772896.0,233.463761372696,,,,1.1350367614169,Pre-demographic dividend
1974,269215218.0,321.951267319538,,,,0.670991994038247,Pre-demographic dividend
1975,277019356.0,357.44975112095,,,,0.705831334542981,Pre-demographic dividend
1976,285016249.0,407.454022765276,,,,0.80620193518415,Pre-demographic dividend
1977,293346289.0,438.048874197134,,,,0.603433975536691,Pre-demographic dividend
1978,302442287.0,473.216587183733,,,,0.579086876553647,Pre-demographic dividend
1979,311978056.0,579.022271734862,,,,0.584747896129024,Pre-demographic dividend
1980,320890339.0,693.798181719724,,,,-0.0113156150592655,Pre-demographic dividend
1981,328651565.0,941.606046264103,,,,0.329574601700439,Pre-demographic dividend
1982,336918508.0,859.412336924079,,,,0.348081993894241,Pre-demographic dividend
1983,346223339.0,669.228917573115,,,,0.292504527744678,Pre-demographic dividend
1984,356024795.0,595.989822995471,,,,0.215328996692341,Pre-demographic dividend
1985,366116135.0,584.552283126494,,,,0.659038963140549,Pre-demographic dividend
1986,376136620.0,548.103290125616,,6.18477854456931,,0.209259249052061,Pre-demographic dividend
1987,386270164.0,584.756791415884,,8.15234253800876,,0.574897681782435,Pre-demographic dividend
1988,396251031.0,597.949821129665,,9.31063652987079,,0.336524761509197,Pre-demographic dividend
1989,406731853.0,589.82019352734,,8.27501608751591,,1.03042710726677,Pre-demographic dividend
1990,417144782.0,942.277999528654,,6.6002256487402,,0.182455763023703,Pre-demographic dividend
1991,427363888.0,484.996846612559,,8.5926476049019,5.00393949582061,0.80781322103465,Pre-demographic dividend
1992,439447569.0,373.312827879072,,9.48654250617164,5.01218978457374,0.927204482761468,Pre-demographic dividend
1993,453282283.0,322.28909981978,,7.91707419362651,5.00249084855084,1.91315970150354,Pre-demographic dividend
1994,468345219.0,290.549642386068,,34.6496361508323,4.95962924244623,2.09892704624098,Pre-demographic dividend
1995,483031809.0,359.346406457888,,16.4335034524163,4.8728682490108,1.24596280702119,Pre-demographic dividend
1996,495937962.0,388.211738952065,,7.19164660433345,4.83996452086331,1.2364282630866,Pre-demographic dividend
1997,508962926.0,416.773610472856,,6.87063927616146,4.8154539694907,1.28603550299158,Pre-demographic dividend
1998,523022619.0,418.633887116786,,6.46522629708624,4.78227020737764,1.81017718115045,Pre-demographic dividend
1999,537918075.0,445.031828575724,,3.81237205366022,4.79604675881135,3.11790967730146,Pre-demographic dividend
2000,553089230.0,501.32993059451,17.8512352688087,4.16540442290282,4.80900649184226,1.71019307313351,Pre-demographic dividend
2001,568734640.0,463.674658400093,17.701396729408,5.07745045522497,4.78589492065907,2.85012573158011,Pre-demographic dividend
2002,586023563.0,517.775098662606,18.4186766944256,4.37875971780872,4.78234222411888,2.79748250467718,Pre-demographic dividend
2003,604077372.0,546.52393821994,25.8682776271203,5.22773386139679,4.79939931590746,3.93372245824959,Pre-demographic dividend
2004,621974508.0,661.980677741513,31.1121979019347,4.10703593955402,4.73318385976189,2.61044358461227,Pre-demographic dividend
2005,640493810.0,802.974678731543,35.3171335342837,7.7974978178644,4.69726849259178,2.37438137636359,Pre-demographic dividend
2006,659115651.0,986.045907756398,41.9571569170192,6.69526465773352,4.69172509100419,2.06264361941791,Pre-demographic dividend
2007,677333522.0,1161.53164623828,48.630078875924,5.99590755876369,4.63004606124302,2.47949749875056,Pre-demographic dividend
2008,697003893.0,1409.21767078223,57.4977353056271,10.2876847921194,4.61121135853858,2.57698642067841,Pre-demographic dividend
2009,718121906.0,1250.39328691504,54.2496581650748,4.56150687670986,4.64268798869421,2.87604667924473,Pre-demographic dividend
2010,739525992.0,1427.81413333018,56.2622182893502,3.9765528847817,5.03978098911543,2.45938317890626,Pre-demographic dividend
2011,761717101.0,1615.10635563388,63.0622415132423,6.42939681072336,5.01074430497577,2.68669053736326,Pre-demographic dividend
2012,784822780.0,1703.42984591239,64.8421241100273,6.44121280934118,4.97229612698006,2.76357529564947,Pre-demographic dividend
2013,808542070.0,1813.79619346271,71.7288158054478,4.63161619729463,4.83245087781394,1.5879055194171,Pre-demographic dividend
2014,832469778.0,1870.79868539774,73.0496973258651,3.30503762552984,4.86409854876911,1.23596806009163,Pre-demographic dividend
2015,856420253.0,1550.79861230615,67.2932537599412,3.39423137842914,4.96518856597575,2.04797788865881,Pre-demographic dividend
2016,880891473.0,1385.87403657936,63.098757385107,4.66466235810214,5.02667519819382,0.950459191947604,Pre-demographic dividend
2017,905987912.0,1436.42070384297,65.5790901729317,4.9759515055383,5.26852776297268,0.78933840851834,Pre-demographic dividend
2018,931467165.0,1455.85975716881,59.5495720100389,2.96760366004454,5.30521147452203,0.624157124405098,Pre-demographic dividend
2019,957503246.0,1463.30658635794,60.0209775932115,2.37758732789788,5.41674715769594,0.711667277010535,Pre-demographic dividend
2020,984213438.0,1337.46415333973,,3.3018067617141,6.12167710345744,0.853623939280748,Pre-demographic dividend
2021,1011043183.0,1418.59332595843,,4.97392558334744,5.91665918582717,1.37054779561107,Pre-demographic dividend
