Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2817256.0,2246.4767135113,,,,,Puerto Rico
1973,2878786.0,2432.41421904928,,,,,Puerto Rico
1974,2939299.0,2614.50094053038,,,,,Puerto Rico
1975,2994000.0,2738.24315297261,,,,,Puerto Rico
1976,3043854.0,2946.46195251152,,,,,Puerto Rico
1977,3088690.0,3208.77135614128,,,,,Puerto Rico
1978,3129421.0,3567.7526290007,,,,,Puerto Rico
1979,3168088.0,4024.50942019287,,,,,Puerto Rico
1980,3206000.0,4502.8384279476,,,,,Puerto Rico
1981,3242552.0,4920.72293674859,,,,,Puerto Rico
1982,3277453.0,5115.00851423346,,,,,Puerto Rico
1983,3311138.0,5217.72272856039,,,,,Puerto Rico
1984,3344190.0,5730.11700890201,,,,,Puerto Rico
1985,3377000.0,6008.05448623038,,,,,Puerto Rico
1986,3409554.0,6455.18446107614,,,,,Puerto Rico
1987,3441850.0,6980.49014338219,,,,,Puerto Rico
1988,3473898.0,7595.44465611829,,,,,Puerto Rico
1989,3505650.0,8033.08944133042,,,,,Puerto Rico
1990,3537000.0,8652.50749222505,,,,,Puerto Rico
1991,3562110.0,9064.01851711486,,,16.1800003051758,,Puerto Rico
1992,3585176.0,9659.33889995916,,,16.9300003051758,,Puerto Rico
1993,3615497.0,10212.2767630564,,,16.9099998474121,,Puerto Rico
1994,3649237.0,10876.4188239898,,,14.6000003814697,,Puerto Rico
1995,3683103.0,11579.1849969985,,,13.9300003051758,,Puerto Rico
1996,3724655.0,12173.163688986,,,13.6400003433228,,Puerto Rico
1997,3759430.0,12817.6449621352,,,13.8000001907349,,Puerto Rico
1998,3781101.0,14304.4049868015,,,13.460000038147,,Puerto Rico
1999,3800081.0,15220.9913420267,,,11.8100004196167,,Puerto Rico
2000,3810605.0,16192.1269719638,,,10.0799999237061,,Puerto Rico
2001,3818774.0,18123.1987019918,,,11.3999996185303,,Puerto Rico
2002,3823701.0,18731.4593897378,,,11.9399995803833,,Puerto Rico
2003,3826095.0,19557.1202492358,,,11.7799997329712,,Puerto Rico
2004,3826878.0,20988.9923326534,,,10.3100004196167,,Puerto Rico
2005,3821362.0,21959.322696986,,,11.3500003814697,,Puerto Rico
2006,3805214.0,22935.9411586313,,,11.0100002288818,,Puerto Rico
2007,3782995.0,23664.8823485096,,,10.9300003051758,,Puerto Rico
2008,3760866.0,24898.3345857045,,,11.4799995422363,,Puerto Rico
2009,3740410.0,25768.7258883384,,,15.0,,Puerto Rico
2010,3721525.0,26435.74878578,,,16.1000003814697,,Puerto Rico
2011,3678732.0,27278.8830499205,,,15.6999998092651,,Puerto Rico
2012,3634488.0,27944.7338937424,,,14.5,,Puerto Rico
2013,3593077.0,28513.1657351067,,,14.3000001907349,,Puerto Rico
2014,3534874.0,28981.4573305866,,,13.8999996185303,,Puerto Rico
2015,3473232.0,29763.4883013861,,,12.0,,Puerto Rico
2016,3406672.0,30627.1634017011,,,11.8000001907349,,Puerto Rico
2017,3325286.0,31108.7605697675,,,10.8000001907349,,Puerto Rico
2018,3193354.0,31615.0667918433,,,9.19999980926514,,Puerto Rico
2019,3193694.0,32916.866800639,,,8.30000019073486,,Puerto Rico
2020,3281538.0,31393.9073690446,,,8.89000034332275,,Puerto Rico
2021,3263584.0,32640.710335631,,,7.90000009536743,,Puerto Rico
