Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,148338.0,3439.84643665463,,,,0.0019597854352196,Qatar
1973,163734.0,4848.62257100197,,,,0.166271065804984,Qatar
1974,179299.0,13393.2884591707,,,,0.540100881509267,Qatar
1975,195043.0,12883.2310484266,,,,0.362944040508676,Qatar
1976,210990.0,15566.1468893764,,,,0.00608957521771203,Qatar
1977,227177.0,15924.0599698057,,,,0.0558384307766962,Qatar
1978,243624.0,16632.1889990349,,,,0.219891389252377,Qatar
1979,260368.0,21634.7643259694,,,,0.0811290563108489,Qatar
1980,277450.0,28218.0378917672,,6.79999999900016,,0.138457900124267,Qatar
1981,294887.0,29371.4669135508,,8.52059925101626,,0.04364259077095,Qatar
1982,312608.0,24301.0518421976,,5.6999999999998,,0.0488369743472838,Qatar
1983,330454.0,19571.8082023286,,2.74361400094614,,0.0146886418263298,Qatar
1984,348241.0,19252.172559164,,1.10497237570072,,-0.222838871567321,Qatar
1985,365868.0,16818.3510338263,,1.91256830693923,,0.129524068228041,Qatar
1986,382328.0,13216.457990389,,0.757575757575719,,-0.0290915023600908,Qatar
1987,397391.0,13705.4656026902,,2.68528464017189,,-0.0545311464407335,Qatar
1988,412142.0,14650.7442409826,,4.60251046025085,,-0.341658842088945,Qatar
1989,426896.0,15197.8750981787,,3.30000000000016,,-0.023119918699187,Qatar
1990,441675.0,16664.8314327886,,3.0009680542111,,0.0663003880542772,Qatar
1991,456486.0,15079.3594623197,,4.41729323308254,0.806999981403351,0.617998082838442,Qatar
1992,471293.0,16223.7800763357,,3.06030603060314,0.810999989509583,0.517645864644189,Qatar
1993,486041.0,14724.2591753497,,-0.873362445414828,0.814000010490417,1.00676387936708,Qatar
1994,500683.0,14728.7820222192,,1.32158590308377,0.818000018596649,1.78792975946266,Qatar
1995,515133.0,15797.6910390559,,2.9565217391303,0.822000026702881,1.1496806582902,Qatar
1996,529265.0,17116.832559522,,4.90453460620531,0.825999975204468,3.74055930799852,Qatar
1997,550591.0,20519.4093535576,,4.83448981913323,0.829999983310699,3.70275559465097,Qatar
1998,580997.0,17651.5455802225,,2.9513888888889,0.833999991416931,3.38647719168747,Qatar
1999,613302.0,20207.2255889136,,2.18170320404723,0.837999999523163,0.913812595597526,Qatar
2000,645937.0,27494.7713320186,602.11584473,1.65033522434232,0.842000007629395,1.4166754317916,Qatar
2001,678831.0,25836.2707926738,659.98406982,1.4713343480468,0.846000015735626,1.68498245557018,Qatar
2002,713186.0,27151.032498866,742.26904297,0.239999999999965,0.851000010967255,3.22210544185347,Qatar
2003,748525.0,31440.2207124561,1218.35241699,2.26456504389471,0.855000019073486,2.65541575666974,Qatar
2004,777943.0,40792.2764702117,1295.11181641,6.79933665008281,0.860000014305115,3.77817958307362,Qatar
2005,848710.0,52468.4456475056,1321.93945313,8.81439532334679,0.865000009536743,5.61413033419499,Qatar
2006,1015060.0,59978.86120736,1311.67602539,11.8358096197431,0.870000004768372,5.74881210770224,Qatar
2007,1231893.0,64706.9899026035,1290.98693848,13.7581625759964,0.519999980926514,5.89621991232182,Qatar
2008,1444277.0,79811.5977371757,1283.84924316,15.0501451570333,0.310000002384186,3.27806417321579,Qatar
2009,1610274.0,60733.9817002272,1270.24853516,-4.86327801622565,0.310000002384186,8.30764131159765,Qatar
2010,1713504.0,73021.3097525035,1206.00305176,-2.42525675161712,0.449999988079071,3.73261155950836,Qatar
2011,1804171.0,92992.9971307452,1318.52197266,1.13836623529203,0.560000002384186,0.559389051318707,Qatar
2012,1905660.0,98041.3622380894,1487.32019043,2.3153485343166,0.479999989271164,0.21188872224358,Qatar
2013,2035501.0,97630.8255152088,1765.82836914,3.22197756829288,0.280000001192093,-0.422882595917482,Qatar
2014,2214465.0,93126.1494633822,2031.83813477,3.34972085659527,0.200000002980232,0.504491036758769,Qatar
2015,2414573.0,66984.9102002396,1891.78417969,1.81407723937759,0.170000001788139,0.662099304441699,Qatar
2016,2595166.0,58467.2355711087,1856.35571289,2.67659170098193,0.150000005960464,0.510044137883475,Qatar
2017,2711755.0,59407.6980498883,1760.47888184,0.394878914082996,0.140000000596046,0.612038723345893,Qatar
2018,2766732.0,66264.081168209,1730.18188477,0.255815382724374,0.109999999403954,-1.19249695201383,Qatar
2019,2807235.0,62637.2751084291,1807.15393066,-0.666641124861102,0.100000001490116,-1.59956581902869,Qatar
2020,2760385.0,52315.6600783116,,-2.54031503004763,0.140000000596046,-1.68550858996212,Qatar
2021,2688235.0,66838.357433014,,2.30446565742003,0.170000001788139,-0.60853938153301,Qatar
