Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,20657957.0,,,,,,Romania
1973,20835681.0,,,,,,Romania
1974,21029429.0,,,,,,Romania
1975,21293583.0,,,,,,Romania
1976,21551634.0,,,,,,Romania
1977,21756096.0,,,,,,Romania
1978,21951464.0,,,,,,Romania
1979,22090488.0,,,,,,Romania
1980,22207282.0,,,,,,Romania
1981,22353070.0,,,,,,Romania
1982,22475741.0,,,,,,Romania
1983,22560478.0,,,,,,Romania
1984,22640547.0,,,,,,Romania
1985,22732999.0,,,,,,Romania
1986,22836841.0,,,,,,Romania
1987,22949430.0,1673.83836389995,,,,0.0,Romania
1988,23057662.0,1769.88993114409,,,,0.0,Romania
1989,23161458.0,1817.90210089083,,,,0.0,Romania
1990,23201835.0,1680.70562287227,,,,2.56440144538991e-05,Romania
1991,23001155.0,1260.74904545125,,230.622494900178,8.07600021362305,0.137937292980625,Romania
1992,22794284.0,1102.10378473246,,211.205587610082,8.26000022888184,0.306508326146089,Romania
1993,22763280.0,1158.13251591344,,255.166861826698,8.3730001449585,0.356561754459517,Romania
1994,22730211.0,1323.10432504932,,136.759392815441,8.17000007629395,1.13385318070474,Romania
1995,22684270.0,1650.27648080037,,32.2424847257597,8.01000022888184,1.11926392137282,Romania
1996,22619004.0,1633.01064354117,,38.8293013382852,6.73999977111816,0.712021742757537,Romania
1997,22553978.0,1577.32335708773,,154.763480436309,5.51999998092651,3.4153277830283,Romania
1998,22507344.0,1852.46730900413,,59.0965827541167,5.63000011444092,4.87119059006639,Romania
1999,22472040.0,1599.88953304677,,45.8037811326362,6.23999977111816,2.89546442357927,Romania
2000,22442971.0,1659.90763954548,69.89345551,45.6665940440238,6.96999979019165,2.78364907490871,Romania
2001,22131970.0,1825.17980455979,78.8175354,34.4770123493528,6.55999994277954,2.86422829951768,Romania
2002,21730496.0,2119.88267323918,96.57698822,22.5398862605386,8.10999965667725,2.48338789596215,Romania
2003,21574326.0,2679.41190951209,143.54553223,15.2734889936255,6.94999980926514,3.18995235455216,Romania
2004,21451748.0,3494.94451718304,190.7950592,11.8743635936399,7.71999979019165,8.59379835488661,Romania
2005,21319685.0,4617.92901643258,254.52961731,9.01491283343835,7.17000007629395,6.60077823288976,Romania
2006,21193760.0,5757.4964285719,291.00408936,6.55851412276983,7.26999998092651,9.02011511487348,Romania
2007,20882982.0,8360.16632132485,415.06790161,4.83732928313989,6.40999984741211,5.78690882845609,Romania
2008,20537875.0,10435.0439841037,521.31561279,7.85080255714483,5.78999996185303,6.37748719516936,Romania
2009,20367487.0,8548.11867218639,449.37692261,5.58742004264392,6.8600001335144,2.66374866700264,Romania
2010,20246871.0,8397.80917311457,472.20751953,6.09141668601892,6.96000003814697,1.89010749124935,Romania
2011,20147528.0,9560.18451265292,426.59973145,5.78925328815882,7.17999982833862,1.23049008629101,Romania
2012,20058035.0,8930.72991164974,401.67105103,3.33492267693443,6.78999996185303,1.70128984181448,Romania
2013,19983693.0,9497.25499044431,495.23623657,3.98471235548128,7.09999990463257,2.03109477068552,Romania
2014,19908979.0,10031.267274026,503.34753418,1.06830987684293,6.80000019073486,1.93738556838649,Romania
2015,19815616.0,8976.88053477541,442.24038696,-0.594156437495137,6.80999994277954,2.42729525022995,Romania
2016,19702267.0,9404.34187358344,476.24505615,-1.54479666813904,5.90000009536743,3.37424680316577,Romania
2017,19588715.0,10727.9496853377,555.11309814,1.33902121104396,4.92999982833862,2.83273933034254,Romania
2018,19473970.0,12494.4774670309,687.15411377,4.62548443137781,4.19000005722046,3.01810302367972,Romania
2019,19371648.0,12958.0755553785,738.5581665,3.82785432599428,3.91000008583069,2.93421358718117,Romania
2020,19265250.0,13047.4320617591,,2.63107311184752,5.03000020980835,1.43315918536979,Romania
2021,19119880.0,14858.2294290445,,5.05232876096582,5.59000015258789,4.13190118479822,Romania
