Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,131909000.0,,,,,,Russian Federation
1973,132669000.0,,,,,,Russian Federation
1974,133432000.0,,,,,,Russian Federation
1975,134200000.0,,,,,,Russian Federation
1976,135147000.0,,,,,,Russian Federation
1977,136100000.0,,,,,,Russian Federation
1978,137060000.0,,,,,,Russian Federation
1979,138027000.0,,,,,,Russian Federation
1980,139010000.0,,,,,,Russian Federation
1981,139941000.0,,,,,,Russian Federation
1982,140823000.0,,,,,,Russian Federation
1983,141668000.0,,,,,,Russian Federation
1984,142745000.0,,,,,,Russian Federation
1985,143858000.0,,,,,,Russian Federation
1986,144894000.0,,,,,,Russian Federation
1987,145908000.0,,,,,,Russian Federation
1988,146857000.0,3777.2353515625,,,,,Russian Federation
1989,147721000.0,3428.76220703125,,,,,Russian Federation
1990,147969407.0,3492.71020507813,,,,,Russian Federation
1991,148394216.0,3490.45239257813,,,5.41400003433228,,Russian Federation
1992,148538197.0,3098.802734375,,,5.17999982833862,0.252231983166754,Russian Federation
1993,148458777.0,2930.67016601563,,874.245720380188,5.88000011444092,0.278287134488123,Russian Federation
1994,148407912.0,2662.10400390625,,307.722635553193,8.13000011444092,0.174540526074499,Russian Federation
1995,148375787.0,2665.77978515625,,197.414268084251,9.44999980926514,0.522256838168622,Russian Federation
1996,148160129.0,2643.92919921875,,47.7520122009939,9.67000007629395,0.658454456416548,Russian Federation
1997,147915361.0,2737.57202148438,,14.761329268806,11.8100004196167,1.20135889262562,Russian Federation
1998,147670784.0,1834.86181640625,,27.6856798076743,13.2600002288818,1.0191194251039,Russian Federation
1999,147214776.0,1330.75720214844,,85.7464940960636,13.039999961853,1.6622825455164,Russian Federation
2000,146596869.0,1771.59411621094,95.4120636,20.7987606558703,10.5799999237061,1.03116111575235,Russian Federation
2001,145976482.0,2100.3525390625,118.10948944,21.4770072117159,8.97999954223633,0.928663004211825,Russian Federation
2002,145306497.0,2377.52954101563,140.75538635,15.7887307914462,7.88000011444092,1.00553594478556,Russian Federation
2003,144648618.0,2975.12524414063,164.6477356,13.6632930228667,8.21000003814697,1.84237738388135,Russian Federation
2004,144067316.0,4102.36474609375,209.19709778,10.8886157326216,7.76000022888184,2.60618528059526,Russian Federation
2005,143518814.0,5323.462890625,271.88461304,12.6853039507349,7.11999988555908,2.02980402372802,Russian Federation
2006,143049637.0,6920.18896484375,352.55194092,9.66865454789265,7.05999994277954,3.79771796044009,Russian Federation
2007,142805114.0,9101.2548828125,461.50531006,9.00729868861076,6.0,4.29894838602817,Russian Federation
2008,142742366.0,11635.2724609375,609.16021729,14.1107677840442,6.21000003814697,4.50269877799769,Russian Federation
2009,142785349.0,8562.8134765625,515.85449219,11.6473295764118,8.30000019073486,2.99212947973039,Russian Federation
2010,142849468.0,10674.99609375,566.09088135,6.8493923025503,7.36999988555908,2.83082730005737,Russian Federation
2011,142960908.0,14311.083984375,682.6605835,8.44046485932559,6.53999996185303,2.69235742380976,Russian Federation
2012,143201721.0,15420.875,757.04455566,5.0747430079915,5.44000005722046,2.29079639619755,Russian Federation
2013,143506995.0,15974.64453125,807.07653809,6.75371026220953,5.46000003814697,3.01939794071852,Russian Federation
2014,143819667.0,14095.6484375,737.64923096,7.82341183865503,5.15999984741211,1.069876215093,Russian Federation
2015,144096870.0,9313.013671875,498.05596924,15.5344050528404,5.57000017166138,0.502608373795545,Russian Federation
2016,144342397.0,8704.8984375,464.89776611,7.04244762954798,5.55999994277954,2.54849873389468,Russian Federation
2017,144496739.0,10720.3330078125,579.67218018,3.68332944412231,5.21000003814697,1.8140929436605,Russian Federation
2018,144477859.0,11287.3603515625,609.00915527,2.87829723647886,4.84999990463257,0.530060511511943,Russian Federation
2019,144406261.0,11536.2509765625,653.41723633,4.47036660760175,4.5,1.88851854086689,Russian Federation
2020,144073139.0,10169.0869140625,,3.38165937237896,5.59000015258789,0.636434049707395,Russian Federation
2021,143449286.0,12194.77734375,,6.69445891957619,4.71999979019165,2.27402659624866,Russian Federation
