Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4135579.0,59.5945182855124,,3.092193808935,,0.202874456488968,Rwanda
1973,4259484.0,68.2585395662764,,9.37367407567743,,0.687885274093659,Rwanda
1974,4386369.0,70.3220415755844,,31.0882993654484,,0.713224160744901,Rwanda
1975,4515756.0,126.637332871865,,30.2260465749064,,0.524600900660587,Rwanda
1976,4648207.0,137.204337522209,,7.16586151383181,,0.918849354223594,Rwanda
1977,4783252.0,156.096847616368,,13.6551465066428,,0.662960730864762,Rwanda
1978,4921953.0,184.014180401599,,13.2705337973878,,0.517826281664006,Rwanda
1979,5074374.0,218.617354678399,,15.6733294423727,,1.13309981747697,Rwanda
1980,5247532.0,239.115330774896,,7.24939299325276,,1.30861120773631,Rwanda
1981,5441966.0,258.557772619701,,6.45066447181186,,1.28139287492982,Rwanda
1982,5652900.0,248.94171845108,,12.5651365334135,,1.47096167414212,Rwanda
1983,5859396.0,252.532535074469,,6.59300214307081,,0.75150970704368,Rwanda
1984,6056729.0,262.090801358725,,5.36957038827378,,0.949343391171935,Rwanda
1985,6266752.0,273.766352837918,,1.75933005651685,,0.852167154756195,Rwanda
1986,6497804.0,299.287430231641,,-1.11706657280671,,0.90399032790855,Rwanda
1987,6735829.0,320.292279564204,,4.13301490809113,,0.813466358428293,Rwanda
1988,6953975.0,344.478356265826,,2.97864355658041,,0.878733199762899,Rwanda
1989,7141974.0,336.744705721412,,1.01027824831115,,0.646147949314619,Rwanda
1990,7319962.0,348.387821978821,,4.18576372649945,,0.30037029247948,Rwanda
1991,7485681.0,255.367677271596,,19.6371658148374,11.9680004119873,0.23958975081292,Rwanda
1992,7657208.0,264.982576420422,,9.56041187600808,11.8570003509521,0.271065924814296,Rwanda
1993,7904740.0,249.410606658391,,12.3543887630448,11.9709997177124,0.296217240012405,Rwanda
1994,6732665.0,111.937304240527,,,12.0240001678467,0.000132689986736822,Rwanda
1995,5686897.0,227.4588428355,,,11.8240003585815,0.154615065156945,Rwanda
1996,6715510.0,205.842129549077,,7.41137173526642,11.8540000915527,0.160597843045858,Rwanda
1997,7666732.0,241.505546522325,,12.0154225195686,11.8489999771118,0.13988216831313,Rwanda
1998,7914645.0,251.349680904,,6.21006709455811,11.9230003356934,0.356901657107759,Rwanda
1999,8009587.0,269.140883935276,,-2.4059320974226,11.9910001754761,0.0807159663888893,Rwanda
2000,8109989.0,254.942370752419,9.322052,3.89952980284716,11.9359998703003,0.391762378995192,Rwanda
2001,8223941.0,238.997452600907,7.92092705,3.34285506749407,11.9399995803833,0.941235872015767,Rwanda
2002,8372306.0,234.682357755411,7.30057716,1.99258542453994,11.878999710083,0.076342384956098,Rwanda
2003,8567992.0,249.434958260624,17.31920624,7.44970014007364,12.0310001373291,0.21991835885725,Rwanda
2004,8791853.0,270.179320913252,20.55388832,12.2507102894392,11.9440002441406,0.324159087644961,Rwanda
2005,9026299.0,324.866355005359,25.63013649,9.01408918092335,11.9069995880127,0.271455481908339,Rwanda
2006,9270066.0,357.937834237632,27.92610168,8.88282654777925,11.9010000228882,0.923537522832741,Rwanda
2007,9523168.0,427.192399744184,34.48757553,9.08072205873161,11.9160003662109,2.02258149390145,Rwanda
2008,9781996.0,529.261198153044,41.12966919,15.4382138709255,11.8570003509521,1.97576660990488,Rwanda
2009,10043737.0,564.68947486376,45.26019287,12.9443978401711,11.9200000762939,2.09235763128828,Rwanda
2010,10309031.0,593.802607489539,49.31543732,-0.246128693436925,11.8950004577637,3.53167549423422,Rwanda
2011,10576932.0,650.602628610861,53.07389832,3.0801706924026,11.8769998550415,1.62943391722655,Rwanda
2012,10840334.0,705.759755829457,58.79287338,10.2710182318876,11.8579998016357,3.52407695406342,Rwanda
2013,11101350.0,704.056289881296,48.98834229,5.92426867984847,11.9060001373291,2.99084611740064,Rwanda
2014,11368451.0,724.352174367351,51.92441177,2.35449052820364,11.8760004043579,3.81306897663663,Rwanda
2015,11642959.0,733.441121804147,49.98083878,2.52850284192422,11.8280000686646,1.89806483110873,Rwanda
2016,11930899.0,728.434489970531,51.84296036,7.17434301982013,11.8599996566772,3.21886139745566,Rwanda
2017,12230339.0,756.547641107379,49.34806442,8.27953672260826,11.8800001144409,2.96153575320215,Rwanda
2018,12531808.0,769.437310706602,52.29534531,-0.311210160390642,12.1000003814697,3.79771397053202,Rwanda
2019,12835028.0,806.879981050775,51.39912415,3.3478765503764,12.4300003051758,2.54117440896585,Rwanda
2020,13146362.0,774.689259444614,,9.85039902274209,13.0100002288818,1.49851673646166,Rwanda
2021,13461888.0,822.3479885942,,-0.391346748300792,13.3149995803833,1.91408586058841,Rwanda
