Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,147332.0,,,7.50682438580535,,,Samoa
1973,149587.0,,,11.7642429959867,,,Samoa
1974,152240.0,,,24.9876786595613,,,Samoa
1975,155263.0,,,8.78774222631874,,,Samoa
1976,158136.0,,,4.90368682691045,,,Samoa
1977,160362.0,,,14.6107902659429,,,Samoa
1978,161988.0,,,2.05865885702085,,,Samoa
1979,163489.0,,,11.1195509980497,,,Samoa
1980,164905.0,,,33.0472428985,,,Samoa
1981,166190.0,,,20.5066244471295,,,Samoa
1982,166885.0,726.37835407206,,18.2962245891186,,0.132295095684413,Samoa
1983,166944.0,670.061958351178,,16.4601356089933,,-0.0893952045944669,Samoa
1984,166779.0,654.764294836391,,11.8600682594715,,0.00915743080541431,Samoa
1985,166517.0,573.94844360375,,9.09050118887496,,0.449921757114324,Samoa
1986,166365.0,606.785373394526,,5.73355817902008,,-0.198122102337979,Samoa
1987,166773.0,669.856164616442,,4.56684949636825,,0.492328968007202,Samoa
1988,167452.0,794.35339927899,,8.507868010863,,0.0902146666454522,Samoa
1989,167886.0,731.976518085146,,6.46256171146446,,0.127486672982164,Samoa
1990,168186.0,747.780848318875,,15.2384632724696,,5.24782989337155,Samoa
1991,168701.0,744.495915390631,,-1.819197987984,2.09999990463257,2.53986534913239,Samoa
1992,169799.0,779.174443680648,,9.0311379290717,2.38499999046326,3.77920261583348,Samoa
1993,171362.0,776.851911137018,,1.71509123658872,2.63199996948242,3.755927872144,Samoa
1994,173107.0,1277.23377164919,,12.0803818909762,3.03999996185303,1.35686372324476,Samoa
1995,174902.0,1285.66700999362,,-2.90352865746141,3.18899989128113,1.52980175274357,Samoa
1996,176713.0,1414.20818309332,,5.37461972030278,3.47499990463257,0.464168971982583,Samoa
1997,178543.0,1598.91786234414,,6.86182355310876,3.90899991989136,7.00234992673095,Samoa
1998,180385.0,1493.924235388,,2.21883468834653,4.17999982833862,1.11324886558858,Samoa
1999,182211.0,1401.72666851288,,0.265120132560367,4.4850001335144,-0.281319100964209,Samoa
2000,184008.0,1406.76568300557,63.03668213,0.966782350024731,4.66400003433228,-0.466207324709184,Samoa
2001,185530.0,1435.3451812614,58.87117767,3.83828463867723,4.96000003814697,0.531202391202045,Samoa
2002,186630.0,1509.90528758949,76.19980621,8.05031446540872,5.09899997711182,0.567579517202136,Samoa
2003,187440.0,1778.85571815381,85.76576996,0.115830115830111,5.15899991989136,0.817056420163364,Samoa
2004,188073.0,2168.03880727484,109.05974579,16.3131507905901,5.21999979019165,0.608446093369263,Samoa
2005,188626.0,2527.76283841797,126.31748962,1.85676392572947,5.29699993133545,0.78935616966683,Samoa
2006,189379.0,2639.80566895345,138.65979004,3.70008680555554,5.42600011825562,4.3862032048739,Samoa
2007,190478.0,3011.10080866752,153.5153656,5.57706393219632,5.35900020599365,1.18938989753826,Samoa
2008,191787.0,3344.05455878019,163.0090332,11.5659068384539,5.58400011062622,7.15667986967315,Samoa
2009,193176.0,3250.95309678248,179.21492004,6.32495336235231,5.83599996566772,1.57134083023162,Samoa
2010,194672.0,3494.34152393974,192.76791382,0.777007268777681,5.73099994659424,0.0494575295440104,Samoa
2011,196351.0,3789.66667899642,220.3828125,5.23541591478427,5.67999982833862,2.04157891669645,Samoa
2012,198124.0,3902.39170055714,205.07557678,2.04901883521161,8.75,2.699521247061,Samoa
2013,199939.0,3989.86017401682,257.40908813,0.610085720905009,8.66100025177002,1.72887047590541,Samoa
2014,201757.0,3948.80112799601,259.162323,-0.406816088424881,8.72000026702881,2.86804844272538,Samoa
2015,203571.0,4048.51387550813,223.18096924,0.724470134874833,8.76299953460693,3.25998977530955,Samoa
2016,205544.0,4105.83446840571,227.12509155,1.30471869303168,8.81900024414063,0.298682898663865,Samoa
2017,207630.0,4261.65378900332,235.41838074,1.74989677484723,9.39999961853027,1.04146479016156,Samoa
2018,209701.0,4188.98853207466,227.31306458,4.19745888663745,9.47200012207031,1.90263926906935,Samoa
2019,211905.0,4308.27275342784,271.91577148,0.982326569888142,9.14700031280518,-0.238658041301286,Samoa
2020,214929.0,4042.75122353237,,-1.568912477409,9.79300022125244,0.509297427471936,Samoa
2021,218764.0,3857.31846401804,,3.1332047317449,9.90999984741211,1.05080421867932,Samoa
