Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,18575.0,,,,,,San Marino
1973,19010.0,,,,,,San Marino
1974,19439.0,,,,,,San Marino
1975,19803.0,,,,,,San Marino
1976,20160.0,,,,,,San Marino
1977,20482.0,,,,,,San Marino
1978,20795.0,,,,,,San Marino
1979,21087.0,,,,,,San Marino
1980,21346.0,,,,,,San Marino
1981,21596.0,,,,,,San Marino
1982,21804.0,,,,,,San Marino
1983,21973.0,,,,,,San Marino
1984,22096.0,,,,,,San Marino
1985,22241.0,,,,,,San Marino
1986,22390.0,,,,,,San Marino
1987,22437.0,,,,,,San Marino
1988,22542.0,,,,,,San Marino
1989,22803.0,,,,,,San Marino
1990,23132.0,,,,,,San Marino
1991,23459.0,,,,,,San Marino
1992,23808.0,,,,,,San Marino
1993,24181.0,,,,,,San Marino
1994,24535.0,,,,,,San Marino
1995,24886.0,,,,,,San Marino
1996,25235.0,,,,,,San Marino
1997,25596.0,,,,,,San Marino
1998,25997.0,,,,,,San Marino
1999,26404.0,42004.9484008147,,,,,San Marino
2000,26823.0,37473.7869829611,2141.73999023,,,,San Marino
2001,27335.0,39415.1629432165,2168.83325195,,,,San Marino
2002,27969.0,41770.1466183714,2219.18334961,,,,San Marino
2003,28601.0,51198.4252583966,2465.88720703,,,,San Marino
2004,29093.0,59249.6476815729,2910.73046875,1.43083868527342,,,San Marino
2005,29508.0,60520.7920361111,3005.0637207,1.68548890528349,,,San Marino
2006,29959.0,63692.6167681957,3188.14746094,2.0952593561143,,,San Marino
2007,30372.0,71970.0587250442,3745.04931641,2.49894575725804,,,San Marino
2008,30700.0,77962.1439875871,4311.38085938,4.29320249287706,,,San Marino
2009,31059.0,66200.6729727817,4181.43554688,2.19959237046011,,,San Marino
2010,31608.0,59517.0327429747,3983.75097656,2.58541815582589,,,San Marino
2011,32495.0,55816.3651012268,4237.54101563,2.89979584300121,,,San Marino
2012,33132.0,48435.9425314096,3974.92211914,2.82733224222587,,,San Marino
2013,33285.0,50438.3900153695,3984.16870117,1.60439298078071,,,San Marino
2014,33389.0,50135.484581721,3825.48071289,1.11296303373859,,,San Marino
2015,33570.0,42281.643467688,3061.56323242,0.145686073241013,,,San Marino
2016,33834.0,43399.4583004844,2950.00195313,0.573948019801976,,,San Marino
2017,34056.0,44885.7971428807,3278.8984375,1.04597683468952,,,San Marino
2018,34156.0,48462.960315443,3388.47875977,,,,San Marino
2019,34178.0,47287.3983949924,3050.91821289,,,,San Marino
2020,34007.0,45320.2087156066,,,,,San Marino
2021,33745.0,,,,,,San Marino
