Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,80835.0,,,,,,Sao Tome and Principe
1973,82472.0,,,,,,Sao Tome and Principe
1974,84189.0,,,,,,Sao Tome and Principe
1975,86037.0,,,,,,Sao Tome and Principe
1976,88078.0,,,,,,Sao Tome and Principe
1977,90299.0,,,,,,Sao Tome and Principe
1978,92659.0,,,,,,Sao Tome and Principe
1979,95017.0,,,,,,Sao Tome and Principe
1980,97210.0,,,,,,Sao Tome and Principe
1981,99170.0,,,,,,Sao Tome and Principe
1982,100931.0,,,,,,Sao Tome and Principe
1983,102650.0,,,,,,Sao Tome and Principe
1984,104497.0,,,,,,Sao Tome and Principe
1985,106607.0,,,,,,Sao Tome and Principe
1986,108966.0,,,,,,Sao Tome and Principe
1987,111610.0,,,,,,Sao Tome and Principe
1988,114513.0,,,,,,Sao Tome and Principe
1989,117445.0,,,,,,Sao Tome and Principe
1990,120343.0,,,,,,Sao Tome and Principe
1991,123084.0,,,,14.5150003433228,,Sao Tome and Principe
1992,125648.0,,,,14.5190000534058,,Sao Tome and Principe
1993,128182.0,,,,14.4949998855591,,Sao Tome and Principe
1994,130666.0,,,,14.4499998092651,,Sao Tome and Principe
1995,133077.0,,,,14.4420003890991,,Sao Tome and Principe
1996,135412.0,,,,14.4409999847412,,Sao Tome and Principe
1997,137656.0,,,35.81717824448,14.4399995803833,,Sao Tome and Principe
1998,139790.0,,,50.4931357486252,14.3780002593994,,Sao Tome and Principe
1999,141808.0,,,12.7251770130085,14.3599996566772,,Sao Tome and Principe
2000,143714.0,,56.67601013,12.2089456308977,14.3999996185303,,Sao Tome and Principe
2001,146258.0,519.2961115648,53.56918335,9.22203707560889,15.7299995422363,3.94990411993897,Sao Tome and Principe
2002,149841.0,568.411237014192,57.76805878,10.128724672229,17.6299991607666,4.22677551577237,Sao Tome and Principe
2003,153762.0,663.919456466972,80.1392746,9.7924197493451,16.3600006103516,3.33053883279861,Sao Tome and Principe
2004,157697.0,726.599501747635,80.69898987,13.2858860871796,16.1200008392334,3.05543875986455,Sao Tome and Principe
2005,161680.0,843.952713218911,91.50232697,17.1522049354354,16.4699993133545,11.4796397717129,Sao Tome and Principe
2006,165725.0,861.521178192284,68.26289368,23.0770373451382,16.6499996185303,26.6262864158845,Sao Tome and Principe
2007,169845.0,878.13255075947,71.04097748,18.5485136325779,16.3150005340576,24.1564813148022,Sao Tome and Principe
2008,174004.0,1080.55671474706,78.14442444,31.9901039492573,15.6169996261597,42.0928026813696,Sao Tome and Principe
2009,178128.0,1054.41291976028,76.83090973,16.9574758025945,15.2580003738403,8.25256184697374,Sao Tome and Principe
2010,182138.0,1079.68965436787,74.93682098,13.34005235378,14.585000038147,25.7306651727999,Sao Tome and Principe
2011,186044.0,1244.27162469378,85.38583374,14.3271667616801,14.1049995422363,13.8893472370789,Sao Tome and Principe
2012,189924.0,1319.90083269011,86.81771088,10.6379353431629,13.5900001525879,8.96419786680925,Sao Tome and Principe
2013,193757.0,1551.19290457442,125.17603302,8.10583270875467,13.6169996261597,4.04663563028624,Sao Tome and Principe
2014,197497.0,1754.6004708083,120.006073,6.99849943966418,13.6400003433228,7.64439149630394,Sao Tome and Principe
2015,201124.0,1571.4985399244,85.22420502,5.25017086354882,13.7799997329712,8.83488029356129,Sao Tome and Principe
2016,204632.0,1688.37530288509,109.98060608,5.43271095818786,13.83899974823,6.7529329198365,Sao Tome and Principe
2017,208036.0,1805.52465051182,117.01068115,5.69508878579428,13.91100025177,9.10734891148832,Sao Tome and Principe
2018,211344.0,1950.62935180937,115.01872253,7.85706431333533,13.9980001449585,5.74847846816378,Sao Tome and Principe
2019,214599.0,1991.73826385183,108.4464035,,14.0780000686646,5.65989290910398,Sao Tome and Principe
2020,218641.0,2161.31019577016,,,15.4429998397827,9.96975618040208,Sao Tome and Principe
2021,223107.0,2360.54355385897,,,15.3400001525879,11.2028307372749,Sao Tome and Principe
