Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6724260.0,1437.19426817152,,4.33117970783496,,0.349517870389239,Saudi Arabia
1973,7088758.0,2108.61917651778,,16.5137614681954,,-4.18740768152299,Saudi Arabia
1974,7483506.0,6068.40856543165,,21.4370078736641,,-8.2187846561926,Saudi Arabia
1975,7897544.0,5922.51258382191,,34.5761063381485,,3.98710614146474,Saudi Arabia
1976,8319556.0,7693.39419912413,,31.5586605641125,,-0.61963393637416,Saudi Arabia
1977,8755219.0,8473.61596604053,,11.3990111699532,,1.05537344268108,Saudi Arabia
1978,9210564.0,8714.52956540277,,-1.58360185022083,,0.692641818238522,Saudi Arabia
1979,9682002.0,11553.3674159777,,1.08156690288338,,-1.13581268743661,Saudi Arabia
1980,10171710.0,16176.4008507923,,4.16926655363288,,-1.94012436275373,Saudi Arabia
1981,10678211.0,17258.6858199995,,2.79898218829487,,3.52600230531187,Saudi Arabia
1982,11201154.0,13680.643250459,,1.02103960396036,,7.2621096263561,Saudi Arabia
1983,11746020.0,10997.0527911624,,0.191424196019053,,3.82739286359412,Saudi Arabia
1984,12310361.0,9717.41762534276,,-1.55903706534202,,4.054224742927,Saudi Arabia
1985,12890245.0,8060.19535009628,,-3.05876872913663,,0.472986265607315,Saudi Arabia
1986,13483349.0,6449.58556001718,,-3.20333146472297,,1.11075616307624,Saudi Arabia
1987,14089798.0,6082.12706524817,,-1.54711673699022,,-1.36918191134856,Saudi Arabia
1988,14713715.0,5998.22424652278,,0.907563025210517,,-0.371645437903794,Saudi Arabia
1989,15353227.0,6210.05296296537,,1.0326449033974,,-0.685235479598992,Saudi Arabia
1990,16004763.0,7349.70407261908,,2.07715133531161,,1.58235911964908,Saudi Arabia
1991,16654276.0,7939.2985015573,,4.86111111111136,7.07000017166138,0.121007445834317,Saudi Arabia
1992,17281350.0,7932.70645303847,,-0.0770060064690946,7.19999980926514,-0.0575786387937312,Saudi Arabia
1993,17846461.0,7450.65934446164,,1.05579531442695,6.85400009155273,1.02821807778302,Saudi Arabia
1994,18367528.0,7359.44904990217,,0.564325478533109,6.40999984741211,0.258430646703492,Saudi Arabia
1995,18888857.0,7588.7617944161,,4.86843103056034,5.99399995803833,-1.30781844344129,Saudi Arabia
1996,19410280.0,8174.14270917232,,1.22206988451304,5.54899978637695,-0.710607349683882,Saudi Arabia
1997,19938377.0,8323.82482334845,,0.0571547037707559,5.14699983596802,1.8314060713703,Saudi Arabia
1998,20472580.0,7169.36986349547,,-0.371269734983801,4.71299982070923,2.9183799221938,Saudi Arabia
1999,21009660.0,7697.26687628453,,-1.33376350229425,4.34999990463257,-0.481664590611481,Saudi Arabia
2000,21547390.0,8795.26133853489,386.25921631,-1.12499477854773,4.57000017166138,-0.99256913650653,Saudi Arabia
2001,22085929.0,8337.32055071504,387.48629761,-1.12094477457178,4.61999988555908,0.0106659443232507,Saudi Arabia
2002,22623415.0,8380.95929549098,369.50018311,0.247186514299252,5.26999998092651,-0.32389987219596,Saudi Arabia
2003,23150847.0,9321.8038741016,382.3901062,0.61219439512525,5.55999994277954,-0.271772873848324,Saudi Arabia
2004,23661808.0,10935.0165904482,400.87582397,0.515506766998062,5.82000017166138,-0.129209660637588,Saudi Arabia
2005,24397644.0,13462.763048545,471.1194458,0.479230397826103,6.05000019073486,3.68304949712455,Saudi Arabia
2006,25382870.0,14848.602058303,556.06555176,2.20902407871182,6.25,4.85358629495233,Saudi Arabia
2007,26400068.0,15756.1936225077,587.97845459,4.16782330119979,5.73000001907349,5.84630542854724,Saudi Arabia
2008,27437353.0,18944.8573497597,596.52648926,9.87024791275996,5.07999992370605,7.59063322185628,Saudi Arabia
2009,28483797.0,15064.6312807243,691.32269287,5.05722314693633,5.38000011444092,8.4963517015209,Saudi Arabia
2010,29411929.0,17958.9489913952,702.67108154,5.33941680637453,5.55000019073486,5.53432428134475,Saudi Arabia
2011,30150945.0,22262.6136629624,881.39575195,5.82621608838853,5.76999998092651,2.42957931298649,Saudi Arabia
2012,30821543.0,23878.5852917443,1014.699646,2.86626887489922,5.51999998092651,1.65527034564169,Saudi Arabia
2013,31482498.0,23716.2606159022,1109.5057373,3.53252470694923,5.59999990463257,1.18726678345523,Saudi Arabia
2014,32125564.0,23543.5663423802,1278.9765625,2.23629031536967,5.71999979019165,1.0592692520141,Saudi Arabia
2015,32749848.0,19977.7946924217,1237.33349609,1.20607322150117,5.59999990463257,1.24429209766615,Saudi Arabia
2016,33416270.0,19300.0500059245,1160.05163574,2.06884036053476,5.59999990463257,1.15554675314131,Saudi Arabia
2017,34193122.0,20138.1463328409,1302.76855469,-0.838194579675057,5.8899998664856,0.206051737802034,Saudi Arabia
2018,35018133.0,23318.7381671416,1341.51977539,2.45814158007533,6.03000020980835,0.520110011812292,Saudi Arabia
2019,35827362.0,22430.238229402,1316.26025391,-2.09333333333333,5.6399998664856,0.56775526714284,Saudi Arabia
2020,35997107.0,19539.5658107346,,3.44545825956691,7.44999980926514,0.767614997892576,Saudi Arabia
2021,35950396.0,23185.8707917797,,3.06328988941548,6.69199991226196,2.31369999929646,Saudi Arabia
