Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4633452.0,349.816352296121,,6.15488417411267,,0.937775343579484,Senegal
1973,4772039.0,390.48265287274,,11.2853107346839,,0.262960399284743,Senegal
1974,4911421.0,427.437385201952,,16.6010915093494,,0.488801774646813,Senegal
1975,5047922.0,560.703672698924,,31.6534233153685,,0.796256114997898,Senegal
1976,5181195.0,553.883382577206,,1.08309218710661,,1.24975422950957,Senegal
1977,5308297.0,553.481899608247,,11.3405856371037,,0.951763073781008,Senegal
1978,5433225.0,603.758235554844,,3.41965105587518,,-0.15265501238498,Senegal
1979,5564474.0,734.099695289379,,9.6533598525703,,0.218656684381119,Senegal
1980,5703869.0,790.710188136715,,8.72902766072328,,0.321127186960421,Senegal
1981,5852029.0,699.909735945838,,5.91319372031625,,0.83918644747198,Senegal
1982,6008392.0,668.057421779765,,17.3763852168922,,0.699009447960438,Senegal
1983,6171874.0,578.326204024121,,11.6169845681475,,-0.971944106835518,Senegal
1984,6341801.0,549.554481531293,,11.7840274796329,,0.834610449150493,Senegal
1985,6520705.0,585.664372648338,,13.0000576159794,,-0.413822760379532,Senegal
1986,6710885.0,803.484712939025,,6.18477854456931,,-0.156374358594222,Senegal
1987,6909837.0,938.85749874427,,-4.14072378633806,,-0.061035451955424,Senegal
1988,7113636.0,902.269921889683,,-1.82668225079297,,0.232775294556047,Senegal
1989,7321832.0,869.459904649698,,0.447309340771324,,0.421012328771832,Senegal
1990,7536001.0,980.754518831175,,0.32509863018325,,0.769765911749764,Senegal
1991,7754289.0,935.638419070911,,-1.7535569019931,5.60799980163574,-0.104067674957199,Senegal
1992,7974514.0,974.331209313903,,-0.109942967085643,5.63100004196167,0.275210566270654,Senegal
1993,8196551.0,898.912932377486,,-0.586434615120187,5.63000011444092,-0.0110241014727023,Senegal
1994,8416997.0,598.145414485251,,32.2936668569552,5.65399980545044,1.32833577295489,Senegal
1995,8632681.0,732.836411183788,,7.86400784570113,5.55499982833862,0.500667535867503,Senegal
1996,8843423.0,741.7617081824,,2.75430663482405,5.61600017547607,0.212746498466552,Senegal
1997,9051539.0,667.453174104473,,1.75316478097235,5.59700012207031,2.95970825932107,Senegal
1998,9261526.0,702.433663023714,,1.15678070391345,5.54699993133545,1.09299263121353,Senegal
1999,9478564.0,695.552138244528,,0.827250608272504,5.53999996185303,2.45246429963196,Senegal
2000,9704287.0,619.642103457883,21.72433662,0.731981981981545,5.58199977874756,1.35774456820414,Senegal
2001,9938027.0,654.840721107221,23.85724831,2.97450083919572,5.57399988174438,0.692757279546435,Senegal
2002,10180950.0,688.187506318628,26.9206295,2.33730187454302,5.65000009536743,1.1802443618577,Senegal
2003,10434504.0,840.358291714899,35.739254,-0.0519970242714566,6.64099979400635,0.986458240995199,Senegal
2004,10698691.0,941.873849623517,42.58594131,0.514781781022991,7.75799989700317,1.365346548744,Senegal
2005,10974057.0,1003.18712262818,36.47798538,1.71133325855505,8.86499977111816,1.52551305481369,Senegal
2006,11263387.0,1038.57914167312,38.67741013,2.11228583877112,10.0299997329712,2.4777082588665,Senegal
2007,11563869.0,1210.16754334065,40.8911171,5.85330428467685,10.0729999542236,2.51145658052444,Senegal
2008,11872929.0,1419.5310337412,49.23475647,7.34720236578405,10.1040000915527,2.70404714938246,Senegal
2009,12195029.0,1323.97129064347,50.28383255,-2.24802147855339,10.1940002441406,2.05299525803297,Senegal
2010,12530121.0,1286.60486765972,51.21483612,1.22868119673344,10.2329998016357,1.68778349663167,Senegal
2011,12875880.0,1383.53919282968,57.59818649,3.40322829786967,10.3599996566772,1.90106985917271,Senegal
2012,13231833.0,1334.72601460415,56.22806931,1.41822871177848,9.40999984741211,1.56368007926785,Senegal
2013,13595566.0,1391.53225722225,60.20170975,0.710245486695225,8.58899974822998,1.64581755024807,Senegal
2014,13970308.0,1417.0950735747,61.39787674,-1.09025507446894,7.625,2.03613108814521,Senegal
2015,14356181.0,1238.12639559545,53.43446732,0.135211933635241,6.76000022888184,2.30194935434568,Senegal
2016,14751356.0,1290.75000394091,54.10780716,0.837284942557418,4.46000003814697,2.48110314380598,Senegal
2017,15157793.0,1385.19933288437,54.4282608,1.31815314847782,4.07999992370605,2.80185356470704,Senegal
2018,15574909.0,1484.2396733777,61.79673004,0.46098564246427,3.5699999332428,3.66762694717928,Senegal
2019,16000781.0,1462.35433280275,59.09758377,1.75856517595659,2.85999989509583,4.5534912026304,Senegal
2020,16436120.0,1490.20313694645,,2.54743464570552,3.5090000629425,7.53542647578451,Senegal
2021,16876720.0,1636.89320864296,,,3.49799990653992,8.07917781329536,Senegal
