Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,7053000.0,,,,,,Serbia
1973,7091000.0,,,,,,Serbia
1974,7128000.0,,,,,,Serbia
1975,7163000.0,,,,,,Serbia
1976,7214000.0,,,,,,Serbia
1977,7258000.0,,,,,,Serbia
1978,7297000.0,,,,,,Serbia
1979,7332000.0,,,,,,Serbia
1980,7362000.0,,,,,,Serbia
1981,7405000.0,,,,,,Serbia
1982,7440000.0,,,,,,Serbia
1983,7468000.0,,,,,,Serbia
1984,7489000.0,,,,,,Serbia
1985,7504000.0,,,,,,Serbia
1986,7536000.0,,,,,,Serbia
1987,7558000.0,,,,,,Serbia
1988,7572000.0,,,,,,Serbia
1989,7581000.0,,,,,,Serbia
1990,7586000.0,,,,,,Serbia
1991,7595636.0,,,,13.3730001449585,,Serbia
1992,7646424.0,,,,12.9519996643066,,Serbia
1993,7699307.0,,,,12.8249998092651,,Serbia
1994,7734639.0,,,,13.4219999313354,,Serbia
1995,7625357.0,2207.4505980581,,82.6605151864663,13.3999996185303,,Serbia
1996,7617794.0,2864.0847269944,,95.6009261208171,13.1999998092651,,Serbia
1997,7596501.0,3380.04141638289,,23.307866135801,13.8000001907349,,Serbia
1998,7567745.0,2571.17271041453,,30.1596997992844,13.6999998092651,,Serbia
1999,7540401.0,2571.30403953333,,42.4539054642972,13.6999998092651,,Serbia
2000,7516346.0,914.785719885861,56.50500107,71.1206287946541,12.6000003814697,,Serbia
2001,7503433.0,1727.28119565526,112.22063446,95.0052258100007,12.8000001907349,,Serbia
2002,7496522.0,2283.84668494941,173.25532532,19.4908321579689,13.8000001907349,,Serbia
2003,7480591.0,3005.42635224484,230.08865356,9.87617889729578,15.1999998092651,,Serbia
2004,7463157.0,3502.80292389567,274.45532227,11.0263627183464,18.5,,Serbia
2005,7440769.0,3720.47915467431,307.54705811,16.1199806482826,20.8500003814697,,Serbia
2006,7411569.0,4382.61727851692,371.50604248,11.7240229980834,20.8500003814697,,Serbia
2007,7381579.0,5848.47640545105,547.22723389,6.3917064439141,18.0599994659424,10.2457521056537,Serbia
2008,7350222.0,7101.04014116862,671.88702393,12.410986775178,13.6999998092651,7.77058852051005,Serbia
2009,7320807.0,6169.11419477823,575.262146,8.1169509223808,16.1399993896484,6.48591448744733,Serbia
2010,7291436.0,5735.42285659849,545.33380127,6.14255360247246,19.2199993133545,4.04895225075509,Serbia
2011,7234099.0,6809.15980400146,618.89422607,11.1373976342129,22.9699993133545,10.0095789398861,Serbia
2012,7199077.0,6015.94522756969,559.90539551,7.33038589596636,24.0,2.94472813454546,Serbia
2013,7164132.0,6755.07367461629,627.53302002,7.69426362896666,22.1499996185303,4.25525297815994,Serbia
2014,7130576.0,6600.05680854589,608.85858154,2.08244793880151,19.2199993133545,4.24871532512792,Serbia
2015,7095383.0,5588.98072768556,491.25177002,1.39235822000187,17.6599998474121,5.90866998084975,Serbia
2016,7058322.0,5765.20076202711,486.42944336,1.12231397417765,15.2600002288818,5.78781431167226,Serbia
2017,7020858.0,6292.54362926707,515.84588623,3.13106248590119,13.4799995422363,6.55200965004633,Serbia
2018,6982604.0,7252.40185773992,617.08654785,1.95984076293803,12.7299995422363,8.04076379354097,Serbia
2019,6945235.0,7417.20364852201,641.02502441,1.8492298451109,10.3900003433228,8.28646741082213,Serbia
2020,6899126.0,7733.80286920471,,1.57553290083409,9.01000022888184,6.5330146466396,Serbia
2021,6834326.0,9230.17831602601,,4.08510285335103,10.0600004196167,7.24089462289594,Serbia
