Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,56029.0,546.951061288794,,20.940994987157,,4.40526894780257,Seychelles
1973,56892.0,648.53192405897,,18.2397959188218,,15.8281544404401,Seychelles
1974,57937.0,744.506941901819,,24.4246673859205,,4.01071080555325,Seychelles
1975,59292.0,806.23264447194,,18.611372010313,,9.58095938751128,Seychelles
1976,60504.0,814.474737986674,,14.8687336300478,,12.8557556859077,Seychelles
1977,61786.0,1044.35306798524,,14.9591685227511,,10.9489051094413,Seychelles
1978,62150.0,1376.54657947199,,11.7832512318923,,7.39744451920157,Seychelles
1979,62686.0,2030.13590345467,,12.480169222314,,5.89848889255171,Seychelles
1980,63261.0,2329.35335798995,,13.5715405108088,,6.46019693887157,Seychelles
1981,64035.0,2419.03441901133,,10.5767903960918,,6.50074885484359,Seychelles
1982,64413.0,2296.30772927437,,-0.912646675358539,,6.77070222609297,Seychelles
1983,64335.0,2280.45155062171,,6.05263157894737,,6.21824552545468,Seychelles
1984,64717.0,2338.07565218555,,4.09429280397012,,6.45885902522913,Seychelles
1985,65244.0,2588.55280379525,,0.834326579261025,,6.89608509833014,Seychelles
1986,65652.0,3165.94503803531,,0.23640661938537,,6.83056390205157,Seychelles
1987,68499.0,3638.98801125089,,2.59433962264134,,7.784610967347,Seychelles
1988,68755.0,4128.1182318366,,1.83908045977014,,8.17476098676113,Seychelles
1989,69167.0,4407.20093965686,,1.58013544018055,,7.35784088947219,Seychelles
1990,69507.0,5302.84372714198,,3.88888888888915,,5.49124691245115,Seychelles
1991,70439.0,5314.66312816659,,1.98675496688729,,5.23104690144714,Seychelles
1992,70763.0,6128.44556922114,,3.24675324675327,,2.07855958016196,Seychelles
1993,72253.0,6559.12999396324,,1.38364779874213,,3.97456312629208,Seychelles
1994,74205.0,6555.5044074812,,1.73697270471465,,6.31854139344791,Seychelles
1995,75304.0,6748.93110885887,,-0.243902439024446,,9.02841034154619,Seychelles
1996,76417.0,6583.20101813288,,-1.10024449877746,,5.72744576109283,Seychelles
1997,77319.0,7280.98962117856,,0.618046971569893,,9.4853610070358,Seychelles
1998,78846.0,7715.91814709341,,2.57985257985245,,8.7462943940866,Seychelles
1999,80410.0,7747.61215872072,,6.34730538922157,,8.86324545880911,Seychelles
2000,81131.0,7578.85105298845,349.9909668,6.26876876876877,,3.95638273275987,Seychelles
2001,81202.0,7663.13708026446,407.45132446,5.96962204168156,,10.4040180111748,Seychelles
2002,83723.0,8331.2619970042,378.29946899,0.174999999999919,,6.84107522520924,Seychelles
2003,82781.0,8524.96123557779,440.71774292,3.30255386407089,,8.2790338677351,Seychelles
2004,82475.0,10176.6587120064,499.11706543,3.857303913674,,4.52924455440071,Seychelles
2005,82858.0,11092.5107357824,516.16937256,0.90718771807392,,8.78353315491568,Seychelles
2006,84600.0,12014.3998729502,531.23455811,-0.353465498693739,,13.828529381106,Seychelles
2007,85033.0,12154.8299372808,469.32315063,5.32060027285136,,17.021108108967,Seychelles
2008,86956.0,11122.8620677142,425.85473633,36.9647582875288,,18.5923820972895,Seychelles
2009,87298.0,9706.95605963959,362.60940552,31.7544407744179,,19.8550966251302,Seychelles
2010,89770.0,10804.6844747547,513.22802734,-2.40463875108223,,16.4748280771038,Seychelles
2011,87441.0,12189.0951601357,532.08117676,2.5592677223095,,13.4393958369648,Seychelles
2012,88303.0,11998.4472049381,655.85162354,7.11037062326402,,57.8772461020035,Seychelles
2013,89949.0,14764.9392658304,641.22271729,4.33893848329104,,4.31363838056656,Seychelles
2014,91359.0,15188.2287645444,675.4989624,1.38583454581264,,7.8089432266901,Seychelles
2015,93419.0,15157.5302874866,665.63879395,4.0419441072562,,7.47835440289201,Seychelles
2016,94677.0,15740.1303244742,772.44891357,-1.01548191697644,,4.58632701238751,Seychelles
2017,95843.0,16416.7761942925,777.85449219,2.85679575568451,,12.5401738755235,Seychelles
2018,96762.0,16910.6881816609,840.28063965,3.70291839111564,,18.6500124644514,Seychelles
2019,97625.0,17253.5056614424,839.77331543,2.07476436485001,,15.2630252910311,Seychelles
2020,98462.0,12808.9874683728,,8.27685811437228,,6.34741318479238,Seychelles
2021,99258.0,14653.3093943039,,,,7.66299731412274,Seychelles
