Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2886642.0,161.218845282699,,,,0.816535089581366,Sierra Leone
1973,2942333.0,195.501404629272,,,,1.08478303590024,Sierra Leone
1974,2998843.0,216.280293079661,,,,1.61889477042196,Sierra Leone
1975,3055916.0,222.301889553722,,,,1.48674609767956,Sierra Leone
1976,3112863.0,191.108851348051,,,,1.42882195909301,Sierra Leone
1977,3172195.0,218.075420456534,,,,0.731288262353501,Sierra Leone
1978,3235170.0,296.963788282047,,,,2.52504114712747,Sierra Leone
1979,3300032.0,336.170898367936,,,,1.44979617314617,Sierra Leone
1980,3367477.0,326.857717193864,,,,-1.69623919438768,Sierra Leone
1981,3437108.0,324.351306946964,,,,0.6732712796319,Sierra Leone
1982,3509197.0,369.133418820372,,,,0.361483203616677,Sierra Leone
1983,3585773.0,277.514584818134,,,,0.170566586135107,Sierra Leone
1984,3666262.0,296.615970705117,,,,0.538560175945789,Sierra Leone
1985,3749419.0,228.53954135983,,,,-3.61271391206657,Sierra Leone
1986,3842917.0,127.554526060388,,,,-28.6242557290297,Sierra Leone
1987,3947865.0,177.642245184278,,,,5.61943610872706,Sierra Leone
1988,4056215.0,260.115389686537,,,,-2.1883051715254,Sierra Leone
1989,4159163.0,224.317828350834,,,,2.39625374300902,Sierra Leone
1990,4325388.0,150.193422370536,,,,4.99268177574488,Sierra Leone
1991,4378169.0,178.152432882671,,,3.45000004768372,0.962133784569933,Sierra Leone
1992,4301566.0,158.0814981328,,,3.53900003433228,-0.823392190328363,Sierra Leone
1993,4295689.0,178.972997067935,,,3.45300006866455,-0.970708086714262,Sierra Leone
1994,4314953.0,211.338563985166,,,3.46600008010864,-0.315181190199848,Sierra Leone
1995,4324149.0,201.371122828279,,,3.49000000953674,0.836862793111099,Sierra Leone
1996,4347370.0,216.62341891992,,,3.44899988174438,0.0704999668239503,Sierra Leone
1997,4405028.0,193.010812558287,,,3.48000001907349,0.211714174849717,Sierra Leone
1998,4449975.0,151.09656286769,,,3.44700002670288,0.0155991534575685,Sierra Leone
1999,4475145.0,149.578341902359,,,3.46199989318848,0.0796555005207353,Sierra Leone
2000,4584067.0,138.713941615327,23.31109047,,3.42499995231628,6.13342020363546,Sierra Leone
2001,4857096.0,224.510224279638,25.17224312,,3.4779999256134,0.901974621656663,Sierra Leone
2002,5140113.0,243.835207423088,28.83034897,,3.34299993515015,0.830852374207136,Sierra Leone
2003,5350907.0,258.986013435138,28.85776711,,3.41100001335144,0.621661643295108,Sierra Leone
2004,5533329.0,261.783933484061,29.22132874,,3.42000007629395,4.22173059966859,Sierra Leone
2005,5683334.0,290.409531975202,32.27239609,,3.55299997329712,5.49724201135571,Sierra Leone
2006,5809774.0,324.472552951763,33.61574173,,3.67899990081787,3.12284562422112,Sierra Leone
2007,5939163.0,363.434523157213,36.16654587,11.6499744518106,3.78699994087219,4.42299326519641,Sierra Leone
2008,6090860.0,411.34728183432,40.33549118,8.21112432289601,3.92400002479553,2.11917554102029,Sierra Leone
2009,6259842.0,392.006674750444,43.41863632,7.46901898540995,4.05999994277954,4.50019191524705,Sierra Leone
2010,6436698.0,400.520002205964,43.97432327,7.18566275668152,4.17500019073486,9.24754761444723,Sierra Leone
2011,6612385.0,445.005362066105,59.54337692,6.79138291952623,4.29500007629395,32.3011956004517,Sierra Leone
2012,6788587.0,560.037399736372,59.97774506,6.58776239392584,4.375,19.0024595551644,Sierra Leone
2013,6964859.0,706.452664008474,82.92144012,5.52412877994273,4.4689998626709,8.73241079145181,Sierra Leone
2014,7140688.0,702.335379410788,140.99240112,4.63931171409662,4.67999982833862,7.47911914826785,Sierra Leone
2015,7314773.0,576.740231738962,120.91239166,6.68943562498683,4.43699979782104,5.98370115952776,Sierra Leone
2016,7493913.0,490.370588795141,87.09645844,10.8860609413903,3.92700004577637,3.76917588524156,Sierra Leone
2017,7677565.0,484.446449798852,46.68696976,18.2215094003386,3.56100010871887,11.1235121917635,Sierra Leone
2018,7861281.0,519.650015592018,44.26722717,16.0295447693699,3.19000005722046,6.13069806263831,Sierra Leone
2019,8046828.0,506.606894364098,46.15795517,14.804999090602,3.19300007820129,8.39920036925884,Sierra Leone
2020,8233970.0,493.478777501977,,13.4468711101053,3.57200002670288,4.25023076911523,Sierra Leone
2021,8420641.0,480.039211301066,,11.8739588840234,3.69700002670288,5.2517738908079,Sierra Leone
