Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2152400.0,1264.37510720987,,2.08075813761878,,5.91843320736071,Singapore
1973,2193000.0,1685.45979632163,,19.6367305751765,,9.54535545181456,Singapore
1974,2229800.0,2341.70551423633,,22.3684210526315,,6.51515231832985,Singapore
1975,2262600.0,2489.91157517591,,2.53653156878949,,5.17997765554911,Singapore
1976,2293300.0,2758.94038028476,,-1.84189298198423,,3.64608469550863,Singapore
1977,2325300.0,2846.33598832854,,3.16395014381584,,4.40373752423198,Singapore
1978,2353600.0,3193.90565722355,,4.87254381306425,,3.98964635197497,Singapore
1979,2383500.0,3900.53355310873,,4.07646537536399,,8.99256617445563,Singapore
1980,2413945.0,4928.13911785754,,8.52694319425859,,10.3877283805227,Singapore
1981,2532835.0,5596.58597723068,,8.18202196816848,,11.7103417060639,Singapore
1982,2646466.0,6077.63424070932,,3.91628677994199,,9.95912280287286,Singapore
1983,2681061.0,6633.23667366491,,1.19641076769694,,6.37594925354328,Singapore
1984,2732221.0,7228.31758410647,,2.60098522167485,,6.59196673143056,Singapore
1985,2735957.0,7001.7667477117,,0.480122911465352,,5.46417677336253,Singapore
1986,2733373.0,6799.93036332671,,-1.38570336391444,,9.20162995625447,Singapore
1987,2774789.0,7539.02930212443,,0.523306521949805,,13.5578926036223,Singapore
1988,2846108.0,8914.44122574729,,1.5231851923263,,14.4051395946458,Singapore
1989,2930901.0,10394.5389962406,,2.34545627195899,,9.47499553012531,Singapore
1990,3047132.0,11861.7561591366,,3.46075338652821,,15.4235472379856,Singapore
1991,3135083.0,14502.3799938606,,3.42570173078644,2.1800000667572,10.7488600422674,Singapore
1992,3230698.0,16135.9136525986,,2.26307118702849,3.08999991416931,4.22852687355191,Singapore
1993,3313471.0,18290.0282372282,,2.28929964388642,3.0699999332428,7.73274432474072,Singapore
1994,3419048.0,21553.0308996263,,3.10013262599503,3.02999997138977,11.6027506167651,Singapore
1995,3524506.0,24914.411255678,,1.72053384788524,3.29999995231628,13.6006345415095,Singapore
1996,3670704.0,26233.6288964795,,1.38318052481878,3.5699999332428,11.8721207820399,Singapore
1997,3796038.0,26375.9719503189,,2.00358618538958,2.5,15.6823075371521,Singapore
1998,3927213.0,21829.2998697666,,-0.267502292876127,3.41000008583069,6.95061649732685,Singapore
1999,3958723.0,21796.0844360572,,0.0167098337370759,4.84999990463257,21.8497577565321,Singapore
2000,4027887.0,23852.3270285975,797.29034424,1.36162392448455,3.70000004768372,16.1492370418812,Singapore
2001,4138012.0,21700.0200458315,696.6171875,0.997197956155967,3.75999999046326,18.9396175584239,Singapore
2002,4175950.0,22159.6888632741,757.1998291,-0.391676866585079,5.65000009536743,6.65371047340416,Singapore
2003,4114826.0,23730.1524496489,852.96881104,0.507905300237539,5.92999982833862,17.4625857657165,Singapore
2004,4166664.0,27608.5373712744,867.51263428,1.66272719863073,5.84000015258789,21.2023725102097,Singapore
2005,4265762.0,29961.2632774569,908.94598389,0.425106276569101,5.59000015258789,15.1133860890205,Singapore
2006,4401365.0,33769.1541633501,990.80169678,0.962901778165128,4.48000001907349,26.3266055251517,Singapore
2007,4588599.0,39432.9383493761,1121.3425293,2.10488003633213,3.90000009536743,26.1619541585332,Singapore
2008,4839396.0,40007.469261214,1295.24987793,6.62778177352127,3.96000003814697,7.02347967596965,Singapore
2009,4987573.0,38927.2068817715,1328.52478027,0.596720257424972,5.8600001335144,12.07096992856,Singapore
2010,5076732.0,47236.9602345421,1496.77600098,2.82366134885609,4.11999988555908,23.0693363234385,Singapore
2011,5183688.0,53890.4287270504,1676.00183105,5.2477933984048,3.89000010490417,17.5963671617229,Singapore
2012,5312437.0,55546.4885386921,1828.89758301,4.57560270376522,3.72000002861023,18.7438843921531,Singapore
2013,5399162.0,56967.4257940383,2078.59448242,2.35860415399836,3.85999989509583,20.9344810446532,Singapore
2014,5469724.0,57562.5307937678,2206.10742188,1.02514803039394,3.74000000953674,21.8193490738118,Singapore
2015,5535002.0,55646.6187469505,2302.59960938,-0.522618167075314,3.78999996185303,22.6537707423889,Singapore
2016,5607283.0,56860.4132375207,2476.17456055,-0.53226873971629,4.07999992370605,20.5007570444058,Singapore
2017,5612253.0,61150.7271966595,2625.00415039,0.576260310166371,4.19999980926514,28.9079934980423,Singapore
2018,5638676.0,66859.3383447804,2667.67480469,0.438620118446782,3.64100003242493,21.533406610475,Singapore
2019,5703569.0,65831.1894308765,2632.71386719,0.565260568780358,3.09999990463257,29.690440566543,Singapore
2020,5685807.0,60729.4503486794,,-0.181916666666656,4.09999990463257,21.6482464902143,Singapore
2021,5453566.0,72794.0030226738,,2.30485959040487,3.53999996185303,26.5728420913786,Singapore
