Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,7226.0,,,,,,Sint Maarten (Dutch part)
1973,7750.0,,,,,,Sint Maarten (Dutch part)
1974,8312.0,,,,,,Sint Maarten (Dutch part)
1975,8906.0,,,,,,Sint Maarten (Dutch part)
1976,9523.0,,,,,,Sint Maarten (Dutch part)
1977,10172.0,,,,,,Sint Maarten (Dutch part)
1978,10850.0,,,,,,Sint Maarten (Dutch part)
1979,11542.0,,,,,,Sint Maarten (Dutch part)
1980,12243.0,,,,,,Sint Maarten (Dutch part)
1981,13134.0,,,,,,Sint Maarten (Dutch part)
1982,14418.0,,,,,,Sint Maarten (Dutch part)
1983,15927.0,,,,,,Sint Maarten (Dutch part)
1984,17474.0,,,,,,Sint Maarten (Dutch part)
1985,19064.0,,,,,,Sint Maarten (Dutch part)
1986,20703.0,,,,,,Sint Maarten (Dutch part)
1987,22395.0,,,,,,Sint Maarten (Dutch part)
1988,24139.0,,,,,,Sint Maarten (Dutch part)
1989,25952.0,,,,,,Sint Maarten (Dutch part)
1990,27845.0,,,,,,Sint Maarten (Dutch part)
1991,29820.0,,,,,,Sint Maarten (Dutch part)
1992,31345.0,,,,,,Sint Maarten (Dutch part)
1993,31823.0,,,,,,Sint Maarten (Dutch part)
1994,31735.0,,,,,,Sint Maarten (Dutch part)
1995,31596.0,,,,,,Sint Maarten (Dutch part)
1996,31410.0,,,,,,Sint Maarten (Dutch part)
1997,31195.0,,,,,,Sint Maarten (Dutch part)
1998,31240.0,,,,,,Sint Maarten (Dutch part)
1999,31084.0,,,,,,Sint Maarten (Dutch part)
2000,30519.0,,,,,,Sint Maarten (Dutch part)
2001,30600.0,,,,,,Sint Maarten (Dutch part)
2002,30777.0,,,,,,Sint Maarten (Dutch part)
2003,31472.0,,,,,,Sint Maarten (Dutch part)
2004,32488.0,,,,,,Sint Maarten (Dutch part)
2005,33011.0,,,,,,Sint Maarten (Dutch part)
2006,33441.0,,,0.300601202404787,,,Sint Maarten (Dutch part)
2007,33811.0,,,4.43245754245759,,,Sint Maarten (Dutch part)
2008,33964.0,,,-0.417929020080811,,,Sint Maarten (Dutch part)
2009,34238.0,,,5.957636887608,,,Sint Maarten (Dutch part)
2010,34056.0,,,1.33857621672885,,,Sint Maarten (Dutch part)
2011,33435.0,27997.2898302635,,4.58475435650402,,-5.17904034375746,Sint Maarten (Dutch part)
2012,34640.0,28460.3326151186,,4.01518421081602,,1.37020456734856,Sint Maarten (Dutch part)
2013,36607.0,27942.8805401415,,2.52864788538364,,4.62971054068815,Sint Maarten (Dutch part)
2014,37685.0,33043.6883812669,,1.8867546627522,,3.83131449080305,Sint Maarten (Dutch part)
2015,38825.0,32274.8905524359,,0.330027165141339,,2.21622826571556,Sint Maarten (Dutch part)
2016,39969.0,31616.6816992667,,0.111682655737255,,3.28824049513704,Sint Maarten (Dutch part)
2017,40574.0,29369.0568278169,,2.19201010963043,,5.39167612330051,Sint Maarten (Dutch part)
2018,40895.0,28988.2592085877,,,,-4.04184728652215,Sint Maarten (Dutch part)
2019,41608.0,,,,,,Sint Maarten (Dutch part)
2020,42310.0,,,,,,Sint Maarten (Dutch part)
2021,42846.0,,,,,,Sint Maarten (Dutch part)
