Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4596622.0,,,,,,Slovak Republic
1973,4641445.0,,,,,,Slovak Republic
1974,4689623.0,,,,,,Slovak Republic
1975,4739105.0,,,,,,Slovak Republic
1976,4789507.0,,,,,,Slovak Republic
1977,4840501.0,,,,,,Slovak Republic
1978,4890125.0,,,,,,Slovak Republic
1979,4938973.0,,,,,,Slovak Republic
1980,4979815.0,,,,,,Slovak Republic
1981,5016105.0,,,,,,Slovak Republic
1982,5055099.0,,,,,,Slovak Republic
1983,5091971.0,,,,,,Slovak Republic
1984,5127097.0,,,,,,Slovak Republic
1985,5161768.0,,,,,,Slovak Republic
1986,5193838.0,,,,,,Slovak Republic
1987,5222840.0,,,,,,Slovak Republic
1988,5250596.0,,,,,,Slovak Republic
1989,5275942.0,,,,,,Slovak Republic
1990,5299187.0,2405.53516040785,,,,,Slovak Republic
1991,5303294.0,2691.19565226261,,,11.576000213623,,Slovak Republic
1992,5305016.0,2920.91754234186,,9.89350519771171,11.8699998855591,,Slovak Republic
1993,5325305.0,3102.29685877712,,23.287027664545,12.1999998092651,1.20354790686839,Slovak Republic
1994,5346331.0,3771.35951578288,,13.4155203422246,13.6499996185303,1.33848444626211,Slovak Republic
1995,5361999.0,4819.12555470987,,9.84109579837757,13.1099996566772,0.913822141452238,Slovak Republic
1996,5373361.0,5196.94037965932,,5.77582786155945,11.3400001525879,1.25631433580972,Slovak Republic
1997,5383291.0,5146.67107827084,,6.14198999595653,11.8900003433228,0.637791805449138,Slovak Republic
1998,5390516.0,5538.61646477184,,6.66565123195829,12.1899995803833,2.1657701630621,Slovak Republic
1999,5396020.0,5645.58139584233,,10.5704416075224,15.9399995803833,1.11245691978681,Slovak Republic
2000,5388720.0,5426.62428119306,203.50627136,12.0357805974299,19.0599994659424,7.46555440418898,Slovak Republic
2001,5378867.0,5722.1681828083,212.22207642,7.32962019115532,19.3799991607666,4.97935256715276,Slovak Republic
2002,5376912.0,6564.69631373665,254.12765503,3.12714222984604,18.7199993133545,11.9339962576789,Slovak Republic
2003,5373374.0,8731.93736824381,344.47335815,8.55414305406651,17.1200008392334,2.06564628576306,Slovak Republic
2004,5372280.0,10691.4465495259,511.52987671,7.54850088183419,18.6000003814697,7.07465107851263,Slovak Republic
2005,5372807.0,11690.1134689407,601.31323242,2.70908494588391,16.2600002288818,6.24675700175644,Slovak Republic
2006,5373054.0,13170.7849804675,729.01324463,4.48333120449611,13.3699998855591,8.05659335755308,Slovak Republic
2007,5374622.0,16106.0604446695,1029.30041504,2.75672371638138,11.1400003433228,5.84334734246993,Slovak Republic
2008,5379233.0,18753.5849413816,1251.67724609,4.59817976325028,9.51000022888184,4.60041224731761,Slovak Republic
2009,5386406.0,16597.2084581361,1320.09301758,1.61510464058236,12.0299997329712,1.70144888103606,Slovak Republic
2010,5391428.0,16908.8479564876,1296.54284668,0.957018132975136,14.3800001144409,2.3209380550694,Slovak Republic
2011,5398384.0,18509.7402157541,1352.43835449,3.91928599146294,13.6199998855591,5.43579525391974,Slovak Republic
2012,5407579.0,17498.3539002594,1319.43835449,3.60610263522886,13.960000038147,1.8775059075327,Slovak Republic
2013,5413393.0,18276.0095516546,1370.46765137,1.40047368963031,14.2200002670288,1.01470597343894,Slovak Republic
2014,5418649.0,18719.9881409371,1289.34838867,-0.0761653295419824,13.1800003051758,-0.357767206853192,Slovak Republic
2015,5423801.0,16390.8821748507,1108.87817383,-0.325219777427739,11.4799995422363,1.7102056496971,Slovak Republic
2016,5430798.0,16563.4404971229,1175.5970459,-0.520010196278324,9.67000007629395,5.27263149273794,Slovak Republic
2017,5439232.0,17585.197002257,1189.07226563,1.31194588223234,8.13000011444092,4.41775584405629,Slovak Republic
2018,5446771.0,19486.3936845505,1299.91137695,2.51403712883808,6.53999996185303,2.12068480983264,Slovak Republic
2019,5454147.0,19383.4810445228,1342.0748291,2.66456133425443,5.75,2.15645440703311,Slovak Republic
2020,5458827.0,19545.7428171932,,1.9369412669422,6.69000005722046,-1.0700444016916,Slovak Republic
2021,5447247.0,21391.9253336042,,3.14960629921263,6.82999992370605,0.833199772085741,Slovak Republic
