Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1752233.0,,,,,,Slovenia
1973,1766697.0,,,,,,Slovenia
1974,1776132.0,,,,,,Slovenia
1975,1793581.0,,,,,,Slovenia
1976,1820249.0,,,,,,Slovenia
1977,1842377.0,,,,,,Slovenia
1978,1862548.0,,,,,,Slovenia
1979,1882599.0,,,,,,Slovenia
1980,1901315.0,,,,,,Slovenia
1981,1906531.0,,,42.6229527318245,,,Slovenia
1982,1910334.0,,,30.1125435950715,,,Slovenia
1983,1922321.0,,,40.2134918436936,,,Slovenia
1984,1932154.0,,,53.6719669102483,,,Slovenia
1985,1941641.0,,,79.4063811481874,,,Slovenia
1986,1965964.0,,,95.8865052101643,,,Slovenia
1987,1989776.0,,,132.072721014831,,,Slovenia
1988,1995196.0,,,198.753712862023,,,Slovenia
1989,1996351.0,,,1281.44349404876,,,Slovenia
1990,1998161.0,,,552.083528914325,,,Slovenia
1991,1999429.0,,,114.832935589747,7.07999992370605,,Slovenia
1992,1996498.0,,,209.933731186822,7.6729998588562,,Slovenia
1993,1991746.0,,,31.7621306305932,8.51000022888184,,Slovenia
1994,1989443.0,,,20.9918180471499,8.23999977111816,,Slovenia
1995,1989872.0,10730.4510136379,,13.4637296178669,7.15000009536743,0.704376274168364,Slovenia
1996,1988628.0,10815.1110457688,,9.86445061546852,6.88000011444092,0.805775446941436,Slovenia
1997,1985956.0,10454.9656390657,,8.35967990704295,6.65000009536743,1.61103097300906,Slovenia
1998,1981629.0,11175.7710286265,,7.8911668285669,7.3899998664856,0.973980586470562,Slovenia
1999,1983045.0,11452.7831245082,,6.15558754451559,7.32000017166138,0.46936813071192,Slovenia
2000,1988925.0,10201.3035366727,796.64703369,8.91174418658764,6.92000007629395,0.66930750249216,Slovenia
2001,1992060.0,10479.7596309273,826.22576904,8.37966587492205,5.67999982833862,2.40080742579028,Slovenia
2002,1994530.0,11777.1556578814,944.87139893,7.48077770703756,5.92000007629395,7.87487714245615,Slovenia
2003,1995733.0,14849.0372415032,1203.06347656,5.54416421752898,6.48000001907349,1.80733988688603,Slovenia
2004,1997012.0,17233.1385611279,1368.64868164,3.59297594249513,6.01000022888184,2.21736097143392,Slovenia
2005,2000474.0,18098.9085440003,1449.18920898,2.45150132316474,6.51000022888184,2.68129421328472,Slovenia
2006,2006868.0,19672.9655554146,1541.66430664,2.45792444195864,5.94999980926514,1.7527944132381,Slovenia
2007,2018122.0,23817.8867320201,1795.95043945,3.65749563284104,4.82000017166138,3.92054973919648,Slovenia
2008,2021316.0,27595.5999653992,2179.45239258,5.64742380573934,4.36999988555908,1.93752757193227,Slovenia
2009,2039669.0,24792.1279805504,2125.05688477,0.83926224679384,5.8600001335144,-0.686151700651444,Slovenia
2010,2048583.0,23532.4808545468,2017.14660645,1.80117022137136,7.23999977111816,0.662011164638898,Slovenia
2011,2052843.0,25128.0150431304,2147.80517578,1.80285171941907,8.17000007629395,1.69810125010742,Slovenia
2012,2057159.0,22641.805122503,1974.85400391,2.5974138603901,8.84000015258789,0.0720040328216091,Slovenia
2013,2059953.0,23503.2824850255,2055.38134766,1.76920085881896,10.1000003814697,0.214853463745323,Slovenia
2014,2061980.0,24247.1733184083,2062.38476563,0.199343826570849,9.67000007629395,2.0388759570282,Slovenia
2015,2063531.0,20890.1664304173,1775.86083984,-0.525552285820838,8.96000003814697,4.01356343441891,Slovenia
2016,2065042.0,21678.3594670629,1835.40734863,-0.0549995416704911,8.0,3.23069044265375,Slovenia
2017,2066388.0,23514.0254604147,1925.03479004,1.42910743319297,6.55999994277954,2.46192788841905,Slovenia
2018,2073894.0,26123.7471277911,2169.57910156,1.73860861988181,5.1100001335144,2.83905082015686,Slovenia
2019,2088385.0,26016.078683914,2219.10058594,1.63052260754338,4.44999980926514,3.96001220325662,Slovenia
2020,2102419.0,25545.2410027136,,-0.0548568157606067,4.96999979019165,0.942654349930018,Slovenia
2021,2108079.0,29291.4006234431,,1.91706506089267,4.73999977111816,3.47925029658054,Slovenia
