Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,17755900.0,587.575561333224,,,,4.41149986632791,Small states
1973,18101072.0,718.297324025736,,,,3.50582166349304,Small states
1974,18462143.0,1093.9788411325,,,,3.07276700874232,Small states
1975,18849654.0,1219.76503452884,,,,2.50640205540273,Small states
1976,19257182.0,1362.89943444991,,,,1.26769658258621,Small states
1977,19681071.0,1514.36044537716,,11.1910016370359,,1.05635543599587,Small states
1978,20106738.0,1593.70424124768,,8.8553459121409,,1.36197406448917,Small states
1979,20524352.0,1937.53814133179,,,,1.45609444551344,Small states
1980,20943051.0,2526.89109389678,,14.4928744064522,,0.55152516679535,Small states
1981,21364236.0,2559.52895003048,,12.4132613723979,,1.78315129771727,Small states
1982,21796965.0,2496.75583841705,,7.27640861779856,,1.33713791025155,Small states
1983,22242599.0,2367.06739818127,,5.58949801843947,,1.19958672330145,Small states
1984,22694297.0,2298.7052352104,,5.40380885957735,,1.00591946308715,Small states
1985,23163146.0,2169.26056501116,,4.81973164877967,,0.882886915878519,Small states
1986,23641226.0,2086.0302357147,,5.09996143776998,,0.616614542882124,Small states
1987,24116273.0,2335.93479277573,,4.32798297139019,,0.933993573951758,Small states
1988,24594588.0,2522.36984355392,,5.65760972307996,,1.20456928699757,Small states
1989,25113605.0,2570.03180734729,,6.18973405113237,,1.02986725250613,Small states
1990,25640496.0,2920.50971744471,,7.6657107329255,,1.40281454410676,Small states
1991,26140490.0,2925.81043032654,,6.36333121758468,9.99694154997712,2.256771086335,Small states
1992,26545612.0,3065.77485865668,,5.30536169644501,10.4293002436702,2.8738099355034,Small states
1993,26935348.0,2980.99176199827,,4.29137553446651,10.8108047342829,0.63821154663681,Small states
1994,27353950.0,3088.63985276457,,3.45205833010708,10.9481697408683,2.11008544869409,Small states
1995,27759071.0,3451.14639866751,,5.33553336344389,10.9812338102298,3.3539544083805,Small states
1996,28194606.0,3613.32808696918,,3.22736812024711,11.0474749678585,5.14174922354057,Small states
1997,28645950.0,3809.08808809979,,3.61571160103854,11.0702791602098,4.29394359444894,Small states
1998,29106853.0,3744.8317183351,,3.23819447969777,10.8601572485999,4.76540335734038,Small states
1999,29583318.0,3951.63475558408,,2.95370836069138,10.7656283045831,4.74404572974633,Small states
2000,30055791.0,4312.75067653232,223.871885551384,3.06743966930588,10.5253703969685,4.96533038972016,Small states
2001,30514882.0,4265.67338722821,220.805704249913,3.41478946111599,10.57743942764,4.7899986154644,Small states
2002,30971830.0,4494.77583109706,242.119179466643,2.6282560973323,10.5500919986002,4.02264416605522,Small states
2003,31425957.0,5291.8754183839,289.99018202348,2.44519568178218,10.8355250926912,5.1268982797969,Small states
2004,31893127.0,6273.61623096982,333.655153909254,3.15819324298464,10.5341467378208,8.74420371610781,Small states
2005,32425757.0,7350.16290600385,364.270580165372,3.47580693755399,10.2790973969221,16.4865670198005,Small states
2006,33079043.0,8383.63694139828,387.288978565705,4.09405790953917,9.64025463022684,16.9668342069034,Small states
2007,33808469.0,9828.3317695054,449.9602534344,4.965976545533,9.21157562606343,19.5382037370858,Small states
2008,34550707.0,11585.7895970117,493.206584134008,8.75872769588797,8.98521978582445,11.8822932365689,Small states
2009,35254103.0,9726.71099478147,471.694061363039,2.79551283550411,9.70433102565891,25.269593439391,Small states
2010,35871823.0,10982.6283297217,485.599919367259,3.25034409180125,9.89461148973957,14.6092536458158,Small states
2011,36444557.0,13023.122324438,521.611259537766,4.79588266183109,9.65928283183099,13.0821761147929,Small states
2012,37059328.0,13379.8099524495,523.49328609341,3.63540048080478,9.59276571766051,17.2771867104547,Small states
2013,37740469.0,13662.8737452669,562.392966866817,1.9234360410831,9.79792843904081,7.13498401444857,Small states
2014,38493630.0,13836.880534668,594.885184361911,1.64162982570276,9.50864978184627,12.3492604931947,Small states
2015,39276796.0,11585.6451509215,568.311986600342,0.961100058801629,9.34472917146805,9.05984440659615,Small states
2016,40032809.0,11163.9732961148,578.396876161194,1.12980163266898,9.28912188218192,4.24514141469828,Small states
2017,40727936.0,11854.0160327081,613.514502858361,1.82039999682068,8.87427296264693,4.50474120308268,Small states
2018,41379093.0,12808.1908837461,637.419304817947,2.28005326857485,8.4590963388056,1.9924919060094,Small states
2019,41965375.0,12427.5767384523,635.899467077043,1.43135598182989,8.32805982945836,13.0429235780729,Small states
2020,42392777.0,10702.9616881658,,0.615892757721104,9.47554078844514,-2.60318385858331,Small states
2021,42792053.0,12588.9277948417,,2.4284453278932,9.34331626822589,-2.2811000348044,Small states
