Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,181876.0,223.26591771668,,6.87754613015536,,-0.0246264705882353,Solomon Islands
1973,186816.0,295.863891976798,,3.22869955135239,,1.26646153846154,Solomon Islands
1974,192155.0,439.953851227197,,18.8531711555988,,-0.0591440677966102,Solomon Islands
1975,197853.0,377.134016055337,,10.0694444446641,,10.5267751329799,Solomon Islands
1976,204082.0,407.184895809702,,4.25531914893603,,5.88247275201912,Solomon Islands
1977,210932.0,441.597478120075,,8.6167800453515,,4.76181675612454,Solomon Islands
1978,218193.0,508.82516837034,,6.26304801670158,,4.12390800897164,Solomon Islands
1979,225786.0,669.971600773272,,8.05500982318267,,2.29017068814395,Solomon Islands
1980,233668.0,782.52929019853,,13.0909090909091,,1.31808211353133,Solomon Islands
1981,241827.0,801.194558349944,,16.3987138263665,,0.118627386522177,Solomon Islands
1982,250250.0,770.836934829713,,12.9834254143648,,0.53382324927075,Solomon Islands
1983,258945.0,699.841085178527,,6.23471882640582,,0.240220458139341,Solomon Islands
1984,267913.0,677.721701896164,,11.0471806674338,,1.08099209436031,Solomon Islands
1985,277158.0,597.222454052979,,9.56822107081142,,0.407990287049654,Solomon Islands
1986,286527.0,515.204666732791,,13.5718789407313,,2.10051090327085,Solomon Islands
1987,295836.0,524.373531447041,,10.9923664122135,,6.75745755739901,Solomon Islands
1988,305132.0,578.419903966329,,16.7375265724654,,0.952244721338368,Solomon Islands
1989,314560.0,549.600825933381,,14.9322478710301,,6.7093575990506,Solomon Islands
1990,324171.0,662.852748636787,,8.73759261848179,,4.85848743784581,Solomon Islands
1991,333952.0,681.344272826893,,15.050130775937,1.39800000190735,6.37845831379442,Solomon Islands
1992,343916.0,782.268332421244,,10.7511603675285,1.307000041008,5.26810062249907,Solomon Islands
1993,354086.0,849.36844309793,,9.16866233321989,1.47500002384186,7.77086585061565,Solomon Islands
1994,364505.0,1105.14770678026,,13.2560325916638,1.42200005054474,0.520415360864589,Solomon Islands
1995,375189.0,1251.21792350861,,9.6292197011623,1.40900003910065,0.431553004153041,Solomon Islands
1996,386069.0,1322.51078752103,,11.7743563856636,1.59300005435944,1.16425129548701,Solomon Islands
1997,397050.0,1326.18047066417,,8.08400135486047,1.67299997806549,6.43268309041455,Solomon Islands
1998,408145.0,1121.13218640585,,12.3995038128069,1.65100002288818,1.92415350135683,Solomon Islands
1999,419229.0,1164.11019026822,,8.02036839296842,1.71899998188019,2.0286705490427,Solomon Islands
2000,429978.0,976.43421705057,49.11304855,7.88956186986721,2.11199998855591,0.477402180599127,Solomon Islands
2001,440395.0,929.863847597183,63.79349136,6.92583732057424,1.97200000286102,-2.10427780682414,Solomon Islands
2002,450760.0,768.491662266533,80.39586639,10.9296341872692,1.87399995326996,0.0420896401488773,Solomon Islands
2003,461216.0,905.587472696044,55.79892731,8.26946349334404,1.69099998474121,-0.241664045991743,Solomon Islands
2004,471785.0,991.994382601644,66.97502899,6.98584202682568,1.72200000286102,-0.642137430493352,Solomon Islands
2005,482486.0,1145.86244536955,91.49902344,7.33066341633299,1.78299999237061,0.0991474846605482,Solomon Islands
2006,493430.0,1250.9469374689,89.64290619,11.2199870214146,1.83599996566772,7.17816181236154,Solomon Islands
2007,504619.0,1377.86200603136,90.48252869,7.66602013484803,1.8860000371933,12.3664722163606,Solomon Islands
2008,516001.0,1504.53079585302,79.02152252,17.3200651968774,1.89400005340576,9.68353349651588,Solomon Islands
2009,527833.0,1526.16786536688,100.44355774,7.09271716876284,2.01999998092651,6.0309610734041,Solomon Islands
2010,540394.0,1661.99809077746,134.58465576,1.0514816332104,1.567999958992,18.4739622269472,Solomon Islands
2011,553721.0,1921.34604301498,116.64595795,7.34270706018,1.28799998760223,11.2843274911566,Solomon Islands
2012,567763.0,2087.51873876072,107.06630707,5.91200602491156,1.05499994754791,2.01494928157765,Solomon Islands
2013,582365.0,2208.09586717685,107.64389038,5.39136388587559,0.689999997615814,4.15534752438753,Solomon Islands
2014,597375.0,2235.74734403787,115.32216644,5.16590237925172,0.734000027179718,1.57400056514497,Solomon Islands
2015,612660.0,2134.80245126853,100.54039764,-0.574469286359543,0.732999980449677,2.46368451328652,Solomon Islands
2016,628102.0,2196.27090329466,100.42021942,0.512485626268801,0.690999984741211,2.70707546694138,Solomon Islands
2017,643634.0,2283.5761560497,98.58231354,0.488686760260984,0.698000013828278,2.91769951493288,Solomon Islands
2018,659249.0,2450.48442847981,96.3806076,3.46147484973745,0.71399998664856,1.547066547381,Solomon Islands
2019,674993.0,2398.77275659429,111.90448761,1.63485544012242,0.744000017642975,2.02495106271771,Solomon Islands
2020,691191.0,2222.4656361989,,2.96354992076069,0.892000019550323,0.584582052411519,Solomon Islands
2021,707851.0,2304.84456746354,,-0.1154378944128,0.987999975681305,1.71126587273326,Solomon Islands
