Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3918220.0,106.411185928263,,,,1.07928567625723,Somalia
1973,4022336.0,126.053225847284,,,,0.118336559959913,Somalia
1974,4125823.0,113.329493836215,,,,0.14970782414259,Somalia
1975,4228289.0,168.117701162099,,,,1.65857721640877,Somalia
1976,4333779.0,186.27525970685,,,,0.272521482272793,Somalia
1977,4449505.0,112.046367639429,,,,1.56052279128624,Somalia
1978,4777703.0,118.254747033984,,,,0.0530986552439927,Somalia
1979,5408813.0,109.158858906401,,,,0.00169370997830003,Somalia
1980,5892224.0,102.438851072568,,,,-0.00497023939256382,Somalia
1981,5934938.0,117.796052264702,,,,0.0157342397234522,Somalia
1982,5951805.0,130.115077644356,,,,-0.0981380158426692,Somalia
1983,6142513.0,119.47900898791,,,,-1.12140409897056,Somalia
1984,6369020.0,123.772136598446,,,,-1.89520021449995,Somalia
1985,6630637.0,132.175025967566,,,,-0.0810128091176122,Somalia
1986,6908579.0,134.661368901092,,,,0.328919539353866,Somalia
1987,7158004.0,141.071830138925,,,,6.37160463171726,Somalia
1988,7160461.0,145.003413117807,,,,-4.17898143304001,Somalia
1989,7035378.0,155.271395964097,,,,-3.76787486616655,Somalia
1990,6999096.0,131.02323900236,,,,0.609567099303354,Somalia
1991,6732702.0,,,,19.673999786377,,Somalia
1992,6428141.0,,,,19.8020000457764,,Somalia
1993,6620729.0,,,,19.6100006103516,,Somalia
1994,6959828.0,,,,19.8840007781982,,Somalia
1995,7210930.0,,,,19.5659999847412,,Somalia
1996,7472450.0,,,,19.488000869751,,Somalia
1997,7734313.0,,,,19.5559997558594,,Somalia
1998,8056862.0,,,,19.4589996337891,,Somalia
1999,8384479.0,,,,19.423999786377,,Somalia
2000,8721465.0,,,,19.4009990692139,,Somalia
2001,9070747.0,,,,19.3740005493164,,Somalia
2002,9411103.0,,,,19.3400001525879,,Somalia
2003,9758281.0,,,,19.3229999542236,,Somalia
2004,10117354.0,,,,19.3120002746582,,Somalia
2005,10467292.0,,,,19.2950000762939,,Somalia
2006,10784973.0,,,,19.2870006561279,,Somalia
2007,11118092.0,,,,19.173999786377,,Somalia
2008,11444870.0,,,,19.1749992370605,,Somalia
2009,11730037.0,,,,19.173999786377,,Somalia
2010,12026649.0,,,,19.173999786377,,Somalia
2011,12216837.0,,,,19.1730003356934,,Somalia
2012,12440326.0,,,,19.1609992980957,,Somalia
2013,12852485.0,356.11790249123,,,19.0659999847412,5.63688005243609,Somalia
2014,13309235.0,377.557387161667,,,19.0100002288818,5.19402985930416,Somalia
2015,13763906.0,387.607994416701,,,18.8770008087158,5.67947516401125,Somalia
2016,14292847.0,387.186681561763,,,18.9309997558594,5.96313697144922,Somalia
2017,14864221.0,377.349071976258,,,18.9750003814697,6.57871278302728,Somalia
2018,15411094.0,379.986002695329,,,18.8700008392334,6.96721310735148,Somalia
2019,15981300.0,405.786763279583,,,18.8279991149902,6.89282960678489,Somalia
2020,16537016.0,416.217774718244,,,19.5669994354248,6.74124654946971,Somalia
2021,17065581.0,446.981559635259,,,19.9309997558594,5.97142107125806,Somalia
