Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,23698507.0,1034.49182061067,,6.42570844638618,,0.466954880182471,South Africa
1973,24382513.0,1364.20586798495,,9.43398734926114,,0.0823116695540076,South Africa
1974,25077016.0,1650.4828913979,,11.7241259217023,,1.6818973882802,South Africa
1975,25777964.0,1664.48055673188,,13.4259418678705,,0.438071081013282,South Africa
1976,26480300.0,1554.00240807175,,11.0203906361099,,0.0447139815360367,South Africa
1977,27199838.0,1666.49521820892,,11.1519640869289,,-0.268926391786051,South Africa
1978,27943445.0,1846.85173778466,,11.1356076531847,,-0.211694500016546,South Africa
1979,28697014.0,2196.69850992055,,13.2936586533207,,-0.768650729251682,South Africa
1980,29463549.0,3034.66138994247,,13.6602406858852,,-0.0115197201117079,South Africa
1981,30232561.0,3080.83321934445,,15.2542442656564,,0.0697863092061317,South Africa
1982,31022417.0,2769.09663788001,,14.6390324191598,,0.383800205909868,South Africa
1983,31865176.0,3019.09868499824,,12.3032071438235,,0.0736974743525625,South Africa
1984,32768207.0,2590.01460223483,,11.5264813036766,,0.494284593612298,South Africa
1985,33752964.0,1909.73972253346,,16.2942269399101,,-0.702215388449885,South Africa
1986,34877834.0,2103.19201899378,,18.6549189263064,,-0.0688258791642583,South Africa
1987,36119333.0,2672.68910019476,,16.1605814426616,,-0.198546108134186,South Africa
1988,37393853.0,2780.58681833112,,12.7795448229904,,0.152377334214057,South Africa
1989,38668684.0,2794.39567898293,,14.730918284745,,-0.186208233643805,South Africa
1990,39877570.0,3160.87836503322,,14.3209557277219,,-0.060074196379032,South Africa
1991,40910959.0,3304.84632967771,,15.334802353322,21.1940002441406,0.187962492556665,South Africa
1992,41760755.0,3519.01857067159,,13.8746803836057,21.1590003967285,0.00228503650078138,South Africa
1993,42525440.0,3461.37840011033,,9.71746732988991,20.9710006713867,0.00767038300880566,South Africa
1994,43267982.0,3547.94974989327,,8.93852493545717,20.8279991149902,0.243895535524888,South Africa
1995,43986084.0,3904.30809156182,,8.6804442262446,20.75,0.726947510244042,South Africa
1996,44661603.0,3654.96925406685,,7.3541133870696,20.6270008087158,0.500125795630391,South Africa
1997,45285048.0,3731.40078918512,,8.59778263173684,20.5949993133545,2.2550711064562,South Africa
1998,45852166.0,3336.42999098541,,6.88054637817292,20.5729999542236,0.359739477144212,South Africa
1999,46364681.0,3267.93061026305,,5.1814927974787,20.4190006256104,0.992190194709925,South Africa
2000,46813266.0,3241.67447517796,247.5892334,5.33895102929217,20.2660007476807,0.638424938571595,South Africa
2001,47229714.0,2867.46616836719,211.69155884,5.70190018305716,20.2169990539551,5.36835714550131,South Africa
2002,47661514.0,2708.43540979093,186.78147888,9.49471070324861,20.0879993438721,1.1463521576394,South Africa
2003,48104048.0,4095.71022983511,296.92437744,5.67941771099109,20.0149993896484,0.397490169708058,South Africa
2004,48556071.0,5268.2728672909,375.30838013,-0.692030271024119,19.8659992218018,0.274200087704586,South Africa
2005,49017147.0,5893.21302357697,413.9989624,2.0628461650463,19.7439994812012,2.25780880392155,South Africa
2006,49491756.0,6139.62604497215,430.91564941,3.24390776468061,19.6350002288818,0.205124054253155,South Africa
2007,49996094.0,6662.02968975357,468.23007202,6.17780683499413,19.5429992675781,1.97756754631478,South Africa
2008,50565812.0,6251.89483275936,453.96389771,10.0745755249181,19.5100002288818,3.12685743762335,South Africa
2009,51170779.0,6444.16706763545,499.71777344,7.21531413612565,20.5100002288818,2.31218179795727,South Africa
2010,51784921.0,8059.58701700552,635.09411621,4.08972989470472,23.1800003051758,0.884901952580543,South Africa
2011,52443325.0,8737.07977396507,699.9675293,4.99926696965254,21.4200000762939,0.903377443106824,South Africa
2012,53145033.0,8173.8691381716,658.12298584,5.72465791678303,21.7900009155273,1.06492249485696,South Africa
2013,53873616.0,7441.23085399675,604.76989746,5.78446909667191,22.0400009155273,2.05358095229684,South Africa
2014,54729551.0,6965.1378973693,549.69616699,6.12983770287145,22.6100006103516,1.5193274375398,South Africa
2015,55876504.0,6204.92990145846,503.75946045,4.54064227737914,22.8700008392334,0.438735792056359,South Africa
2016,56422274.0,5735.06678717842,465.08810425,6.57139642173959,24.0200004577637,0.684612553455795,South Africa
2017,56641209.0,6734.47515312493,534.3883667,5.18424664766131,23.9899997711182,0.539673956759456,South Africa
2018,57339635.0,7048.52221139611,564.5032959,4.51716522786587,24.2199993133545,1.37803508753579,South Africa
2019,58087055.0,6688.78727128797,546.68841553,4.12024587014984,25.5400009155273,1.31677675139964,South Africa
2020,58801927.0,5741.64312911877,,3.21003597454107,24.3400001525879,0.934054723379764,South Africa
2021,59392255.0,7055.04477598783,,4.61167217803201,28.7700004577637,9.8555271181587,South Africa
