Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,752485568.0,121.800797475351,,6.39579175585921,,0.0382932445552962,South Asia (IDA & IBRD)
1973,770165966.0,136.050441163094,,14.1852942525168,,0.035058475113653,South Asia (IDA & IBRD)
1974,788296824.0,161.023864528895,,23.2346864409169,,0.0515548815653993,South Asia (IDA & IBRD)
1975,806685026.0,168.426988224926,,7.10598888336975,,0.0123058691554967,South Asia (IDA & IBRD)
1976,825242937.0,160.690221089043,,-0.891858526344835,,0.00444237236339725,South Asia (IDA & IBRD)
1977,844313926.0,181.868709031193,,9.10316146742323,,-0.0098997352591263,South Asia (IDA & IBRD)
1978,863971060.0,202.231121539976,,6.74239195913018,,0.0347057628763612,South Asia (IDA & IBRD)
1979,884140063.0,221.337223602838,,7.27136517189955,,0.0746735531926266,South Asia (IDA & IBRD)
1980,905085264.0,260.707122814725,,13.3113668435427,,0.0855790493218186,South Asia (IDA & IBRD)
1981,926290449.0,270.044287251662,,11.8799135925283,,0.100989223392098,South Asia (IDA & IBRD)
1982,948106347.0,272.957137427977,,9.84677216779704,,0.0791398207133884,South Asia (IDA & IBRD)
1983,971004522.0,282.132023710134,,12.3772380782713,,0.0267855345483512,South Asia (IDA & IBRD)
1984,994421612.0,274.206578383581,,7.03770661157025,,0.0397170325852636,South Asia (IDA & IBRD)
1985,1018226720.0,291.203384346352,,5.55642423236555,,0.0878438338024212,South Asia (IDA & IBRD)
1986,1042259867.0,301.30193531017,,9.22595700190566,,0.0840198976861337,South Asia (IDA & IBRD)
1987,1066468674.0,326.957981538273,,8.80112581251833,,0.118597366462882,South Asia (IDA & IBRD)
1988,1091108954.0,343.392492800722,,8.98300338208987,,0.0878873535706796,South Asia (IDA & IBRD)
1989,1116263876.0,338.73093590965,,7.84426473740038,,0.12976122004185,South Asia (IDA & IBRD)
1990,1141434379.0,356.627267040578,,8.97123250273256,,0.133832254857975,South Asia (IDA & IBRD)
