Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3464715.0,,,,,,South Sudan
1973,3542465.0,,,,,,South Sudan
1974,3629608.0,,,,,,South Sudan
1975,3718279.0,,,,,,South Sudan
1976,3808615.0,,,,,,South Sudan
1977,3901044.0,,,,,,South Sudan
1978,3995911.0,,,,,,South Sudan
1979,4092792.0,,,,,,South Sudan
1980,4192012.0,,,,,,South Sudan
1981,4293866.0,,,,,,South Sudan
1982,4398297.0,,,,,,South Sudan
1983,4502541.0,,,,,,South Sudan
1984,4603039.0,,,,,,South Sudan
1985,4706975.0,,,,,,South Sudan
1986,4819667.0,,,,,,South Sudan
1987,4893809.0,,,,,,South Sudan
1988,4814879.0,,,,,,South Sudan
1989,4706626.0,,,,,,South Sudan
1990,4750817.0,,,,,,South Sudan
1991,4867185.0,,,,12.0570001602173,,South Sudan
1992,4956969.0,,,,12.0860004425049,,South Sudan
1993,5018172.0,,,,12.1239995956421,,South Sudan
1994,5142863.0,,,,12.1639995574951,,South Sudan
1995,5302042.0,,,,12.1180000305176,,South Sudan
1996,5434894.0,,,,12.1230001449585,,South Sudan
1997,5589410.0,,,,12.081000328064,,South Sudan
1998,5699436.0,,,,12.1450004577637,,South Sudan
1999,5850145.0,,,,12.1579999923706,,South Sudan
2000,6114440.0,,,,12.1260004043579,,South Sudan
2001,6394431.0,,,,12.1269998550415,,South Sudan
2002,6686100.0,,,,12.1350002288818,,South Sudan
2003,6992367.0,,,,12.1350002288818,,South Sudan
2004,7317118.0,,,,12.1470003128052,,South Sudan
2005,7662654.0,,,,12.1400003433228,,South Sudan
2006,8029517.0,,,,12.1280002593994,,South Sudan
2007,8417823.0,,,,12.1330003738403,,South Sudan
2008,8823888.0,1653.04153713909,,,12.1499996185303,,South Sudan
2009,9229227.0,1325.2750772158,,5.00627361534051,12.2110004425049,,South Sudan
2010,9714419.0,1503.13388901082,,1.16962180301104,12.1379995346069,,South Sudan
2011,10243050.0,1455.35840718862,,46.8521757193597,12.2030000686646,,South Sudan
2012,10701604.0,1114.92372260191,,45.5258978371706,12.3420000076294,1.34937246395858,South Sudan
2013,11106031.0,1659.14078728478,,-0.0580909784225319,12.03600025177,-4.30359174766787,South Sudan
2014,11213284.0,1245.14931107226,,1.67429906295517,12.1389999389648,0.00741877910985015,South Sudan
2015,11194299.0,1071.77776475545,,52.7663304192143,12.289999961853,0.0012502291294692,South Sudan
2016,11066105.0,,,379.999585624026,12.326000213623,,South Sudan
2017,10658226.0,,26.38130379,187.851630279442,12.2600002288818,,South Sudan
2018,10395329.0,,26.70323944,83.5015294921999,12.2290000915527,,South Sudan
2019,10447666.0,,22.63818741,87.2413641500032,12.1990003585815,,South Sudan
2020,10606227.0,,,29.6758435538571,13.7449998855591,,South Sudan
2021,10748272.0,,,10.5167158294359,13.4849996566772,,South Sudan
