Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,34604469.0,1708.80862877366,,8.27228754941943,,0.453220114546117,Spain
1973,34988947.0,2247.55337693219,,11.4167076137085,,0.495933813326443,Spain
1974,35373335.0,2749.92466346596,,15.6803733985389,,0.368032543790051,Spain
1975,35757900.0,3209.83744506281,,16.9532859334983,,0.594748978220345,Spain
1976,36137812.0,3279.31267061507,,17.6248800527482,,0.403032120599911,Spain
1977,36511638.0,3627.59066324096,,24.5380632929204,,0.458798102401209,Spain
1978,36864898.0,4356.43922031196,,19.7736704973662,,0.733598103855613,Spain
1979,37191330.0,5770.21461386463,,15.6602355971771,,0.650884304900209,Spain
1980,37491165.0,6208.5780190814,,15.5619020957245,,0.641284342342332,Spain
1981,37758631.0,5371.16643640984,,14.5493457170322,,0.841568277569463,Spain
1982,37986012.0,5159.70864500142,,14.4150020548327,,0.909548257698783,Spain
1983,38171525.0,4478.50028561471,,12.17407273517,,0.949036375675546,Spain
1984,38330364.0,4489.98893854814,,11.2802765604036,,1.029517604291,Spain
1985,38469512.0,4699.65576367274,,8.81445506678394,,1.08842677559386,Spain
1986,38584624.0,6513.50328578924,,8.79493932290324,,1.37298401040728,Spain
1987,38684815.0,8239.6138016479,,5.24801863489584,,1.43395463404209,Spain
1988,38766939.0,9703.1238381095,,4.83727066490366,,1.86637614914466,Spain
1989,38827764.0,10681.9712029257,,6.79143584025096,,2.03212444681992,Spain
1990,38867322.0,13804.8767869937,,6.72181952228662,,2.60616678962101,Spain
1991,38966376.0,14811.9028194881,,5.93421344335925,15.9300003051758,2.16450363512399,Spain
1992,39157685.0,16112.1889152156,,5.92453126228495,17.7000007629395,2.10419813480618,Spain
1993,39361262.0,13339.908563675,,4.56907173681805,22.1599998474121,2.05840157702473,Spain
1994,39549108.0,13415.2870010456,,4.71841373967334,24.2099990844727,1.65345758769446,Spain
1995,39724050.0,15471.962716535,,4.67380337624704,22.6800003051758,1.34745945271764,Spain
1996,39889852.0,16109.0843985284,,3.55884559338558,22.1399993896484,1.52529522405733,Spain
1997,40057389.0,14730.7971752046,,1.97107395582925,20.7000007629395,1.59871604967868,Spain
1998,40223509.0,15394.3514628249,,1.83432999908412,18.6700000762939,2.53783621300102,Spain
1999,40386875.0,15720.6405016061,,2.31034813987068,15.4799995422363,3.0915641750746,Spain
2000,40567864.0,14749.6874248766,1005.28399658,3.43351563418762,13.789999961853,6.77009273042178,Spain
2001,40850412.0,15369.0011599444,1045.05065918,3.58983413338114,10.3500003814697,4.60465661678133,Spain
2002,41431558.0,17106.686576658,1174.5793457,3.0656568590222,11.1499996185303,5.5533457146155,Spain
2003,42187645.0,21510.8362454011,1641.05871582,3.03888839396654,11.2799997329712,3.38790004154804,Spain
2004,42921895.0,24907.0008505856,1924.4453125,3.03924881090927,11.0900001525879,2.3635993180717,Spain
2005,43653155.0,26429.1509449319,2060.33081055,3.36881409750382,9.14999961853027,2.34093823726441,Spain
2006,44397319.0,28389.0785799873,2242.17822266,3.51557576832125,8.44999980926514,2.61249350717978,Spain
2007,45226803.0,32591.3503065871,2606.17895508,2.78679745804947,8.22999954223633,4.62887025092435,Spain
2008,45954106.0,35510.7222312701,2995.04980469,4.07534335957341,11.25,4.54012423037454,Spain
2009,46362946.0,32169.5028548583,2937.53442383,-0.287813083535237,17.8600006103516,0.640294112308163,Spain
2010,46576897.0,30532.4805081656,2789.53393555,1.79986457728766,19.8600006103516,2.57430062720058,Spain
2011,46742697.0,31677.9003083652,2909.11767578,3.19610188833788,21.3899993896484,1.81210524220555,Spain
2012,46773055.0,28322.9465923276,2591.01611328,2.44612782366812,24.7900009155273,1.57376618001706,Spain
2013,46620045.0,29077.1820557563,2629.60546875,1.40858109183012,26.0900001525879,3.49468567383381,Spain
2014,46480882.0,29513.6511800405,2679.62939453,-0.151114837527181,24.4400005340576,2.40142613065937,Spain
2015,46444832.0,25754.36102944,2349.05444336,-0.500365709903282,22.0599994659424,1.92592371859084,Spain
2016,46484062.0,26537.1594894542,2376.72119141,-0.202598000426425,19.6399993896484,3.58746392265577,Spain
2017,46593236.0,28185.3213671969,2526.72045898,1.95607633363964,17.2199993133545,2.4036144121704,Spain
2018,46797754.0,30379.7211126422,2740.26928711,1.67498136863794,15.25,4.12365956451029,Spain
2019,47134837.0,29581.5185513299,2711.19287109,0.699518994458693,14.1000003814697,1.85614863696109,Spain
2020,47365655.0,26959.6754367326,,-0.322753017299705,15.5299997329712,2.86855175232118,Spain
2021,47415750.0,30103.513733191,,3.09313511976406,14.7799997329712,3.07622959214422,Spain
