Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,13002234.0,196.422887667512,,6.34948605013606,,0.0117465730963468,Sri Lanka
1973,13252033.0,216.995007483003,,9.62664310171117,,0.0173875244512063,Sri Lanka
1974,13501931.0,264.746314150577,,12.3028867952473,,0.0391653667704346,Sri Lanka
1975,13755141.0,275.627719520027,,6.62599255320982,,0.00376417333912782,Sri Lanka
1976,14012894.0,256.286806801844,,1.32951868058228,,2.78449160679403e-05,Sri Lanka
1977,14273495.0,287.561636646356,,1.22487958802843,,-0.0296884971590161,Sri Lanka
1978,14533691.0,188.058481255879,,12.141597276466,,0.053944134412781,Sri Lanka
1979,14788866.0,227.509765268107,,10.731921430873,,1.3942692352575,Sri Lanka
1980,15035840.0,267.668577184682,,26.1454101014465,,1.06868442099929,Sri Lanka
1981,15272822.0,289.130859761487,,17.9689954960101,,1.11563163647885,Sri Lanka
1982,15501210.0,307.638243518979,,10.8257491675687,,1.3329993952062,Sri Lanka
1983,15724641.0,328.650638330468,,13.9643880065,,0.731028082171103,Sri Lanka
1984,15948501.0,378.936856997864,,16.6382537479217,,0.539629797470405,Sri Lanka
1985,16176282.0,369.581896014033,,1.48118012235432,,0.437605602559793,Sri Lanka
1986,16408861.0,390.350711355465,,7.97636193570623,,0.464045944529907,Sri Lanka
1987,16643956.0,401.477095923903,,7.71716560559268,,0.890492572784856,Sri Lanka
1988,16878186.0,413.45507042426,,13.9915489002076,,0.655203410477031,Sri Lanka
1989,17106752.0,408.450866872481,,11.5675360890558,,0.282532657248095,Sri Lanka
1990,17325769.0,463.618738841557,,21.495252052759,,0.539742838707762,Sri Lanka
1991,17535732.0,513.258447470619,,12.1856307214389,14.6599998474121,0.537191399720341,Sri Lanka
1992,17736827.0,547.054534380126,,11.3834370512206,14.2200002670288,1.26379157039996,Sri Lanka
1993,17924827.0,576.779883887392,,11.7467370174947,13.8199996948242,1.8810822763682,Sri Lanka
1994,18094474.0,647.57915642214,,8.44871248698343,13.0299997329712,1.42019594735505,Sri Lanka
1995,18242917.0,714.233231504348,,7.6748487344981,12.2700004577637,0.42975354803099,Sri Lanka
1996,18367290.0,756.656990511326,,15.9358310447214,11.3500003814697,0.862545735590984,Sri Lanka
1997,18470897.0,817.064481692963,,9.57369626405166,10.6000003814697,2.84957994822129,Sri Lanka
1998,18564595.0,850.811603871151,,9.36424300683233,9.17000007629395,1.22459231183785,Sri Lanka
1999,18663293.0,838.883462825646,,4.69170563048432,8.88000011444092,1.12676594982183,Sri Lanka
2000,18777606.0,869.696285031043,43.71691132,6.17627591012044,7.73999977111816,1.05898829001768,Sri Lanka
2001,18911727.0,832.80357234611,41.32370377,14.1584557991201,7.90000009536743,1.09074720867871,Sri Lanka
2002,19062476.0,867.491486787101,42.84844971,9.5510316700725,8.76000022888184,1.1882779089504,Sri Lanka
2003,19224036.0,982.195696950166,42.36933517,6.31463787051173,8.22000026702881,1.21132740876657,Sri Lanka
2004,19387153.0,1065.78443680197,50.92406845,7.57592582995856,8.38000011444092,1.12667735136244,Sri Lanka
2005,19544988.0,1248.69818517034,57.3034668,11.6396860971118,7.67000007629395,1.11612854301768,Sri Lanka
2006,19695977.0,1435.81681297616,65.39842987,10.0201836057035,6.5,1.69626286904324,Sri Lanka
2007,19842044.0,1630.38890604323,73.7281723,15.8421114924843,5.96999979019165,1.86397332206663,Sri Lanka
2008,19983984.0,2037.32210302668,92.90744781,22.5644955300126,5.21999979019165,1.84753025405141,Sri Lanka
2009,20123508.0,2090.4018261396,100.3218689,3.46496322106073,5.84999990463257,0.960390594737485,Sri Lanka
2010,20261738.0,2893.93489884978,108.27518463,6.21764889304619,4.78000020980835,0.814444662927395,Sri Lanka
2011,20398496.0,3321.4845323033,118.97396851,6.7167684358854,4.11999988555908,1.41088353771038,Sri Lanka
2012,20425000.0,3449.06690309332,113.44898224,7.54291373239436,3.88000011444092,1.33591782901396,Sri Lanka
2013,20585000.0,3740.6167919104,137.64352417,6.90845034828443,4.23999977111816,1.21109622264713,Sri Lanka
2014,20778000.0,3971.91867501802,137.67100525,3.17900228236063,4.19000005722046,1.08281223610094,Sri Lanka
2015,20970000.0,4060.13178524716,149.96318054,3.76836783062094,4.51999998092651,0.798271027262169,Sri Lanka
2016,21203000.0,4150.93440819051,151.47502136,3.95888846593072,4.23999977111816,1.01923226705104,Sri Lanka
2017,21444000.0,4401.05607475074,148.78862,7.70413767850603,4.05000019073486,1.45452176212016,Sri Lanka
2018,21670000.0,4360.58363413213,162.10839844,2.13503773713198,4.32000017166138,1.70809428811004,Sri Lanka
2019,21803000.0,4082.69461963515,160.69696045,3.52839358231809,4.67000007629395,0.835214636157263,Sri Lanka
2020,21919000.0,3893.84151516764,,6.15394508391743,5.19999980926514,0.508346724411461,Sri Lanka
2021,22156000.0,4013.68765683604,,7.01478071238186,5.23899984359741,0.671922358421746,Sri Lanka
