Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,44416.0,516.589722521269,,,,,St. Kitts and Nevis
1973,44242.0,546.90155003668,,,,,St. Kitts and Nevis
1974,44056.0,715.336306243013,,,,,St. Kitts and Nevis
1975,43888.0,760.209061692015,,,,,St. Kitts and Nevis
1976,43740.0,688.05675113066,,,,,St. Kitts and Nevis
1977,43603.0,1020.48703750422,,,,,St. Kitts and Nevis
1978,43465.0,1137.31354729859,,,,,St. Kitts and Nevis
1979,43278.0,1359.59935165074,,,,,St. Kitts and Nevis
1980,43097.0,1588.49245328583,,17.7366548046812,,1.46072278727548,St. Kitts and Nevis
1981,42953.0,1883.19532719225,,10.476363196689,,1.11263736263736,St. Kitts and Nevis
1982,42794.0,2010.14680147269,,5.92722298201993,,2.5574786876776,St. Kitts and Nevis
1983,42600.0,2039.29751347592,,2.29153537034706,,15.5397339699864,St. Kitts and Nevis
1984,42380.0,2326.65652911052,,2.71490470548819,,6.08496412876085,St. Kitts and Nevis
1985,42144.0,2634.00264349391,,2.619546299557,,7.20672627785934,St. Kitts and Nevis
1986,41889.0,3119.79720655029,,-0.00668553372426713,,7.04265268527703,St. Kitts and Nevis
1987,41617.0,3550.18737891122,,0.963012648651585,,11.2679233931615,St. Kitts and Nevis
1988,41321.0,4179.29364227856,,0.232525033997793,,7.605035708924,St. Kitts and Nevis
1989,40992.0,4696.49001069766,,5.16996495562572,,21.1927664486341,St. Kitts and Nevis
1990,40636.0,5346.47256765575,,4.01098407755617,,22.454824411865,St. Kitts and Nevis
1991,40542.0,5439.80910514382,,4.32373944355425,,9.72525442515028,St. Kitts and Nevis
1992,40900.0,5920.22095445078,,2.85844672514454,,5.17460268901906,St. Kitts and Nevis
1993,41447.0,6363.68266836093,,1.79486146433782,,5.2166708793215,St. Kitts and Nevis
1994,42001.0,7027.43409107543,,1.44226958804941,,5.19995482664724,St. Kitts and Nevis
1995,42550.0,7367.45441093267,,2.95680025092623,,6.52993230231213,St. Kitts and Nevis
1996,43097.0,7748.67031218981,,2.08657385169121,,10.5329118837687,St. Kitts and Nevis
1997,43656.0,8581.66822371819,,8.90518339116018,,5.25045422158889,St. Kitts and Nevis
1998,44230.0,8665.09905958579,,3.44635865955273,,8.33015400092864,St. Kitts and Nevis
1999,44825.0,9070.73027045761,,3.36303630363045,,14.2001176245315,St. Kitts and Nevis
2000,45461.0,9275.98974602226,458.55938721,2.14885532743697,,22.8161678857786,St. Kitts and Nevis
2001,45986.0,9973.5534513591,451.68023682,2.30344748349257,,19.2373112117048,St. Kitts and Nevis
2002,46264.0,10398.5252825083,473.88653564,2.04109102620205,,16.5818833424527,St. Kitts and Nevis
2003,46431.0,10119.7447797779,487.41549683,2.23543664374554,,16.0921497230507,St. Kitts and Nevis
2004,46580.0,10882.3529411765,491.52450562,2.31455462238093,,11.0024608550156,St. Kitts and Nevis
2005,46725.0,11711.1547074094,551.97991943,3.37781903988237,,16.9944918609767,St. Kitts and Nevis
2006,46874.0,13747.8093359819,678.22387695,8.48748575845878,,17.1342476665593,St. Kitts and Nevis
2007,47015.0,14660.9632071719,692.07739258,4.48088608614723,,19.5107106664445,St. Kitts and Nevis
2008,47156.0,16491.8850906212,856.41271973,5.30029675072586,,22.8761745233971,St. Kitts and Nevis
2009,47286.0,16374.256885994,842.46270752,2.05793709041834,,16.886914627789,St. Kitts and Nevis
2010,47403.0,16427.6124108413,828.48223877,0.850878649795933,,14.9307532907001,St. Kitts and Nevis
2011,47581.0,17571.9805680294,872.8114624,5.83516519570853,,13.1125107782035,St. Kitts and Nevis
2012,47727.0,17311.6187824424,829.82159424,0.816089281562403,,11.1856311121435,St. Kitts and Nevis
2013,47767.0,18325.9657798775,877.50299072,1.1069855400014,,12.6562664281181,St. Kitts and Nevis
2014,47789.0,19945.4701725099,891.93127441,0.247865392364824,,16.4354652935726,St. Kitts and Nevis
2015,47790.0,20025.9623507165,958.0848999,-2.30187563045606,,13.403463336484,St. Kitts and Nevis
2016,47788.0,21095.2540386708,1059.45751953,-0.687037123294059,,12.0439684073157,St. Kitts and Nevis
2017,47785.0,22160.4486143567,1072.09655762,0.694916711613505,,4.53531366503027,St. Kitts and Nevis
2018,47761.0,22547.9179898057,1004.72302246,-1.03712214131567,,3.7191339936137,St. Kitts and Nevis
2019,47712.0,23219.3314206225,1087.80102539,-0.329562063663904,,5.63792462945109,St. Kitts and Nevis
2020,47642.0,18566.0955863718,,-1.16724501769362,,0.632813794804118,St. Kitts and Nevis
2021,47606.0,18082.6101907478,,1.19568887038397,,3.07156162641461,St. Kitts and Nevis
