Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,106457.0,,,7.88057628905349,,,St. Lucia
1973,108114.0,,,13.4406006971741,,,St. Lucia
1974,109740.0,,,34.2206042268792,,,St. Lucia
1975,111497.0,,,17.7427876996523,,,St. Lucia
1976,113421.0,,,9.66911984668739,,,St. Lucia
1977,115385.0,,,8.8657319002619,,,St. Lucia
1978,117397.0,,,10.8775182920991,,,St. Lucia
1979,119463.0,,,9.3900427128736,,,St. Lucia
1980,121633.0,1400.69200274901,,19.4777291132912,,18.1369565217391,St. Lucia
1981,123909.0,1569.25198689719,,15.1248443770346,,19.6457142857143,St. Lucia
1982,126194.0,1452.78962021438,,4.61406749873085,,14.4545454545455,St. Lucia
1983,128440.0,1534.07845715538,,1.47305853462302,,5.07518796992481,St. Lucia
1984,130625.0,1925.21708311182,,1.20548410365591,,4.77172312223859,St. Lucia
1985,132751.0,2142.69153862829,,1.42319898238731,,5.9765625,St. Lucia
1986,134810.0,2522.06809583859,,2.19025825433132,,4.27015250544662,St. Lucia
1987,136780.0,2745.69056554727,,7.02175303902778,,3.99408284023669,St. Lucia
1988,138660.0,3098.43956173107,,0.829472425646417,,3.82758620689654,St. Lucia
1989,140457.0,3464.88011752114,,4.37263766397329,,5.47184170471841,St. Lucia
1990,142301.0,4073.26462659876,,4.26755662855973,,7.72651757188499,St. Lucia
1991,144268.0,4253.91426860914,,6.14955053119049,16.9340000152588,9.4091732045866,St. Lucia
1992,146420.0,4603.70218599969,,5.13889779944826,16.7560005187988,6.07362637362637,St. Lucia
1993,148595.0,4608.5993123242,,0.848181596289623,16.7999992370605,4.98864250946458,St. Lucia
1994,150561.0,4740.29598437646,,2.8159166515397,17.0,4.55682407887908,St. Lucia
1995,152348.0,5008.02743037626,,5.62965921512373,15.8299999237061,4.29271844660195,St. Lucia
1996,153969.0,5123.68651409627,,0.924842609616011,16.3299999237061,2.33427230046948,St. Lucia
1997,155454.0,5184.33701240191,,-0.00552028705474139,20.4699993133545,5.93428308823529,St. Lucia
1998,156855.0,5593.74841355014,,3.2019434167909,21.6000003814697,9.50485436893204,St. Lucia
1999,158256.0,5825.06730772831,,3.50379784108943,18.0900001525879,9.02008838891121,St. Lucia
2000,159500.0,5846.97550214791,289.28430176,3.71078608713611,16.4899997711182,5.76330420969022,St. Lucia
2001,160594.0,5558.06937116326,288.75674438,5.30722081028544,18.5149993896484,6.58838174273859,St. Lucia
2002,161799.0,5562.45712272635,304.02978516,-0.255536626916552,20.3899993896484,5.77060164609053,St. Lucia
2003,163047.0,6055.96795652424,322.10931396,1.0342537242623,22.1800003051758,10.778319579895,St. Lucia
2004,164239.0,6494.60034867886,314.05532837,1.46036814425241,20.9699993133545,7.17377673611111,St. Lucia
2005,165386.0,6866.09238723686,337.52008057,3.89827370759478,18.7000007629395,6.88944096542726,St. Lucia
2006,166470.0,7618.90541950613,392.91213989,2.39562082529165,16.0,18.4444685585338,St. Lucia
2007,167518.0,7975.79254059155,439.90484619,2.82310373736928,14.0,20.3497754834329,St. Lucia
2008,168576.0,8528.68208470429,427.18515015,5.54954769383938,12.7200002670288,11.2128551055495,St. Lucia
2009,169688.0,8259.32233799025,426.18545532,-0.156936087168657,15.3699998855591,10.4457200898936,St. Lucia
2010,170935.0,8697.79762504482,430.23776245,3.25034409180125,17.1110000610352,8.15848776807866,St. Lucia
2011,172145.0,9160.81447272594,461.78833008,2.76940794144096,18.8600006103516,6.11395919747361,St. Lucia
2012,173124.0,9271.65949133441,454.57470703,4.17763587102516,19.0599994659424,4.71977552854691,St. Lucia
2013,173978.0,9569.1221921205,482.43463135,1.4685651103543,22.2099990844727,5.01647059273702,St. Lucia
2014,174804.0,10007.1468771353,468.12478638,3.51695551369238,21.30299949646,3.73908673546043,St. Lucia
2015,175623.0,10290.3789108118,462.40115356,-0.983600952697014,20.5559997558594,8.42396433640062,St. Lucia
2016,176413.0,10574.3889059563,509.01565552,-3.07821765676926,19.6590003967285,8.66344462859168,St. Lucia
2017,177163.0,11270.4716144957,514.55822754,0.104262078958419,18.8600006103516,4.50448120894387,St. Lucia
2018,177888.0,11563.837467004,501.52755737,1.93561893150608,19.0799999237061,2.21296537740549,St. Lucia
2019,178583.0,11726.7697662964,502.18170166,0.539087559191731,15.3199996948242,3.60566973497885,St. Lucia
2020,179237.0,8458.1627606739,,-1.75580833517596,20.3899993896484,3.1370728059515,St. Lucia
2021,179651.0,9414.22623085983,,2.41070312174385,19.5200004577637,5.06425618854059,St. Lucia
