Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6114.0,,,,,,St. Martin (French part)
1973,6278.0,,,,,,St. Martin (French part)
1974,6447.0,,,,,,St. Martin (French part)
1975,6656.0,,,,,,St. Martin (French part)
1976,6896.0,,,,,,St. Martin (French part)
1977,7131.0,,,,,,St. Martin (French part)
1978,7357.0,,,,,,St. Martin (French part)
1979,7572.0,,,,,,St. Martin (French part)
1980,7776.0,,,,,,St. Martin (French part)
1981,7963.0,,,,,,St. Martin (French part)
1982,8957.0,,,,,,St. Martin (French part)
1983,10992.0,,,,,,St. Martin (French part)
1984,13299.0,,,,,,St. Martin (French part)
1985,15714.0,,,,,,St. Martin (French part)
1986,18234.0,,,,,,St. Martin (French part)
1987,20853.0,,,,,,St. Martin (French part)
1988,23552.0,,,,,,St. Martin (French part)
1989,26303.0,,,,,,St. Martin (French part)
1990,28127.0,,,,,,St. Martin (French part)
1991,28736.0,,,,,,St. Martin (French part)
1992,29035.0,,,,,,St. Martin (French part)
1993,29247.0,,,,,,St. Martin (French part)
1994,29380.0,,,,,,St. Martin (French part)
1995,29435.0,,,,,,St. Martin (French part)
1996,29407.0,,,,,,St. Martin (French part)
1997,29299.0,,,,,,St. Martin (French part)
1998,29102.0,,,,,,St. Martin (French part)
1999,29099.0,,,,,,St. Martin (French part)
2000,29610.0,,,,,,St. Martin (French part)
2001,30387.0,,,,,,St. Martin (French part)
2002,31160.0,,,,,,St. Martin (French part)
2003,31929.0,,,,,,St. Martin (French part)
2004,32697.0,,,,,,St. Martin (French part)
2005,33452.0,,,,,,St. Martin (French part)
2006,34183.0,,,,,,St. Martin (French part)
2007,34887.0,,,,,,St. Martin (French part)
2008,35541.0,,,,,,St. Martin (French part)
2009,36132.0,,,,,,St. Martin (French part)
2010,36458.0,,,,,,St. Martin (French part)
2011,36350.0,21345.0032626377,,,,,St. Martin (French part)
2012,36026.0,,,,,,St. Martin (French part)
2013,35639.0,,,,,,St. Martin (French part)
2014,35261.0,21920.8391927213,,,,,St. Martin (French part)
2015,35020.0,,,,,,St. Martin (French part)
2016,34811.0,,,,,,St. Martin (French part)
2017,34496.0,,,,,,St. Martin (French part)
2018,33852.0,,,,,,St. Martin (French part)
2019,33121.0,,,,,,St. Martin (French part)
2020,32553.0,,,,,,St. Martin (French part)
2021,31948.0,,,,,,St. Martin (French part)
