Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,100843.0,273.548872919572,,,,,St. Vincent and the Grenadines
1973,101924.0,295.959475902501,,,,,St. Vincent and the Grenadines
1974,102951.0,319.80472125742,,,,,St. Vincent and the Grenadines
1975,103879.0,319.960383866248,,6.79770679739966,,,St. Vincent and the Grenadines
1976,104709.0,313.17729109208,,11.2889826175874,,,St. Vincent and the Grenadines
1977,105499.0,467.806916196854,,10.1869132045143,,,St. Vincent and the Grenadines
1978,106236.0,572.732138648683,,8.42952810284597,,-0.821763296706897,St. Vincent and the Grenadines
1979,106882.0,665.185528242638,,15.6084783235704,,0.843925066101343,St. Vincent and the Grenadines
1980,107480.0,766.099177797075,,17.2074750037358,,1.33591870636901,St. Vincent and the Grenadines
1981,108191.0,943.577000483028,,12.7356566462517,,0.489780536815141,St. Vincent and the Grenadines
1982,108974.0,1043.91142229645,,7.22825662243943,,1.31857463488449,St. Vincent and the Grenadines
1983,109684.0,1114.61425212091,,5.45838798990218,,1.71771624420683,St. Vincent and the Grenadines
1984,110329.0,1223.83949621385,,2.70195563584382,,1.03684512255176,St. Vincent and the Grenadines
1985,110906.0,1313.1995129676,,2.13968510329094,,1.23590972634609,St. Vincent and the Grenadines
1986,111388.0,1444.02140864965,,1.02766798418977,,4.58223411235988,St. Vincent and the Grenadines
1987,111770.0,1570.91032841914,,3.30594679186222,,2.82660021832997,St. Vincent and the Grenadines
1988,112076.0,1790.98747807374,,0.22722969134629,,4.53906258585701,St. Vincent and the Grenadines
1989,112320.0,1911.90350981323,,2.83393160778397,,4.93263753893149,St. Vincent and the Grenadines
1990,112487.0,2136.83951627003,,7.60609957743892,,3.18957148800444,St. Vincent and the Grenadines
1991,112780.0,2259.52854787755,,5.49200387001333,19.7700004577637,3.49107610022673,St. Vincent and the Grenadines
1992,113222.0,2454.96065743014,,3.46353042727654,19.7339992523193,5.00079948832747,St. Vincent and the Grenadines
1993,113621.0,2519.84586834659,,4.29137553446651,19.8020000457764,10.967232837018,St. Vincent and the Grenadines
1994,113944.0,2540.16917992204,,1.00894955252249,20.1849994659424,16.208988073911,St. Vincent and the Grenadines
1995,114174.0,2767.77031029313,,1.73837289880567,20.0590000152588,9.69620965284451,St. Vincent and the Grenadines
1996,114290.0,2900.41901206483,,4.40790113846453,20.3950004577637,12.8645169940336,St. Vincent and the Grenadines
1997,114276.0,3043.24941694118,,0.443616029823348,20.4710006713867,26.5894907239771,St. Vincent and the Grenadines
1998,114165.0,3272.61874058178,,2.14240647268391,20.5960006713867,23.8082020678648,St. Vincent and the Grenadines
1999,113995.0,3427.50575480081,,1.01355044438876,20.7810001373291,14.5363717367812,St. Vincent and the Grenadines
2000,113813.0,3760.08045686378,157.93586731,0.167679637488285,20.9580001831055,8.81990745977577,St. Vincent and the Grenadines
2001,113641.0,4066.07063765132,171.39845276,0.900858485866485,21.1000003814697,4.55347980230449,St. Vincent and the Grenadines
2002,113450.0,4299.37286779949,184.00230408,1.85550399046653,20.628999710083,6.98047339848123,St. Vincent and the Grenadines
2003,113108.0,4500.92733395418,186.05574036,0.205981708824229,20.2600002288818,10.8358741733812,St. Vincent and the Grenadines
2004,112608.0,4883.31366497216,195.94268799,2.96003946719292,20.0370006561279,11.9451072096923,St. Vincent and the Grenadines
2005,112043.0,5176.12814656807,204.61106873,3.73342916467019,19.7569999694824,6.912214683528,St. Vincent and the Grenadines
2006,111427.0,5775.0917474952,216.42692566,2.7406751607067,19.2779998779297,16.9560450293593,St. Vincent and the Grenadines
2007,110824.0,6439.00839769966,251.11401367,7.23614701584804,19.0709991455078,16.7331078713933,St. Vincent and the Grenadines
2008,110316.0,6641.49587783512,262.36767578,10.0662418245849,18.7900009155273,21.7348635935421,St. Vincent and the Grenadines
2009,109840.0,6503.09777184322,270.04330444,0.421539125687228,18.9169998168945,15.4307190663206,St. Vincent and the Grenadines
2010,109308.0,6590.98957888616,286.35498047,0.747109026311466,18.9769992828369,13.4941208640119,St. Vincent and the Grenadines
2011,108703.0,6566.482713176,278.78964233,3.18603111552464,18.9190006256104,11.9955583867627,St. Vincent and the Grenadines
2012,108083.0,6754.37018395671,299.6088562,2.59844414147086,18.8929996490479,15.807821111995,St. Vincent and the Grenadines
2013,107450.0,7117.55476276649,303.3605957,0.805127804267965,18.9050006866455,16.57140671644,St. Vincent and the Grenadines
2014,106912.0,7210.61662343277,291.06469727,0.193858560794042,18.9479999542236,16.1398942338251,St. Vincent and the Grenadines
2015,106482.0,7386.73759501693,282.71340942,-1.73361194953949,18.9689998626709,15.7496007437312,St. Vincent and the Grenadines
2016,105963.0,7684.77920839594,294.64581299,-0.149641647633301,18.9780006408691,8.66076048486782,St. Vincent and the Grenadines
2017,105549.0,8030.58505738777,311.93530273,2.15333648840511,19.0279998779297,19.5126461435267,St. Vincent and the Grenadines
2018,105281.0,8399.69401112437,332.0836792,2.32414485367923,19.0200004577637,4.52413122238425,St. Vincent and the Grenadines
2019,104924.0,8674.37100857481,354.80865479,0.913069725324485,19.0900001525879,7.56341247117589,St. Vincent and the Grenadines
2020,104632.0,8335.25647560551,,-0.628131309354661,20.5499992370605,7.48098787796178,St. Vincent and the Grenadines
2021,104332.0,8666.38704104884,,1.57272932500565,20.3980007171631,17.7326542338426,St. Vincent and the Grenadines
