Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,309963136.0,249.701152364934,,,,0.952549444401281,Sub-Saharan Africa (IDA & IBRD countries)
1973,318464764.0,310.680676359354,,,,0.82098682928058,Sub-Saharan Africa (IDA & IBRD countries)
1974,327466848.0,391.978048192134,,,,1.17290253541474,Sub-Saharan Africa (IDA & IBRD countries)
1975,336832917.0,419.891197898749,,18.3117857539904,,0.863148778501607,Sub-Saharan Africa (IDA & IBRD countries)
1976,346461069.0,440.309470701119,,11.5448806519836,,0.685058426008662,Sub-Saharan Africa (IDA & IBRD countries)
1977,356243762.0,470.219308309902,,14.8900665023223,,0.442608493258577,Sub-Saharan Africa (IDA & IBRD countries)
1978,366688083.0,504.664881888304,,11.4594294425385,,0.457410188648993,Sub-Saharan Africa (IDA & IBRD countries)
1979,377775643.0,587.645853537672,,13.6746254544361,,0.359823598105199,Sub-Saharan Africa (IDA & IBRD countries)
1980,388793467.0,722.785384856645,,13.6019828289492,,0.0670834115407887,Sub-Saharan Africa (IDA & IBRD countries)
1981,400260774.0,969.548971240804,,12.2903278605959,,0.337710476480255,Sub-Saharan Africa (IDA & IBRD countries)
1982,412410102.0,864.735690748119,,12.0998414518035,,0.427147436172225,Sub-Saharan Africa (IDA & IBRD countries)
1983,424346370.0,739.734892830645,,11.4826535601296,,0.286416437958496,Sub-Saharan Africa (IDA & IBRD countries)
1984,436263644.0,630.105798241204,,11.1169312857885,,0.364973638775909,Sub-Saharan Africa (IDA & IBRD countries)
1985,448755435.0,565.34775989617,,9.40690750687272,,0.407740822078098,Sub-Saharan Africa (IDA & IBRD countries)
1986,461756164.0,564.052991657029,,6.85934422794882,,0.248866159584555,Sub-Saharan Africa (IDA & IBRD countries)
1987,475250346.0,623.36132766181,,7.63279008878108,,0.461263452114102,Sub-Saharan Africa (IDA & IBRD countries)
1988,488764908.0,639.195724079017,,8.35167956821222,,0.398729516622189,Sub-Saharan Africa (IDA & IBRD countries)
1989,502517080.0,633.472273502673,,8.04615863487319,,0.743845472928048,Sub-Saharan Africa (IDA & IBRD countries)
1990,516629688.0,723.828372058524,,7.54486109699453,,0.254227836334087,Sub-Saharan Africa (IDA & IBRD countries)
1991,530716971.0,733.728551390217,,8.93430656934297,6.14724402802175,0.541391474646678,Sub-Saharan Africa (IDA & IBRD countries)
1992,544899623.0,652.321374330831,,9.48654250617164,6.17928159185193,0.536967025910827,Sub-Saharan Africa (IDA & IBRD countries)
1993,559413902.0,597.207136086718,,9.52484537019692,6.14446522902019,0.80607294705175,Sub-Saharan Africa (IDA & IBRD countries)
1994,574094137.0,566.06378343384,,27.4479807126947,6.09208507996134,1.11324619698102,Sub-Saharan Africa (IDA & IBRD countries)
1995,589328085.0,638.640489506102,,11.425939964662,6.02655025081417,0.974452926736256,Sub-Saharan Africa (IDA & IBRD countries)
1996,605186062.0,649.181455018022,,7.19164660433345,6.03280219914705,0.879705825624024,Sub-Saharan Africa (IDA & IBRD countries)
1997,621065325.0,656.660646991563,,7.64717433310008,6.06885955412825,1.78544654952204,Sub-Saharan Africa (IDA & IBRD countries)
1998,637198518.0,619.411911479245,,6.43573287560783,6.06226659192874,1.50003973040003,Sub-Saharan Africa (IDA & IBRD countries)
1999,653883261.0,609.543187867388,,4.35643374510448,6.10513082975304,2.13886968989869,Sub-Saharan Africa (IDA & IBRD countries)
2000,671212486.0,630.252903271431,34.7416116658051,4.50078856262103,6.07034670381816,1.64739266350709,Sub-Saharan Africa (IDA & IBRD countries)
2001,689161982.0,587.20501988035,31.7972380762017,5.14746800222619,5.98396963086403,3.86636518064292,Sub-Saharan Africa (IDA & IBRD countries)
2002,707693440.0,623.019034305664,30.4239196189383,4.70579123746034,5.90585917750546,2.50063526412728,Sub-Saharan Africa (IDA & IBRD countries)
2003,726785433.0,764.930132134221,44.5897189245796,5.67941771099109,5.85267344768852,2.52051791840039,Sub-Saharan Africa (IDA & IBRD countries)
2004,746546802.0,925.343533553691,53.4982213579236,4.13663213144747,5.70595425502325,1.85521225810467,Sub-Saharan Africa (IDA & IBRD countries)
2005,766978666.0,1070.12433378505,59.7723246582234,6.42755278070085,5.59549972406555,2.42013861720874,Sub-Saharan Africa (IDA & IBRD countries)
2006,788110000.0,1231.15025810804,66.3670776266008,6.53784395299605,5.53491000151515,1.70783309548098,Sub-Saharan Africa (IDA & IBRD countries)
