Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,309907107.0,249.654794124053,,,,0.951016999935727,Sub-Saharan Africa (excluding high income)
1973,318407872.0,310.63031222369,,,,0.814711777340507,Sub-Saharan Africa (excluding high income)
1974,327408911.0,391.929934841682,,,,1.1718365746312,Sub-Saharan Africa (excluding high income)
1975,336773625.0,419.838370569171,,,,0.859862268971753,Sub-Saharan Africa (excluding high income)
1976,346400565.0,440.260799108575,,,,0.680692491933905,Sub-Saharan Africa (excluding high income)
1977,356181976.0,470.134359751968,,,,0.43811795552343,Sub-Saharan Africa (excluding high income)
1978,366625933.0,504.528549752733,,,,0.453847240486257,Sub-Saharan Africa (excluding high income)
1979,377712957.0,587.412689104722,,,,0.356299883051626,Sub-Saharan Africa (excluding high income)
1980,388730206.0,722.535461573614,,,,0.0634516339975638,Sub-Saharan Africa (excluding high income)
1981,400196739.0,969.341257067964,,12.4132613723979,,0.335107457939448,Sub-Saharan Africa (excluding high income)
1982,412345689.0,864.532975836179,,12.1399176954734,,0.424364205082808,Sub-Saharan Africa (excluding high income)
1983,424282035.0,739.517180090179,,11.5675243834069,,0.283479170758986,Sub-Saharan Africa (excluding high income)
1984,436198927.0,629.863285048295,,11.2499999999997,,0.361420364850404,Sub-Saharan Africa (excluding high income)
1985,448690191.0,565.060024965733,,10.3054406698295,,0.403199049294883,Sub-Saharan Africa (excluding high income)
1986,461690512.0,563.685653856502,,7.43333333333314,,0.243386524277054,Sub-Saharan Africa (excluding high income)
1987,475181847.0,622.928395396387,,8.15234253800876,,0.454834697469078,Sub-Saharan Africa (excluding high income)
1988,488696153.0,638.704870147218,,8.7554968508614,,0.391481984700634,Sub-Saharan Africa (excluding high income)
1989,502447913.0,632.952009722738,,8.27501608751591,,0.737347487804923,Sub-Saharan Africa (excluding high income)
1990,516560181.0,723.210842101133,,7.72532188841208,,0.248931805112834,Sub-Saharan Africa (excluding high income)
1991,530646532.0,733.119552271946,,8.96562265214311,6.14724402802175,0.536798325477277,Sub-Saharan Africa (excluding high income)
1992,544828860.0,651.606309999381,,9.52347719108986,6.17928159185193,0.535052999237022,Sub-Saharan Africa (excluding high income)
1993,559341649.0,596.431562847755,,9.67934658067928,6.14446522902019,0.801498022788694,Sub-Saharan Africa (excluding high income)
1994,574019932.0,565.283628066713,,28.8143894306732,6.09208507996134,1.10531463971516,Sub-Saharan Africa (excluding high income)
1995,589252781.0,637.854516291009,,12.2885912601426,6.02655025081417,0.96336665132726,Sub-Saharan Africa (excluding high income)
1996,605109645.0,648.427625957743,,7.27287999570153,6.03280219914705,0.873388430705107,Sub-Saharan Africa (excluding high income)
1997,620988006.0,655.830282268193,,8.1690214410696,6.06885955412825,1.77462834816779,Sub-Saharan Africa (excluding high income)
1998,637119672.0,618.526799460622,,6.66139865665754,6.06226659192874,1.48866951919507,Sub-Saharan Africa (excluding high income)
1999,653802851.0,608.65829100347,,4.24955255897248,6.10513082975304,2.12816986294322,Sub-Saharan Africa (excluding high income)
2000,671131355.0,629.406804762081,34.7019250060995,4.19928825622807,6.07034670381816,1.64398365458933,Sub-Saharan Africa (excluding high income)
2001,689080780.0,586.364792178807,31.7511391643668,5.07745045522497,5.98396963086403,3.85615509948701,Sub-Saharan Africa (excluding high income)
2002,707609717.0,622.099838687689,30.3810587063756,5.03282275711195,5.90585917750546,2.49366085384783,Sub-Saharan Africa (excluding high income)
2003,726702652.0,764.040724871054,44.5427308268596,6.08442489886227,5.85267344768852,2.51309572197351,Sub-Saharan Africa (excluding high income)
2004,746464327.0,924.315509768398,53.4469533919524,4.1781600011979,5.70595425502325,1.85191360287887,Sub-Saharan Africa (excluding high income)
2005,766895808.0,1069.03612834346,59.7209817716785,6.60524085549198,5.59549972406555,2.41290431828838,Sub-Saharan Africa (excluding high income)
2006,788025400.0,1229.98769553774,66.3151172537206,6.61655430536478,5.53491000151515,1.69494374381568,Sub-Saharan Africa (excluding high income)
2007,809934231.0,1386.65921857564,73.4329516612958,7.02551436974778,5.47459659385236,2.60368138297891,Sub-Saharan Africa (excluding high income)
2008,832555779.0,1529.51450336852,78.3723875852999,10.2969758221254,5.4513116001651,3.06865092069655,Sub-Saharan Africa (excluding high income)
2009,855798400.0,1431.27488434628,78.0184847004467,6.11079387573308,5.50818380893506,3.0064061232748,Sub-Saharan Africa (excluding high income)
2010,879707649.0,1655.12413131908,88.4016433792433,4.08972989470472,5.90984220562734,2.26286465625266,Sub-Saharan Africa (excluding high income)
