Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,397529.0,784.722624009821,,3.2342866248859,,0.96489818881231,Suriname
1973,396331.0,856.481072638779,,12.9408133340937,,4.18323756076005,Suriname
1974,394519.0,1038.85997886033,,16.8761956821095,,1.81773819690131,Suriname
1975,392137.0,1187.08512586163,,8.4473284227466,,0.249194393125671,Suriname
1976,389231.0,1298.71464503084,,10.0695380302795,,0.209693372898121,Suriname
1977,385810.0,1662.73554340219,,9.73113276853738,,-3.52299298519096,Suriname
1978,381885.0,1925.97247862576,,8.82352941179668,,-1.83548606390211,Suriname
1979,377362.0,2073.60571546685,,14.8423081655327,,-3.5015974313099,Suriname
1980,375112.0,2119.36701571797,,14.1097064496917,,2.27672955974843,Suriname
1981,375859.0,2365.24867037905,,8.79396984924603,,6.94038245219348,Suriname
1982,377288.0,2425.20302792562,,7.27640861779856,,-1.21311475409836,Suriname
1983,379409.0,2328.62161941335,,4.41180807455269,,9.22467458970006,Suriname
1984,382617.0,2258.13280643568,,3.68874452760909,,-8.20601851851852,Suriname
1985,387171.0,2254.81763871778,,10.8659529841193,,2.43986254295533,Suriname
1986,392372.0,2270.80423679569,,18.6879606879605,,-6.7789001010101,Suriname
1987,396867.0,2469.34111427758,,53.3929532563243,,-13.2244897857143,Suriname
1988,402139.0,2887.06143895519,,7.31328780803817,,-14.7286821705426,Suriname
1989,408360.0,1328.72955235576,,0.769646742206007,,-55.234058219683,Suriname
1990,412756.0,940.991772378839,,21.7399443397527,,-19.7734294284243,Suriname
1991,415981.0,1077.2126611552,,25.9674625060222,17.0949993133545,4.12854273599643,Suriname
1992,419521.0,964.433246488257,,43.6661783854171,17.2800006866455,-13.4206623578843,Suriname
1993,422375.0,1015.12803997006,,143.51155848349,15.6400003433228,-10.8684318836603,Suriname
1994,426548.0,1419.5179377548,,368.478068706267,12.6999998092651,-4.9876749982745,Suriname
1995,434490.0,1591.72937866822,,235.558815073605,8.39000034332275,-2.97864127216757,Suriname
1996,443834.0,1940.84155635146,,-0.701887251452813,10.8800001144409,2.2172911130025,Suriname
1997,452887.0,2045.59305080517,,7.14511160883929,10.5600004196167,-0.993067407149546,Suriname
1998,461749.0,2405.74424633296,,18.9753691994478,10.6300001144409,0.819192501237791,Suriname
1999,470458.0,1883.88909886625,,98.7730914112164,13.6000003814697,-6.93903255008462,Suriname
2000,478998.0,1978.44661083547,168.91874695,59.4016865450789,12.7410001754761,-10.2567136211785,Suriname
2001,487394.0,1711.71446057638,93.65898895,38.5862878872612,11.9130001068115,-3.21235324229173,Suriname
2002,495666.0,2206.27290975194,162.90910339,15.5273989185702,11.1429996490479,-6.73022295672983,Suriname
2003,503780.0,2529.25942161,173.20463562,23.0022321778219,10.3030004501343,-5.97242022781276,Suriname
2004,510572.0,2906.72527754218,221.22236633,9.98632511974879,9.48999977111816,-2.51332035804726,Suriname
2005,516220.0,3474.0783625029,251.28858948,9.89800489561464,9.37399959564209,1.56129005919575,Suriname
2006,522023.0,5031.15846462469,325.91387939,11.2813043273975,9.1899995803833,-6.22149014709964,Suriname
2007,527946.0,5562.33406798787,321.17236328,6.42627934470528,9.0310001373291,-8.40083736509118,Suriname
2008,533938.0,6616.8151257419,347.25408936,14.6671427437911,8.875,-6.54973190348526,Suriname
2009,539987.0,7176.85765780579,394.90219116,-0.133636646714849,8.72000026702881,-2.41006768189509,Suriname
2010,546080.0,7999.55692873449,415.29910278,6.94108221639997,7.15000009536743,-5.85340431918619,Suriname
2011,552146.0,8009.25230244723,390.14077759,17.7117796414557,7.53999996185303,3.28538383339053,Suriname
2012,558111.0,8922.95618613502,422.10107422,5.00686319367281,8.10000038146973,3.40245351551793,Suriname
2013,563947.0,9124.54109297075,451.7543335,1.9234360410831,6.59999990463257,3.62949532348678,Suriname
2014,569682.0,9199.17789329145,458.56610107,3.38341272749479,6.94000005722046,-1.13866864622319,Suriname
2015,575475.0,8907.75122246823,532.49725342,6.89390359168242,7.21999979019165,3.5828933287194,Suriname
2016,581453.0,5705.42696732652,351.94192505,55.4123879763194,7.92000007629395,6.98330674879537,Suriname
2017,587559.0,6112.85117509336,335.10848999,21.9969430173304,7.90999984741211,2.67496186681885,Suriname
2018,593715.0,6730.84688296393,475.03878784,,7.93200016021729,3.27712853284423,Suriname
2019,600301.0,6690.04478601228,619.24713135,,8.0290002822876,2.09560541663346,Suriname
2020,607065.0,4796.53331389928,,34.8929491585684,9.52400016784668,0.035713202430296,Suriname
2021,612985.0,4869.13422621242,,59.1117096483868,9.07800006866455,-4.4461868826059,Suriname
