Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,8122300.0,6027.12849917337,,6.00738969862495,,0.133402653699239,Sweden
1973,8136312.0,7301.215425886,,6.71799739819353,,0.141341031492177,Sweden
1974,8159955.0,8089.91458466682,,9.9117253011324,,0.116016696157156,Sweden
1975,8192437.0,10117.3066842673,,9.77987398822574,,0.0967783914655,Sweden
1976,8222286.0,10868.2757657546,,10.2492246529784,,0.00544336112236873,Sweden
1977,8251540.0,11448.6193912266,,11.4418051091076,,0.0862229200120371,Sweden
1978,8275599.0,12620.5186141512,,9.99526541717738,,0.0667469049066716,Sweden
1979,8293678.0,14877.1642883549,,7.20978617047807,,0.0911523479278097,Sweden
1980,8310531.0,17097.8326512095,,13.7063223649004,,0.176583756973381,Sweden
1981,8320503.0,15586.4300780047,,12.1039385302599,,0.139657386467286,Sweden
1982,8325263.0,13738.9722980374,,8.58918509047116,,0.310380029639746,Sweden
1983,8329033.0,12608.2291505865,,8.87302152363218,,0.214921257308518,Sweden
1984,8336605.0,13099.0208341765,,8.04424238994422,,0.265578511274355,Sweden
1985,8350386.0,13666.8577454736,,7.37257458126244,,0.344323283580531,Sweden
1986,8369829.0,17981.0194119405,,4.23591011089793,,0.719382155354867,Sweden
1987,8397804.0,21792.5589059822,,4.18857151771367,,0.349278321537989,Sweden
1988,8436489.0,24534.6938164191,,5.82489868439442,,0.808470000237015,Sweden
1989,8492964.0,25662.2205892506,,6.44327587426601,,0.831391867071727,Sweden
1990,8558835.0,30593.6724447761,,10.3665533879494,,0.757095107465827,Sweden
1991,8617375.0,31822.8038482367,,9.44462732944187,3.24000000953674,2.3159047386813,Sweden
1992,8668067.0,32800.9826867546,,2.37436725111879,5.71999979019165,-0.00190583450212953,Sweden
1993,8718561.0,24425.2849281118,,4.72817304626055,9.32999992370605,1.73978084668187,Sweden
1994,8780745.0,26083.6143874838,,2.15813800724627,9.57999992370605,2.73705774680719,Sweden
1995,8826939.0,30282.9639200066,,2.45514857818396,8.89999961853027,5.5888691383617,Sweden
1996,8840998.0,32998.9681608432,,0.533131978766251,9.55000019073486,1.88243367340226,Sweden
1997,8846062.0,30312.4875993103,,0.658410256243524,10.3599996566772,3.83039863626584,Sweden
1998,8850974.0,30596.5272048832,,-0.267132668354967,8.9399995803833,8.61672277532109,Sweden
1999,8857874.0,30941.0793624668,,0.462175756339131,7.6100001335144,22.9539642927039,Sweden
2000,8872109.0,29624.9126748618,2173.19384766,0.899143734041743,5.46999979019165,8.68141509900555,Sweden
2001,8895960.0,27247.857734793,2155.85424805,2.40595834145435,4.73000001907349,7.51572681587293,Sweden
2002,8924958.0,29899.1952495081,2459.09838867,2.15848213589263,4.96999979019165,6.8884054834351,Sweden
2003,8958229.0,37321.7979047059,3110.19970703,1.92565534892387,5.55000019073486,1.79689343407486,Sweden
2004,8993531.0,42821.6731423358,3488.17285156,0.373659828721796,6.69000005722046,4.37648926549524,Sweden
2005,9029572.0,43437.0631164776,3547.63330078,0.453170852576176,7.48999977111816,5.29875780977657,Sweden
2006,9080505.0,46593.6021646111,3765.39746094,1.36021468627688,7.07000017166138,5.21224259891122,Sweden
2007,9148092.0,53700.0053363063,4310.32666016,2.21216883436735,6.15999984741211,9.39303090626209,Sweden
2008,9219637.0,56152.552340314,4627.56396484,3.43704910602875,6.23000001907349,8.0038751828389,Sweden
2009,9298515.0,46946.9602719954,4136.17333984,-0.494460544378046,8.35000038146973,2.05271748500075,Sweden
2010,9378126.0,52869.0442891587,4416.14550781,1.15798802715629,8.60999965667725,0.126076302691436,Sweden
2011,9449213.0,60755.7595508465,6351.21679688,2.96115073822139,7.80000019073486,1.2157159597585,Sweden
2012,9519374.0,58037.8213192173,6254.44238281,0.8883775069237,7.98000001907349,0.773512654107363,Sweden
2013,9600379.0,61126.9431963979,6696.87207031,-0.0442929701486557,8.05000019073486,0.224393964985766,Sweden
2014,9696110.0,60020.3604576572,6605.91162109,-0.17963849411465,7.94999980926514,-1.48192890421348,Sweden
2015,9799186.0,51545.4836095322,5598.68164063,-0.0467847449832651,7.42999982833862,2.03013931833984,Sweden
2016,9923085.0,51965.1571531985,5680.72558594,0.984269244577978,6.98999977111816,3.03347241465821,Sweden
2017,10057698.0,53791.5087298403,5837.77050781,1.79449904665596,6.71999979019165,4.54101429590326,Sweden
2018,10175214.0,54589.0603860606,6005.06591797,1.95353530127029,6.3600001335144,-0.246421087777435,Sweden
2019,10278887.0,51939.4297445291,5671.38574219,1.78415097403832,6.82999992370605,3.09382236180391,Sweden
2020,10353442.0,52837.9039778149,,0.497367318853562,8.28999996185303,3.4557530105814,Sweden
2021,10415811.0,61028.7380600287,,2.16319736447149,8.72000026702881,8.28771594994425,Sweden
