Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6260956.0,,,6.6600070416024,,,Switzerland
1973,6307347.0,,,8.7546703302464,,,Switzerland
1974,6341405.0,,,9.76741431913023,,,Switzerland
1975,6338632.0,,,6.69659522507834,,,Switzerland
1976,6302504.0,,,1.71547632285655,,,Switzerland
1977,6281174.0,,,1.29599916278317,,,Switzerland
1978,6281738.0,,,1.02879289487424,,,Switzerland
1979,6294365.0,,,3.64764010558788,,,Switzerland
1980,6319408.0,19410.1893547743,,4.0225008483901,,,Switzerland
1981,6354074.0,17679.8688671472,,6.49030964005712,,,Switzerland
1982,6391309.0,18015.1059588746,,5.65510182392343,,,Switzerland
1983,6418773.0,17874.2506500052,,2.94979443545727,,0.560131942537381,Switzerland
1984,6441865.0,17005.5342408851,,2.93145669136628,,0.70939731037783,Switzerland
1985,6470365.0,17166.5184994159,,3.43539935298264,,1.14098609382859,Switzerland
1986,6504124.0,24480.4225642346,,0.750309839410771,,1.33296011985262,Switzerland
1987,6545106.0,30466.1090219178,,1.44032188041728,,1.16361404455004,Switzerland
1988,6593386.0,32717.9204479296,,1.8724685973187,,0.187856889481147,Switzerland
1989,6646912.0,31334.9790794011,,3.15526979710905,,1.19894868522392,Switzerland
1990,6715519.0,39574.5398083788,,5.40395909218942,,2.08636429216894,Switzerland
1991,6799978.0,39544.4946826768,,5.85959663468672,1.82000005245209,1.05569776077177,Switzerland
1992,6875364.0,40713.6881521435,,4.03703020778741,2.80999994277954,0.403144429102547,Switzerland
1993,6938265.0,39237.1186558781,,3.29262180313608,3.54999995231628,0.62700318828422,Switzerland
1994,6993795.0,43091.7770970073,,0.852116995120689,3.57999992370605,1.22196548160131,Switzerland
1995,7040687.0,50113.8321221345,,1.79982776867147,3.08999991416931,1.17852210155719,Switzerland
1996,7071850.0,48092.6433036512,,0.811634064628214,3.6800000667572,1.43491990572582,Switzerland
1997,7088906.0,41584.441782159,,0.520225422736623,4.13000011444092,2.84676290925378,Switzerland
1998,7110001.0,42680.5867322391,,0.0179384378439626,3.5699999332428,3.7387354465294,Switzerland
1999,7143991.0,41695.6912912021,,0.806444380959444,3.04999995231628,4.88171062927881,Switzerland
2000,7184250.0,38865.021939688,3559.81982422,1.55852919679006,2.66000008583069,8.26631602875868,Switzerland
2001,7229854.0,39638.7911061864,3763.38452148,0.989020329832555,2.49000000953674,3.40739822340102,Switzerland
2002,7284753.0,42458.7384679187,4211.72949219,0.64271150654328,2.92000007629395,2.6699038482556,Switzerland
2003,7339001.0,49335.7456291067,5018.52734375,0.638272930887213,4.11999988555908,5.44667518652089,Switzerland
2004,7389625.0,54659.4571488233,5608.703125,0.802908730955216,4.32000017166138,1.7583727359017,Switzerland
2005,7437115.0,56242.8933645639,5673.94042969,1.17195420333701,4.44000005722046,0.637104289050499,Switzerland
2006,7483934.0,59011.0324592016,5671.98144531,1.05950928324804,3.99000000953674,12.1731323129404,Switzerland
2007,7551117.0,64989.1553256031,6154.703125,0.732350603122241,3.64000010490417,9.92138923782949,Switzerland
2008,7647675.0,74175.1927898555,7120.65185547,2.42604117060162,3.34999990463257,0.527253063961112,Switzerland
2009,7743831.0,71568.3123885672,7297.37988281,-0.480481936423328,4.1100001335144,8.59932509165808,Switzerland
2010,7824909.0,76531.3729407691,7705.17578125,0.688238707220017,4.80999994277954,2.95077318898271,Switzerland
2011,7912398.0,90476.7589651577,9191.95898438,0.231349207650894,4.40999984741211,2.90052077420682,Switzerland
2012,7996861.0,85836.2076767359,8917.11914063,-0.692552018105236,4.48999977111816,5.81910221569192,Switzerland
2013,8089346.0,87304.3305813557,9275.79882813,-0.217323155115639,4.75,-3.52948637026792,Switzerland
2014,8188649.0,88724.9909402638,9578.64550781,-0.0132025387515987,4.82999992370605,2.89084632358215,Switzerland
2015,8282396.0,83806.4476003837,9382.79101563,-1.14390867228178,4.80000019073486,17.1083833328203,Switzerland
2016,8373338.0,82153.0745447889,9439.42480469,-0.434618664285843,4.92000007629395,24.2480735008832,Switzerland
2017,8451840.0,82254.3769269767,9606.34960938,0.533787839825886,4.80000019073486,20.6035378169251,Switzerland
2018,8514329.0,85217.3691512274,9870.6640625,0.936335464113605,4.71000003814697,-22.1051198346507,Switzerland
2019,8575280.0,84121.9310304414,9666.33789063,0.362886179940635,4.3899998664856,1.21642491474438,Switzerland
2020,8638167.0,85656.322666307,,-0.725874933313391,4.82000017166138,-34.7792295324752,Switzerland
2021,8703405.0,91991.6004583563,,0.581814168489875,5.09999990463257,1.16309039404478,Switzerland
