Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6768544.0,356.901987529773,,2.09836065573834,,0.00041395752058951,Syrian Arab Republic
1973,7003114.0,368.296053817994,,20.3596660244059,,-0.00174471402494676,Syrian Arab Republic
1974,7244901.0,585.883804387459,,15.5282817502668,,0.000235589565793626,Syrian Arab Republic
1975,7497126.0,742.518767425912,,11.4649681528663,,0.00251492935864446,Syrian Arab Republic
1976,7758673.0,827.155984392153,,11.4285714285715,,0.00155820694438827,Syrian Arab Republic
1977,8029313.0,857.145934357095,,11.9658119658116,,0.00130770369821938,Syrian Arab Republic
1978,8310217.0,992.991461269061,,4.80916030534372,,0.0,Syrian Arab Republic
1979,8600747.0,1154.51384962985,,4.55207574654038,,0.000402832657669215,Syrian Arab Republic
1980,8898954.0,1467.86019819471,,19.2964123998608,,-0.000306221962161108,Syrian Arab Republic
1981,9203635.0,1820.8535364103,,18.3941605839417,,0.000238685254724296,Syrian Arab Republic
1982,9510754.0,1842.7145834643,,14.3033292231811,,0.000542064022794674,Syrian Arab Republic
1983,9835461.0,1898.52476076497,,6.12729234088462,,-0.000107107284659781,Syrian Arab Republic
1984,10183138.0,1885.01953059448,,9.22951819475498,,0.000260478882960367,Syrian Arab Republic
1985,10540926.0,2011.57105704479,,17.2529313232831,,0.0707419645539201,Syrian Arab Republic
1986,10907619.0,2334.20666257917,,36.0634920634916,,0.0785526302622757,Syrian Arab Republic
1987,11281107.0,2884.29931317685,,59.4843677088198,,0.0676130669005262,Syrian Arab Republic
1988,11657772.0,1421.7419061215,,34.562211981567,,0.16290238488124,Syrian Arab Republic
1989,12034097.0,1546.40038999076,,11.3992172211349,,0.161207705417153,Syrian Arab Republic
1990,12408996.0,1926.38460729734,,19.3968672229543,,0.167332518410304,Syrian Arab Republic
1991,12782281.0,2171.46363406446,,9.00000000000004,6.75,0.194550718311487,Syrian Arab Republic
1992,13156406.0,2516.44329507042,,11.0091743119265,7.03599977493286,0.172167209321099,Syrian Arab Republic
1993,13537060.0,2722.90538937476,,13.2231404958679,7.40000009536743,0.29571243852038,Syrian Arab Republic
1994,13922626.0,3238.39401956611,,15.3284671532846,7.5,0.556702120722939,Syrian Arab Republic
1995,14313450.0,3553.74628132754,,7.97995780590684,7.19999980926514,0.196593546127239,Syrian Arab Republic
1996,14708879.0,4184.29444035864,,8.24989009915511,7.26399993896484,0.144606626262743,Syrian Arab Republic
1997,15103996.0,4397.53829985579,,1.88611136179084,7.37799978256226,0.120444921932108,Syrian Arab Republic
1998,15500542.0,4542.94912522261,,-0.797165633303876,7.44899988174438,0.116447211946703,Syrian Arab Republic
1999,15901201.0,4588.98256023075,,-3.70370370370367,7.59999990463257,0.360420441171444,Syrian Arab Republic
2000,16307654.0,4941.85259705136,54.21872711,-3.84615384615379,9.60200023651123,0.335029067357341,Syrian Arab Republic
2001,16727948.0,5187.20610747836,58.47392654,2.99999999999995,11.6300001144409,0.126770005995844,Syrian Arab Republic
2002,17164021.0,5276.0647125394,63.93671417,-0.130505282417403,10.9549999237061,0.126989756217051,Syrian Arab Republic
2003,17611356.0,5433.6422739539,61.29418945,5.79682944905843,10.2799997329712,0.167199950100683,Syrian Arab Republic
2004,18084007.0,6241.05823212955,61.67289352,4.43314136719838,9.57499980926514,0.243657504868217,Syrian Arab Republic
2005,18583557.0,7221.64388308259,63.55982208,7.24034939348534,8.8730001449585,0.37256760649957,Syrian Arab Republic
2006,19432009.0,7914.77149445229,65.62462616,10.0241105377571,8.17000007629395,0.428478791754421,Syrian Arab Republic
2007,20703005.0,8695.84446115791,75.41347504,3.90770950443607,8.42000007629395,0.689861882403,Syrian Arab Republic
2008,21474059.0,10155.9736670317,86.41690063,15.7453252219709,10.9399995803833,0.672026931976832,Syrian Arab Republic
2009,21827220.0,10288.1490473974,90.49646759,2.92089711805365,8.14000034332275,1.14425049134795,Syrian Arab Republic
2010,22337563.0,11304.644927596,92.73750305,4.39741383150069,8.60999965667725,0.581818164878863,Syrian Arab Republic
2011,22730733.0,2971.2824338307,80.71446228,4.75316388885632,8.62600040435791,1.19065657354592,Syrian Arab Republic
2012,22605577.0,1910.60452580833,69.83010864,36.7022953364139,8.85599994659424,,Syrian Arab Republic
2013,21495821.0,993.739883114507,,,8.86299991607666,,Syrian Arab Republic
2014,20072232.0,1071.23420366067,,,8.74400043487549,,Syrian Arab Republic
2015,19205178.0,857.497867522093,,,8.7209997177124,,Syrian Arab Republic
2016,18964252.0,664.341672265103,,,8.76500034332275,,Syrian Arab Republic
2017,18983373.0,862.319063807846,,,8.74699974060059,,Syrian Arab Republic
2018,19333463.0,1104.39244843571,,,8.74600028991699,,Syrian Arab Republic
2019,20098251.0,1116.67924613649,,,8.74199962615967,,Syrian Arab Republic
2020,20772595.0,533.3852317094,,,10.0109996795654,,Syrian Arab Republic
2021,21324367.0,,,,9.81599998474121,,Syrian Arab Republic
