Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3180461.0,,,,,,Tajikistan
1973,3277487.0,,,,,,Tajikistan
1974,3377758.0,,,,,,Tajikistan
1975,3482125.0,,,,,,Tajikistan
1976,3590606.0,,,,,,Tajikistan
1977,3703010.0,,,,,,Tajikistan
1978,3818114.0,,,,,,Tajikistan
1979,3932682.0,,,,,,Tajikistan
1980,4045965.0,,,,,,Tajikistan
1981,4160745.0,,,,,,Tajikistan
1982,4278908.0,,,,,,Tajikistan
1983,4401502.0,,,,,,Tajikistan
1984,4529501.0,,,,,,Tajikistan
1985,4660598.0,,,,,,Tajikistan
1986,4798281.0,,,,,,Tajikistan
1987,4946293.0,,,,,,Tajikistan
1988,5100020.0,,,,,,Tajikistan
1989,5264332.0,,,,,,Tajikistan
1990,5417860.0,485.758021260902,,,,,Tajikistan
1991,5556306.0,243.327131371094,,,1.89999997615814,,Tajikistan
1992,5656208.0,381.291965689145,,,2.09999990463257,0.417310664605873,Tajikistan
1993,5717806.0,287.579813200264,,,6.19999980926514,0.547336859672446,Tajikistan
1994,5803993.0,261.681396321671,,,8.80000019073486,0.79009900990099,Tajikistan
1995,5916173.0,208.080555516868,,,10.3000001907349,0.812320916905444,Tajikistan
1996,6035600.0,172.916499160817,,,13.3999996185303,1.72470817120623,Tajikistan
1997,6117069.0,150.655831171695,,,13.8999996185303,1.95318409880355,Tajikistan
1998,6156805.0,214.436234518603,,,16.5,2.26779621964303,Tajikistan
1999,6189565.0,175.554383451813,,,15.3999996185303,0.616866133547955,Tajikistan
2000,6272998.0,137.17860571592,5.97125244,,15.1339998245239,2.73593516440197,Tajikistan
2001,6408810.0,168.638000892567,7.67240763,38.5918894488599,14.7749996185303,0.878578199547547,Tajikistan
2002,6541755.0,186.665627008862,8.35373688,12.2499847845887,14.4130001068115,2.95354890646757,Tajikistan
2003,6672492.0,233.091549011608,11.17181587,16.3034912049488,14.0220003128052,2.03495592850842,Tajikistan
2004,6801204.0,305.266899929068,14.93279266,7.14196508692252,13.6070003509521,13.1021769583124,Tajikistan
2005,6929145.0,333.710369232841,17.73142815,7.09193244083765,13.1190004348755,2.35603733216774,Tajikistan
2006,7057417.0,401.027842491524,20.43570137,10.0108651886461,12.7349996566772,11.9646993761248,Tajikistan
2007,7188391.0,517.432367387849,29.1230526,13.1491247062982,12.3649997711182,9.67782773499735,Tajikistan
2008,7324627.0,704.655313697701,42.08819199,20.4705219109964,11.9779996871948,9.42806695791495,Tajikistan
2009,7468596.0,666.722631716989,39.5818634,6.44823481066691,11.5,2.99349511833143,Tajikistan
2010,7621779.0,740.270556202742,42.9864502,6.44531440780656,10.8889999389648,1.6649715827839,Tajikistan
2011,7784819.0,837.878466089897,49.65073395,12.4315490430408,10.2390003204346,2.23654237934096,Tajikistan
2012,7956382.0,959.361904957958,57.97858429,5.83116601031449,9.57299995422363,3.1669696462665,Tajikistan
2013,8136610.0,1038.32798149823,68.94046021,5.00964645344951,8.9040002822876,3.35138475303477,Tajikistan
2014,8326348.0,1094.42273564108,74.59780884,6.10442765129665,8.22700023651123,3.58400233865329,Tajikistan
2015,8524063.0,970.365223790049,64.16710663,5.71455949649708,7.55200004577637,5.48890562047009,Tajikistan
2016,8725318.0,801.391283092365,56.20223236,6.00458082322154,6.90000009536743,3.45541562095808,Tajikistan
2017,8925525.0,844.369364836616,58.16766357,,6.94899988174438,2.46571436621114,Tajikistan
2018,9128132.0,850.668507459992,59.84311676,,7.00099992752075,2.84432481729144,Tajikistan
2019,9337003.0,889.02026237745,61.87225342,,7.04400014877319,2.56373022995454,Tajikistan
2020,9543207.0,852.333670212118,,,7.4850001335144,1.30974719340915,Tajikistan
2021,9750064.0,897.047510293411,,,7.74399995803833,0.960845884589944,Tajikistan
