Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,14595699.0,,,7.63540921001039,,,Tanzania
1973,15123504.0,,,10.3968078032167,,,Tanzania
1974,15671316.0,,,19.5983935742147,,,Tanzania
1975,16243826.0,,,26.0577568841574,,,Tanzania
1976,16838919.0,,,6.85935002653249,,,Tanzania
1977,17454627.0,,,11.6041381030119,,,Tanzania
1978,18080005.0,,,6.57500000000007,,,Tanzania
1979,18698636.0,,,12.9486277269529,,,Tanzania
1980,19297659.0,,,30.1973001038421,,,Tanzania
1981,19890930.0,,,25.6500239272611,,,Tanzania
1982,20499922.0,,,28.9323346451693,,,Tanzania
1983,21170717.0,,,27.0559275305238,,,Tanzania
1984,21857176.0,,,36.1459415056028,,,Tanzania
1985,22569625.0,,,33.2821038251367,,,Tanzania
1986,23324270.0,,,32.4322015801837,,,Tanzania
1987,24099415.0,,,29.9493695378761,,,Tanzania
1988,24844147.0,211.122970581055,,31.1867182846932,,0.0737196228641254,Tanzania
1989,25522898.0,178.111541748047,,25.8498382611658,,0.132121669690305,Tanzania
1990,26206012.0,167.144561767578,,35.8267716535433,,0.000234811055347764,Tanzania
1991,26890906.0,189.590972900391,,28.695652173913,3.59999990463257,0.000201751677524895,Tanzania
1992,27580723.0,171.614685058594,,21.8468468468473,3.57999992370605,0.264476121437673,Tanzania
1993,28469017.0,153.851013183594,,25.277264325323,3.51200008392334,0.480488361821816,Tanzania
1994,29598323.0,156.789596557617,,34.0833640722984,3.45099997520447,1.10845913443531,Tanzania
1995,30560071.0,176.926040649414,,27.4277854195323,3.35500001907349,2.28223787461144,Tanzania
1996,31140733.0,214.641754150391,,20.9772596430629,3.28099989891052,2.31006568570533,Tanzania
1997,31785846.0,248.747161865234,,16.0906549283201,3.24900007247925,2.05476437660051,Tanzania
1998,32626498.0,387.018646240234,,12.7997540479609,3.19300007820129,1.40423752307933,Tanzania
1999,33499772.0,390.49560546875,,7.89043336058879,3.11700010299683,4.06491987360788,Tanzania
2000,34463704.0,399.451141357422,12.6108675,5.92396109637476,3.07200002670288,3.46442642038715,Tanzania
2001,35414469.0,394.730773925781,15.53204823,5.14746800222619,2.99000000953674,4.04421100657586,Tanzania
2002,36353531.0,400.427551269531,17.41364098,5.31783366118202,3.03099989891052,2.79710191464206,Tanzania
2003,37333918.0,419.772369384766,20.81579018,5.30356621509782,3.1029999256134,2.09140770595171,Tanzania
2004,38360879.0,447.513336181641,23.90641594,4.73580143949057,3.15100002288818,2.65375939852618,Tanzania
2005,39439505.0,480.275634765625,28.24069595,5.03457009267161,3.21600008010864,5.08461466113612,Tanzania
2006,40562052.0,473.367980957031,36.27006531,7.25097262082545,3.29999995231628,2.16111445878843,Tanzania
2007,41716497.0,539.122314453125,36.90998459,7.02551436974778,3.0239999294281,2.66216968108363,Tanzania
2008,42870884.0,671.573608398438,36.88764572,10.2783937621134,2.76999998092651,4.94701154623707,Tanzania
2009,43957933.0,681.243713378906,34.07072067,12.1422278742988,2.5,3.27568837940981,Tanzania
2010,45110527.0,730.813293457031,37.53247833,6.20015595647402,2.99000000953674,5.66372830505825,Tanzania
2011,46416031.0,768.933471679688,38.04220581,12.6909694699163,3.47000002861023,3.54720833111942,Tanzania
2012,47786137.0,854.543212890625,42.28380585,16.0010938506338,3.25600004196167,4.53877027927875,Tanzania
2013,49253643.0,955.218933105469,43.77843857,7.87072364573953,2.9300000667572,4.56925782228575,Tanzania
2014,50814552.0,1012.76690673828,40.15263367,6.13161432988016,2.11999988555908,2.83416996359392,Tanzania
2015,52542823.0,928.806457519531,33.58757019,5.58816952959301,2.14400005340576,3.17870256981024,Tanzania
2016,54401802.0,942.472961425781,37.1879921,5.17476629301494,2.15100002288818,1.73592621291741,Tanzania
2017,56267032.0,976.212219238281,39.79175949,5.31871605228923,2.16799998283386,1.75860580123497,Tanzania
2018,58090443.0,1010.93762207031,42.03595352,3.49445848856184,2.20300006866455,1.70441060169976,Tanzania
2019,59872579.0,1052.02172851563,40.34330368,3.46428057999023,2.21399998664856,1.9910001589942,Tanzania
2020,61704518.0,1042.0966796875,,3.29029062798326,2.77999997138977,1.09740565872468,Tanzania
2021,63588334.0,1099.28759765625,,3.690919588022,2.74000000953674,1.35880351108998,Tanzania
