Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,37834384.0,216.149536170184,,4.83776673497442,,0.838977078440154,Thailand
1973,38873060.0,278.820019770674,,15.5095497002705,,0.718116752958313,Thailand
1974,39900961.0,343.425325772448,,24.3135598335014,,1.37406873762409,Thailand
1975,40908471.0,363.806018441335,,5.33009708749864,,0.57533883838716,Thailand
1976,41882128.0,405.547949856411,,4.14930555494794,,0.465800791121928,Thailand
1977,42843802.0,461.661062900619,,7.60126687769027,,0.53630722434201,Thailand
1978,43806715.0,548.011193675584,,7.92408985303786,,0.23182490835641,Thailand
1979,44760091.0,611.520183967289,,9.89736596559925,,0.201963584376141,Thailand
1980,45737753.0,707.368390547861,,19.703500522778,,0.586829184179971,Thailand
1981,46727292.0,745.733518269523,,12.6629930710216,,0.833824533802535,Thailand
1982,47700340.0,767.076248458619,,5.25907990316825,,0.521644320011238,Thailand
1983,48670565.0,822.731896460083,,3.7265366212408,,0.87308255827289,Thailand
1984,49636724.0,842.069935224621,,0.864898430279284,,0.95943144198137,Thailand
1985,50594940.0,768.865280048748,,2.43173123433474,,0.419531495642587,Thailand
1986,51542094.0,836.14658966827,,1.84167596806049,,0.609104346367882,Thailand
1987,52479181.0,962.961649428359,,2.46646112823951,,0.696407326214218,Thailand
1988,53410965.0,1154.57939834532,,3.86273074733655,,1.7924765718208,Thailand
1989,54324004.0,1329.99911807528,,5.35546507986217,,2.45733949391793,Thailand
1990,55228410.0,1545.27468681279,,5.86399474375829,,2.86320836100382,Thailand
1991,56099865.0,1751.06830866766,,5.70985259891396,2.63000011444092,2.05017784836404,Thailand
1992,56939020.0,1957.40758057422,,4.13914575077055,1.35000002384186,1.89588826120272,Thailand
1993,57776082.0,2230.84214929262,,3.31219168428469,1.49000000953674,1.3996823006752,Thailand
1994,58610010.0,2502.70387269963,,5.04774897680756,1.35000002384186,0.931557287773978,Thailand
1995,59424834.0,2848.61971229033,,5.81818181818193,1.10000002384186,1.22161605408075,Thailand
1996,60211096.0,3039.89010013038,,5.80510554737347,1.07000005245209,1.27616904516856,Thailand
1997,60989108.0,2462.41704939519,,5.62579747129104,0.870000004768372,2.59338061560233,Thailand
1998,61745217.0,1841.04237673117,,7.99472875027459,3.40000009536743,6.43480873398333,Thailand
1999,62442651.0,2028.56641026847,,0.28472645922304,2.97000002861023,4.81781222647201,Thailand
2000,63066603.0,2004.10720879939,62.2649498,1.59196917460974,2.39000010490417,2.6631284880934,Thailand
2001,63649892.0,1889.97141079834,57.29465866,1.62690887314089,2.59999990463257,4.21223509530842,Thailand
2002,64222580.0,2091.17807560833,69.9021225,0.697308976625456,1.82000005245209,2.48815400350075,Thailand
2003,64776956.0,2350.84645917995,76.5091095,1.80434994635721,1.53999996185303,3.43593844010357,Thailand
2004,65311166.0,2647.26171987261,83.49951172,2.75914926231081,1.50999999046326,3.38947368866657,Thailand
2005,65821360.0,2876.24791831077,91.44425964,4.54036919634533,1.35000002384186,4.33958384382831,Thailand
2006,66319525.0,3343.78445118442,104.4460144,4.63747436011765,1.22000002861023,4.02125851118269,Thailand
2007,66826754.0,3934.68874340993,126.84955597,2.24154095286803,1.17999994754791,3.28357120090353,Thailand
2008,67328239.0,4327.79760031594,151.50726318,5.46848949649844,1.17999994754791,2.9382489657328,Thailand
2009,67813654.0,4154.18429682748,152.48556519,-0.845716092316723,1.49000000953674,2.27590396654577,Thailand
2010,68270489.0,4996.37288602788,172.0929718,3.24758842443727,0.620000004768372,4.3232085998899,Thailand
2011,68712846.0,5396.64942631764,195.97273254,3.80879058139634,0.660000026226044,0.667086922585946,Thailand
2012,69157023.0,5748.63124106961,206.46482849,3.01489950334988,0.579999983310699,3.24456527821472,Thailand
2013,69578602.0,6041.1274597099,212.99855042,2.18488618530682,0.25,3.79126858058468,Thailand
2014,69960943.0,5822.38369858276,219.29573059,1.89514181898783,0.579999983310699,1.22145193912514,Thailand
2015,70294397.0,5708.79692481031,214.20657349,-0.900424963291544,0.600000023841858,2.22468438530078,Thailand
2016,70607037.0,5854.46108800162,224.99452209,0.188149704448173,0.689999997615814,0.843364746913038,Thailand
2017,70898202.0,6436.79174605157,253.40682983,0.66563189313507,0.829999983310699,1.81550201260974,Thailand
2018,71127802.0,7124.56454354255,278.63082886,1.06389754183022,0.769999980926514,2.71279616840105,Thailand
2019,71307763.0,7630.03960991873,296.1651001,0.70672860131428,0.720000028610229,1.01431728815957,Thailand
2020,71475664.0,6990.93550262041,,-0.845937147357037,1.10000002384186,-0.990125094095224,Thailand
2021,71601103.0,7066.19054595323,,1.23039541318382,0.991999983787537,2.89375606703871,Thailand
