Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,574014.0,,,,,,Timor-Leste
1973,584035.0,,,,,,Timor-Leste
1974,592277.0,,,,,,Timor-Leste
1975,600126.0,,,,,,Timor-Leste
1976,609650.0,,,,,,Timor-Leste
1977,619308.0,,,,,,Timor-Leste
1978,627671.0,,,,,,Timor-Leste
1979,634549.0,,,,,,Timor-Leste
1980,642224.0,,,,,,Timor-Leste
1981,649250.0,,,,,,Timor-Leste
1982,655112.0,,,,,,Timor-Leste
1983,662412.0,,,,,,Timor-Leste
1984,671373.0,,,,,,Timor-Leste
1985,682109.0,,,,,,Timor-Leste
1986,694250.0,,,,,,Timor-Leste
1987,707762.0,,,,,,Timor-Leste
1988,722690.0,,,,,,Timor-Leste
1989,739735.0,,,,,,Timor-Leste
1990,758106.0,,,,,,Timor-Leste
1991,772655.0,,,,3.60999989509583,,Timor-Leste
1992,783705.0,,,,3.59899997711182,,Timor-Leste
1993,795179.0,,,,3.58699989318848,,Timor-Leste
1994,807115.0,,,,3.60599994659424,,Timor-Leste
1995,819226.0,,,,3.59599995613098,,Timor-Leste
1996,831269.0,,,,3.56699991226196,,Timor-Leste
1997,843341.0,,,,3.61999988555908,,Timor-Leste
1998,855409.0,,,,3.67000007629395,,Timor-Leste
1999,866649.0,,,,4.03399991989136,,Timor-Leste
2000,878360.0,417.924199644793,,,3.44799995422363,,Timor-Leste
2001,893001.0,534.650577099018,,,3.40000009536743,,Timor-Leste
2002,909639.0,516.146177355935,,,3.62400007247925,,Timor-Leste
2003,926721.0,529.219759164846,14.7028265,7.16515891441838,3.55699992179871,0.921419260356921,Timor-Leste
2004,945989.0,465.929912651259,19.33460426,3.23751394003323,3.51200008392334,,Timor-Leste
2005,969313.0,476.918762775972,24.51493263,1.11167400387197,3.46600008010864,0.196416244280134,Timor-Leste
2006,994564.0,456.285465138157,26.80820465,3.93616259929866,3.52099990844727,1.86822151434947,Timor-Leste
2007,1019362.0,532.485462973302,29.59138489,10.3009020174895,3.3529999256134,1.60190394822128,Timor-Leste
2008,1043076.0,621.71188473918,42.76674271,9.0642362194894,3.32100009918213,6.12157514552287,Timor-Leste
2009,1065540.0,682.172785777888,49.46465683,0.669681185965451,3.31299996376038,6.5973190861855,Timor-Leste
2010,1088486.0,810.141604829329,52.1896553,6.76597680236482,3.29999995231628,3.43976533131679,Timor-Leste
2011,1112976.0,936.598344846142,64.26586914,13.4998402385771,3.54900002479553,4.70621913773632,Timor-Leste
2012,1137676.0,1019.96486775121,71.61464691,11.8003096701543,3.77699995040894,3.48007648114769,Timor-Leste
2013,1161555.0,1201.42358143838,103.2798233,10.9872344156475,4.01399993896484,4.00260282229808,Timor-Leste
2014,1184830.0,1221.53426954268,93.70611572,0.848838206293416,4.21299982070923,2.34265506449629,Timor-Leste
2015,1205813.0,1322.3009129909,102.22695923,0.646148614181263,4.45100021362305,2.69657649267083,Timor-Leste
2016,1224562.0,1347.92633571751,93.38000488,-1.46984287886469,4.65999984741211,0.33191783043215,Timor-Leste
2017,1243235.0,1283.52585046874,86.74797058,0.522976680384116,4.74900007247925,0.420870800333031,Timor-Leste
2018,1261845.0,1239.36612167153,93.64685822,2.29424307036244,4.71799993515015,3.06452036802237,Timor-Leste
2019,1280438.0,1584.26384378261,92.67004395,0.958812739703201,4.4520001411438,3.67653068367016,Timor-Leste
2020,1299995.0,1660.30833959898,,,4.80399990081787,3.35335603192298,Timor-Leste
2021,1320942.0,2741.39393111832,,,4.97499990463257,1.90105350444573,Timor-Leste
