Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2330704.0,144.024139012821,,7.72660767823482,,0.357485834059263,Togo
1973,2390909.0,170.0106136033,,3.61531496573168,,0.811848224227808,Togo
1974,2450335.0,228.718825219806,,12.83193169062,,-7.90956377863659,Togo
1975,2509713.0,245.973013404671,,18.0121994976678,,0.844293289389097,Togo
1976,2569671.0,241.032853692364,,11.6407308106915,,0.908108142167324,Togo
1977,2630626.0,295.532325946694,,22.4570134066176,,1.44816759873753,Togo
1978,2693400.0,306.030980002697,,0.442773093953005,,11.2698945197379,Togo
1979,2761240.0,322.962113626854,,7.53925120772939,,5.89667781132302,Togo
1980,2838110.0,400.410418974924,,12.3068572123795,,3.7605172497407,Togo
1981,2925865.0,328.910254229702,,19.7165023624807,,1.05927363143166,Togo
1982,3023343.0,271.769335707072,,11.1296733281827,,1.96333363848603,Togo
1983,3126635.0,244.910771681648,,9.35546507986145,,0.18848525232626,Togo
1984,3232244.0,222.182780635024,,-3.52662871020547,,-1.38368398562141,Togo
1985,3336508.0,228.49030264618,,-1.81441438232164,,2.13489058778731,Togo
1986,3439370.0,308.461065619764,,4.12461526367688,,0.576211218529452,Togo
1987,3544927.0,352.36244075626,,0.054008850482665,,0.57245610996067,Togo
1988,3653420.0,377.412804279654,,-0.150910979934785,,0.940374903124181,Togo
1989,3763657.0,359.47740794438,,-0.839403116952567,,0.677707434098164,Togo
1990,3875947.0,420.136682833592,,1.0153415053081,,1.12007423063764,Togo
1991,3990215.0,401.557275215572,,0.387081797870735,3.80999994277954,0.404407008728464,Togo
1992,4106219.0,412.291480357043,,1.3937866367594,3.86100006103516,-0.774358714346295,Togo
1993,4078392.0,302.446858059483,,-1.00688168855036,3.97699999809265,-1.50595446602694,Togo
1994,4092612.0,240.097112676672,,39.1627673796796,3.76399993896484,-0.332320523129248,Togo
1995,4279566.0,305.961605763364,,16.4335034524163,3.84500002861023,-0.596716766932277,Togo
1996,4445883.0,329.619175840057,,4.68749999999999,3.86400008201599,0.153804363395107,Togo
1997,4592550.0,326.387496943471,,8.250825082508,3.84699988365173,0.817929779293362,Togo
1998,4728297.0,335.711980650602,,0.975338381088676,4.00899982452393,0.700298686850393,Togo
1999,4867941.0,323.889051172726,,-0.0532136248823594,3.99900007247925,0.957027946973885,Togo
2000,5008035.0,297.899497099582,11.41868877,1.86260595463066,4.05700016021729,3.54036100253266,Togo
2001,5145426.0,288.107875238588,11.3970356,3.91959133653153,4.07499980926514,4.89852951914801,Togo
2002,5281538.0,323.144148436522,12.85665989,3.05981857535875,4.08199977874756,3.3870259416367,Togo
2003,5421001.0,390.303627156755,15.73219013,-0.930000884072223,4.09000015258789,2.16338150644448,Togo
2004,5565218.0,406.092383495156,17.20272064,0.393078681031676,4.19000005722046,3.53840452245528,Togo
2005,5711597.0,399.447449717684,18.11136246,6.78292893028311,4.25899982452393,4.20794738732066,Togo
2006,5874240.0,400.321506852159,18.96888161,2.2289777941403,4.23000001907349,3.88660231794978,Togo
2007,6047537.0,440.280456066823,23.45941162,0.945673271705163,3.81500005722046,2.34381856842265,Togo
2008,6222482.0,534.140095551075,28.30801582,8.6948281436391,3.3289999961853,1.53120685200539,Togo
2009,6398624.0,528.122697156829,29.72832108,3.71360592035804,2.875,1.37025608539338,Togo
2010,6571855.0,521.840712464494,32.09547043,1.44594517430865,2.42700004577637,3.64675626206205,Togo
2011,6748672.0,573.810558543416,36.0716095,3.56351472903955,1.98000001907349,18.8177804185746,Togo
2012,6926635.0,559.190485610988,37.0880394,2.57718174055852,2.03399991989136,3.13715184442928,Togo
2013,7106229.0,608.150350394249,41.44555283,1.82539475909161,2.08999991416931,4.24835441688157,Togo
2014,7288383.0,627.709402333537,43.89037704,0.190875076249778,2.14499998092651,1.18077598521627,Togo
2015,7473229.0,559.445746549378,38.17872238,2.5839052698704,2.20000004768372,6.16762234296234,Togo
2016,7661354.0,787.280181567633,42.98860931,1.28524660824512,2.96499991416931,-0.767757885870412,Togo
2017,7852795.0,814.41990710498,53.94796753,-0.980289495517403,3.74000000953674,1.3847092372268,Togo
2018,8046679.0,883.867832307256,54.8932724,0.928170503538593,3.72300004959106,-2.54453890986984,Togo
2019,8243094.0,875.932659234798,51.1550293,0.685897590895539,3.70700001716614,4.7877925668892,Togo
2020,8442580.0,897.194575433309,,1.82754038520035,4.02799987792969,-0.781645644104139,Togo
2021,8644829.0,973.206129076133,,,4.17500019073486,1.54382763122,Togo
