Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,89275.0,,,,,,Tonga
1973,90611.0,,,,,,Tonga
1974,92007.0,,,,,,Tonga
1975,93477.0,347.751229929506,,,,0.0,Tonga
1976,94921.0,316.435951601799,,7.10957583547552,,0.0,Tonga
1977,95847.0,356.186295772271,,17.5379384484612,,0.117166717012755,Tonga
1978,96227.0,431.9730602866,,9.58437912111287,,0.120286363323467,Tonga
1979,96506.0,462.841709448868,,5.46001552795041,,0.0,Tonga
1980,96708.0,550.730833344802,,22.3933889164965,,0.0,Tonga
1981,96846.0,642.690594658209,,14.8992481203002,,0.0,Tonga
1982,96931.0,640.333444110785,,10.8378703800656,,0.0,Tonga
1983,96981.0,627.586475329848,,9.81355311787776,,0.0,Tonga
1984,97022.0,662.203979937185,,0.106451612903662,,0.03112920189589,Tonga
1985,97055.0,618.810605476042,,16.765,,0.0348773850722813,Tonga
1986,97078.0,702.485172901927,,21.6738748768894,,0.166285651759616,Tonga
1987,97392.0,838.540470004705,,4.685987787925,,0.237785923559344,Tonga
1988,97939.0,1089.01732065206,,9.92402339810403,,0.0545168006704606,Tonga
1989,98379.0,1080.97109125011,,4.07364364792934,,0.103943204289237,Tonga
1990,98727.0,1150.28129668079,,9.70986384562653,,0.0876347967566224,Tonga
1991,99010.0,1335.2301933831,,10.5954493994794,1.29100000858307,0.151503565185696,Tonga
1992,99260.0,1380.88142806841,,7.9369801219287,1.38300001621246,0.90767165212935,Tonga
1993,99492.0,1391.97005179375,,0.960904460459192,1.29999995231628,0.253672875477542,Tonga
1994,99731.0,1965.19624002777,,1.01295206694857,1.65400004386902,1.27004421143699,Tonga
1995,99977.0,2089.19717283657,,1.4600063035097,1.9650000333786,0.492384306944461,Tonga
1996,100195.0,2216.68323115408,,2.99528023991143,2.50399994850159,0.128316022177579,Tonga
1997,100658.0,2135.86056066083,,2.12473132408039,2.91499996185303,-0.00489607800061625,Tonga
1998,101343.0,1889.67065077405,,3.27444554260465,3.25099992752075,0.0238680850086429,Tonga
1999,101982.0,1953.42936225716,,4.4643546767589,3.57599997520447,0.480961652467397,Tonga
2000,102603.0,1996.52654008437,58.27169418,6.32763551411156,4.10300016403198,4.49715122997863,Tonga
2001,103210.0,1754.83918990117,59.96763992,8.2902831885033,4.32800006866455,4.21200936118767,Tonga
2002,103804.0,1760.66138026351,68.0438385,10.3590607918507,4.63899993896484,2.56729149386426,Tonga
2003,104410.0,1937.0458738653,74.03245544,11.6386219580734,5.17999982833862,0.0901241387632835,Tonga
2004,105036.0,2195.98961773664,110.70254517,10.9734053679554,4.05100011825562,2.39907779835723,Tonga
2005,105633.0,2478.36950715893,116.7634201,8.66569221131756,2.50200009346008,2.29394363866265,Tonga
2006,106190.0,2751.97398134474,159.3008728,6.14911606456572,1.0900000333786,3.7598430583561,Tonga
2007,106638.0,2799.32065641877,144.00927734,5.84224874901382,1.18299996852875,5.89046737687603,Tonga
2008,106932.0,3221.0059571198,202.76853943,10.4469875128222,1.21200001239777,6.24737805819699,Tonga
2009,107144.0,2915.49110820128,126.35308075,1.42685972070539,1.47899997234344,0.0790731024025921,Tonga
2010,107383.0,3416.18331060154,177.96894836,3.53491239189831,1.46700000762939,1.27058277307057,Tonga
2011,107611.0,3852.05405080641,169.75524902,6.27075302995688,1.45299994945526,1.84345495834301,Tonga
2012,107502.0,4378.65419644984,226.49685669,1.14753853706054,1.66100001335144,-0.178773911371038,Tonga
2013,107089.0,4208.12235785681,183.2253418,0.775629322367448,1.76800000667572,1.39123535292126,Tonga
2014,106626.0,4125.43683537418,226.12745667,2.51087633253703,1.82599997520447,3.0102488785176,Tonga
2015,106122.0,4117.96071656001,187.3837738,-1.05399831971282,1.94099998474121,1.45287524187726,Tonga
2016,105707.0,3978.35695433064,209.99269104,2.57815515245079,1.90400004386902,1.36125508774261,Tonga
2017,105415.0,4367.30204420454,230.63096619,7.5170628355112,2.07399988174438,-1.2193761206132,Tonga
2018,105150.0,4649.5793900131,234.99317932,5.03209691984875,2.25,4.07264125379581,Tonga
2019,104951.0,4879.0173416227,242.37277222,1.17954334821804,2.24399995803833,0.340276872837147,Tonga
2020,105254.0,4606.06455169288,,-0.349737696727454,2.65400004386902,0.871767684559621,Tonga
2021,106017.0,4426.00063706281,,5.64051140636751,2.66899991035461,0.0550874509407781,Tonga
