Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1013031.0,1069.44510492249,,9.30106881253335,,7.94734229199472,Trinidad and Tobago
1973,1026563.0,1274.9334029795,,14.810745481571,,5.01222700320985,Trinidad and Tobago
1974,1040291.0,1962.94296636438,,22.0249772717617,,5.88399230278036,Trinidad and Tobago
1975,1054017.0,2317.48403777947,,16.9790604656895,,3.8055927197554,Trinidad and Tobago
1976,1067696.0,2341.87501291732,,10.6924643577729,,5.28530970898652,Trinidad and Tobago
1977,1081693.0,2901.62427478653,,11.7448635390942,,2.66169286432059,Trinidad and Tobago
1978,1096569.0,3248.61769604406,,10.256586168874,,3.61654333862641,Trinidad and Tobago
1979,1112310.0,4137.71037300753,,14.7221703689992,,2.03878399149556,Trinidad and Tobago
1980,1127852.0,5528.94646933581,,17.4703042795772,,2.95937458361982,Trinidad and Tobago
1981,1142695.0,6118.94104142692,,14.3318866009394,,3.69107919824851,Trinidad and Tobago
1982,1157140.0,7034.94535377454,,11.6347629431673,,2.49987203871373,Trinidad and Tobago
1983,1171273.0,6628.47175679795,,15.1749999993332,,1.51612730165678,Trinidad and Tobago
1984,1184747.0,6547.45978114596,,13.3347804066324,,1.45941881076436,Trinidad and Tobago
1985,1199785.0,6147.70010239079,,7.62257405520195,,0.0160478114105381,Trinidad and Tobago
1986,1216370.0,3941.60037196284,,7.6936765932314,,-0.303012746234068,Trinidad and Tobago
1987,1231442.0,3896.06475804608,,10.7518589920742,,0.690713293191292,Trinidad and Tobago
1988,1244633.0,3612.99441158073,,7.75849206743923,,1.39891897810734,Trinidad and Tobago
1989,1256210.0,3441.35042988785,,11.4321318133566,,3.44418440102324,Trinidad and Tobago
1990,1266518.0,4001.52228393122,,11.0644257703083,,2.15887459956358,Trinidad and Tobago
1991,1276224.0,4159.07072923949,,3.78310214375795,18.5200004577637,3.19035755764985,Trinidad and Tobago
1992,1285502.0,4231.46206009518,,6.43985419198059,19.6599998474121,3.27016493569974,Trinidad and Tobago
1993,1293974.0,3608.64168552058,,10.8352359208521,19.8099994659424,8.12106049185757,Trinidad and Tobago
1994,1301393.0,3801.46954841045,,8.81469401768106,18.4400005340576,10.4336662319052,Trinidad and Tobago
1995,1307822.0,4074.87728698555,,5.18220539517273,17.2199993133545,5.6093498949729,Trinidad and Tobago
1996,1313434.0,4385.09870025141,,3.40457442819623,16.25,6.17063297008399,Trinidad and Tobago
1997,1318171.0,4352.81259535963,,3.62607875843081,15.0100002288818,17.4170608673158,Trinidad and Tobago
1998,1322572.0,4569.65241228159,,5.61270907691202,14.210000038147,12.0748575508837,Trinidad and Tobago
1999,1327063.0,5130.86607098351,,3.43913590881996,13.1199998855591,9.44781394340287,Trinidad and Tobago
2000,1332203.0,6120.94270389706,277.21578979,3.55541319666879,12.1000003814697,8.33298811676719,Trinidad and Tobago
2001,1338567.0,6592.77664795341,284.29602051,5.53665326322303,10.8800001144409,9.46075960583206,Trinidad and Tobago
2002,1345964.0,6692.80435504512,338.28552246,4.15005861664714,10.3900003433228,11.1874930893587,Trinidad and Tobago
2003,1353548.0,8352.46315761855,374.00271606,3.81110624396873,10.4799995422363,7.14964286416839,Trinidad and Tobago
2004,1361172.0,9756.50037102982,449.84872437,3.72154938995966,8.32999992370605,7.51565755041278,Trinidad and Tobago
2005,1369075.0,11673.7815403674,553.06860352,6.87453459583515,7.94999980926514,5.87963579177132,Trinidad and Tobago
2006,1376919.0,13340.916273498,593.2364502,8.32960351465344,6.26999998092651,4.80528416565147,Trinidad and Tobago
2007,1384861.0,15627.2868179082,696.38708496,7.89438834757306,5.53999996185303,3.83520271627024,Trinidad and Tobago
2008,1392803.0,20011.1482740497,784.50317383,12.0303445477177,4.63000011444092,10.0489432656806,Trinidad and Tobago
2009,1401191.0,13682.76361003,810.79681396,6.97808725251547,5.28000020980835,3.69859111717232,Trinidad and Tobago
2010,1410296.0,15711.5587055513,861.51055908,10.5492003179987,4.03000020980835,2.47947143018943,Trinidad and Tobago
2011,1420020.0,17910.319154168,911.38299561,5.10713289264559,3.4300000667572,0.161394393305952,Trinidad and Tobago
2012,1430377.0,18961.2335932644,934.34265137,9.26028137068287,3.72000002861023,-7.02148750612249,Trinidad and Tobago
2013,1440729.0,19821.5286451733,1013.18231201,5.19981740465616,2.6800000667572,-3.95681680397985,Trinidad and Tobago
2014,1450661.0,20327.9834552237,1054.44580078,5.68441814595665,2.48000001907349,2.24291504691288,Trinidad and Tobago
2015,1460177.0,18389.5310320673,1107.18554688,4.66121598098263,2.4300000667572,0.658535456493549,Trinidad and Tobago
2016,1469330.0,15991.1087945367,1110.36608887,3.07066742464024,3.21000003814697,-0.100433969861782,Trinidad and Tobago
2017,1478607.0,16094.6667814968,1131.28173828,1.8803844018353,3.30900001525879,-1.97869052743112,Trinidad and Tobago
2018,1504709.0,16164.1613326627,1143.17053223,1.01856930188828,3.40499997138977,-2.87877380726422,Trinidad and Tobago
2019,1519955.0,15690.9630955493,1167.93310547,1.00054293027224,3.51999998092651,0.771388579674627,Trinidad and Tobago
2020,1518147.0,13871.7982194664,,0.598986330824747,4.21000003814697,5.01423450355951,Trinidad and Tobago
2021,1525663.0,16032.5027680992,,2.05922746915452,4.44999980926514,-4.47561043051365,Trinidad and Tobago
