Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,5320148.0,420.566574470809,,,,1.47487587822014,Tunisia
1973,5463650.0,499.81010428575,,,,2.12392947103275,Tunisia
1974,5613116.0,631.722836732469,,,,0.789636903992764,Tunisia
1975,5769074.0,750.312873380427,,,,1.03959457907431,Tunisia
1976,5929998.0,760.190661864913,,,,2.43159547204419,Tunisia
1977,6092769.0,838.588170554966,,,,1.82511349246518,Tunisia
1978,6254876.0,954.142689561657,,,,1.52995946940241,Tunisia
1979,6416191.0,1120.32074511479,,,,0.684525846607806,Tunisia
1980,6578156.0,1329.26831685985,,,,2.68287792784037,Tunisia
1981,6744050.0,1249.77032617585,,,,3.50789928792166,Tunisia
1982,6914963.0,1176.20311917825,,,,4.18375351466229,Tunisia
1983,7091270.0,1177.52910022569,,,,2.20543283910847,Tunisia
1984,7279157.0,1134.04503626693,,8.9000000000001,,1.37228220375315,Tunisia
1985,7476092.0,1124.94412053303,,7.25436179981637,,1.28236822851847,Tunisia
1986,7675499.0,1174.9250465867,,6.16438356164367,,0.712224549510124,Tunisia
1987,7874302.0,1231.38168541815,,8.22580645161294,,0.945869342490615,Tunisia
1988,8068788.0,1251.27749572233,,7.19696969696953,,0.60041737774631,Tunisia
1989,8256396.0,1223.54538388361,,7.74088603961338,,0.771628234204609,Tunisia
1990,8440023.0,1456.22448917712,,6.54529307282412,,0.629908672190099,Tunisia
1991,8622853.0,1516.29427159383,,8.19371509544086,15.7670001983643,0.959532828640886,Tunisia
1992,8802540.0,1760.54710297184,,5.82434514637906,15.673999786377,3.39259638003038,Tunisia
1993,8977173.0,1627.34380817692,,3.97495631916132,15.9130001068115,3.84625647958391,Tunisia
1994,9143141.0,1709.74760471028,,4.73323063996598,15.918999671936,2.76353438382718,Tunisia
1995,9294102.0,1940.03429264542,,6.24415028747145,15.9820003509521,1.5305492758972,Tunisia
1996,9430550.0,2077.00746892923,,3.72514472690712,15.8470001220703,1.21679619984828,Tunisia
1997,9557948.0,2170.58728823579,,3.65202620723071,15.9399995803833,1.65187872820671,Tunisia
1998,9677148.0,2253.07831053321,,3.12536579655865,15.6079998016357,2.98452817160531,Tunisia
1999,9788067.0,2344.04665590285,,2.69012485811578,15.210000038147,1.51379462295057,Tunisia
2000,9893316.0,2170.48175121644,111.66085052,2.96230794738606,14.9399995803833,3.49607083112177,Tunisia
2001,9995123.0,2207.67986890155,114.88658905,1.98333333333338,14.3999996185303,2.04619848570195,Tunisia
2002,10094561.0,2292.53691761173,125.91226959,2.72103284850454,14.5500001907349,3.41499293815864,Tunisia
2003,10193798.0,2693.10882684886,150.82670593,2.7125924747435,14.5100002288818,1.9651105311765,Tunisia
2004,10292225.0,3029.76849150158,169.67736816,3.63228004956626,14.2299995422363,1.89893981037043,Tunisia
2005,10388344.0,3106.65564728783,172.34443665,2.01778641357149,12.8699998855591,2.20839302342535,Tunisia
2006,10483558.0,3279.16441088157,181.3711853,3.22525337438917,12.5100002288818,9.4245566770682,Tunisia
2007,10580395.0,3677.94192483388,205.00958252,2.9669443247735,12.3599996566772,3.89407923347639,Tunisia
2008,10680380.0,4200.31581996008,233.33903503,4.34502807623041,12.4399995803833,5.79718858061887,Tunisia
2009,10784504.0,4029.38660323752,234.10635376,3.66490330642925,13.289999961853,3.50994616498646,Tunisia
2010,10895063.0,4241.01190951928,243.71401978,3.33897963601065,13.0500001907349,2.88814231758981,Tunisia
2011,11032528.0,4361.89644912346,274.30752563,3.24002842009523,18.3299999237061,0.89908839199287,Tunisia
2012,11174383.0,4233.89456807077,274.34341431,4.61184432206646,17.6299991607666,3.28520616634986,Tunisia
2013,11300284.0,4308.22693040853,289.54177856,5.31623531326693,15.9300003051758,2.17446901947763,Tunisia
2014,11428948.0,4398.57392191064,293.09716797,4.62555099534024,14.2600002288818,2.0384574866086,Tunisia
2015,11557779.0,3960.97532992845,255.69973755,4.437371273215,15.1599998474121,2.11996558765017,Tunisia
2016,11685667.0,3796.16792006345,244.42906189,3.62939937384383,15.5600004196167,1.4034240254263,Tunisia
2017,11811443.0,3569.75572524285,237.36445618,5.30884839565841,15.3299999237061,1.92329269404717,Tunisia
2018,11933041.0,3577.12441191204,236.73283386,7.3075917603165,15.460000038147,2.31678663612885,Tunisia
2019,12049314.0,3477.88377711232,233.05931091,6.72007532863804,15.1300001144409,1.93330611316652,Tunisia
2020,12161723.0,3497.68141046011,,5.63415115897623,16.3729991912842,1.39210678107905,Tunisia
2021,12262946.0,3807.13915027254,,5.70635020830702,16.2639999389648,1.14184280026766,Tunisia
