Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,37188035.0,547.465197598568,,15.4164557223961,,0.211207194742304,Turkiye
1973,38028236.0,674.072886707167,,13.9381652448957,,0.308186813186813,Turkiye
1974,38863420.0,917.805606099552,,23.8981615766705,,0.179427188382412,Turkiye
1975,39673590.0,1128.30446876345,,21.2273552385836,,0.254669562519392,Turkiye
1976,40500997.0,1262.44879311511,,17.4556893891338,,0.0195578231292517,Turkiye
1977,41385656.0,1417.96310618668,,25.9853378650601,,0.0460096563476285,Turkiye
1978,42292206.0,1539.26152331942,,61.8970444383435,,0.0522283330172577,Turkiye
1979,43187476.0,2068.37682008848,,63.5431082506343,,0.0839602606097693,Turkiye
1980,44089069.0,1561.01468621454,,94.2608598807591,,0.0261537873284136,Turkiye
1981,44981877.0,1579.30315225493,,37.6147825797716,,0.133727439564612,Turkiye
1982,45949991.0,1404.70827471453,,29.1375145022677,,0.0852101084615238,Turkiye
1983,47026425.0,1311.56642495148,,31.3902710198445,,0.0745805491233874,Turkiye
1984,48106764.0,1247.01610480052,,48.3923231346862,,0.188365011751549,Turkiye
1985,49175673.0,1367.24002261441,,44.9617301528779,,0.14724485190409,Turkiye
1986,50223885.0,1507.80868431002,,34.6100759738746,,0.165064419441927,Turkiye
1987,51250152.0,1700.92743389974,,38.8558434758409,,0.13192189973756,Turkiye
1988,52275890.0,1737.94867968755,,68.8096433837047,,0.389641205808496,Turkiye
1989,53305234.0,2009.99677943622,,63.2725524930958,,0.618797161231177,Turkiye
1990,54324142.0,2773.65247838079,,60.3038691346447,,0.474527209826892,Turkiye
1991,55321172.0,2711.94242474352,,65.978567991895,8.21000003814697,0.539899818589217,Turkiye
1992,56302037.0,2814.44755604105,,70.0761038690372,8.51000022888184,0.532629453212459,Turkiye
1993,57296008.0,3144.54257203462,,66.0938429820005,8.96000003814697,0.376311812229993,Turkiye
1994,58310245.0,2241.29005627223,,105.214986469202,8.57999992370605,0.465222433571291,Turkiye
1995,59305490.0,2857.845724705,,89.1133172248499,7.6399998664856,0.522167204269278,Turkiye
1996,60293786.0,3009.85503352792,,80.4121511388042,6.63000011444092,0.397849726303829,Turkiye
1997,61277426.0,3097.95403467596,,85.669361649978,6.84000015258789,0.4240532504307,Turkiye
1998,62242204.0,4433.76641899432,,84.6413434846315,6.8899998664856,0.340619950270805,Turkiye
1999,63185615.0,4057.65655793068,,64.8674876350757,7.69000005722046,0.305399456455755,Turkiye
2000,64113547.0,4278.39313044251,199.49937439,54.9153705812683,6.5,0.357998325424514,Turkiye
2001,65072018.0,3100.42864226374,153.6227417,54.4001887619075,8.38000011444092,1.66145274824907,Turkiye
2002,65988663.0,3640.82564144566,186.69137573,44.9641209479849,10.3599996566772,0.450358174881171,Turkiye
2003,66867327.0,4704.72564390808,238.68717957,21.6024384490573,10.539999961853,0.54101747152865,Turkiye
2004,67785075.0,6031.94792735276,299.56063843,8.59826168115267,10.8400001525879,0.681135529961189,Turkiye
2005,68704715.0,7369.33864694192,364.90805054,8.17916036802001,10.6400003433228,1.98120389743256,Turkiye
2006,69601333.0,8003.55115399087,416.92852783,9.59724212288445,8.72000026702881,3.62350171693496,Turkiye
2007,70468869.0,9668.62878162376,512.8482666,8.75618090972635,8.86999988555908,3.23584205161635,Turkiye
2008,71320726.0,10802.7806139323,570.85894775,10.4441283764885,9.71000003814697,2.57650552206151,Turkiye
2009,72225639.0,8989.50258888251,500.1930542,6.25097663090625,12.5500001907349,1.32224899262389,Turkiye
2010,73195345.0,10615.3280641927,539.32714844,8.56644420552977,10.6599998474121,1.17105362401436,Turkiye
2011,74173854.0,11308.0649033577,531.4185791,6.47187967115097,8.80000019073486,1.92927021382018,Turkiye
2012,75277439.0,11697.4805131124,524.25030518,8.89156996512164,8.14999961853027,1.56083135368058,Turkiye
2013,76576117.0,12507.594513483,551.40124512,7.49309030547697,8.72999954223633,1.41608273530683,Turkiye
2014,78112073.0,12020.5826390508,525.84472656,8.85457271364318,9.88000011444092,1.42041244613458,Turkiye
2015,79646178.0,10851.9541305658,453.1164856,7.6708536484588,10.2399997711182,2.2286970344591,Turkiye
2016,81019394.0,10734.3799728439,466.7947998,7.77513415328334,10.8400001525879,1.59079130572528,Turkiye
2017,82089826.0,10464.1013990681,442.61761475,11.1443110840764,10.8199996948242,1.30268319907129,Turkiye
2018,82809304.0,9400.77821401543,389.86557007,16.3324638988929,10.8900003433228,1.60635213481222,Turkiye
2019,83481684.0,9103.04337531894,396.46682739,15.1768215720023,13.6700000762939,1.25970903915432,Turkiye
2020,84135428.0,8561.07094781987,,12.2789574462574,13.1099996566772,1.08720194192531,Turkiye
2021,84775404.0,9661.23597511355,,19.5964926913323,11.9799995422363,1.61458265476453,Turkiye
