Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2328374.0,,,,,,Turkmenistan
1973,2393323.0,,,,,,Turkmenistan
1974,2459325.0,,,,,,Turkmenistan
1975,2525760.0,,,,,,Turkmenistan
1976,2592280.0,,,,,,Turkmenistan
1977,2659019.0,,,,,,Turkmenistan
1978,2726327.0,,,,,,Turkmenistan
1979,2794392.0,,,,,,Turkmenistan
1980,2862903.0,,,,,,Turkmenistan
1981,2932934.0,,,,,,Turkmenistan
1982,3005972.0,,,,,,Turkmenistan
1983,3082202.0,,,,,,Turkmenistan
1984,3162165.0,,,,,,Turkmenistan
1985,3246887.0,,,,,,Turkmenistan
1986,3336773.0,,,,,,Turkmenistan
1987,3430501.0,681.080867818095,,,,,Turkmenistan
1988,3525110.0,853.883551099413,,,,,Turkmenistan
1989,3621303.0,830.507360746251,,,,,Turkmenistan
1990,3720278.0,856.951488123082,,,,,Turkmenistan
1991,3821782.0,839.424885829333,,,1.39999997615814,,Turkmenistan
1992,3926369.0,815.139844487387,,,1.5,3.12447292479246e-07,Turkmenistan
1993,4031698.0,788.557562739356,,,1.5,2.48488158053872,Turkmenistan
1994,4133037.0,619.669896097026,,,4.69999980926514,4.02168020114266,Turkmenistan
1995,4226623.0,587.284089381539,,,8.30000019073486,9.38672671185894,Turkmenistan
1996,4301093.0,553.059414303541,,,10.3000001907349,4.54270296774194,Turkmenistan
1997,4363672.0,561.533872040419,,,11.0,4.40182080477416,Turkmenistan
1998,4431517.0,587.99008670922,,,12.1999998092651,2.39092317821268,Turkmenistan
1999,4501079.0,544.439337230729,,,12.6999998092651,5.10086560274336,Turkmenistan
2000,4569132.0,635.714311781872,76.63774109,,11.5129995346069,4.50999024060814,Turkmenistan
2001,4635094.0,762.617526541776,123.79406738,,10.6440000534058,4.80931909582582,Turkmenistan
2002,4698968.0,949.565627785881,132.51860046,,9.70800018310547,6.18559681697613,Turkmenistan
2003,4758988.0,1256.05714438451,208.86752319,,8.94799995422363,3.78080632943355,Turkmenistan
2004,4819792.0,1418.80626559546,319.25836182,,8.15100002288818,5.17229951086494,Turkmenistan
2005,4885775.0,1658.67277890821,345.14273071,,7.46799993515015,5.16047701573036,Turkmenistan
2006,4954029.0,2074.40738939883,374.18310547,,6.58300018310547,7.1122230202863,Turkmenistan
2007,5024894.0,2520.28502555268,281.93478394,,5.73899984359741,6.75922962962963,Turkmenistan
2008,5100083.0,3778.6685390822,255.47665405,,4.94299983978271,6.62635738831615,Turkmenistan
2009,5180957.0,3901.67028309872,194.2538147,,4.0,22.5235632084151,Turkmenistan
2010,5267970.0,4286.88050515414,221.79844666,,4.0,16.0841101892421,Turkmenistan
2011,5360811.0,5453.15500459414,276.65042114,,4.08699989318848,11.6000011402509,Turkmenistan
2012,5458682.0,6441.88661774322,318.80361938,,4.0770001411438,8.89999999988026,Turkmenistan
2013,5560095.0,7049.79750519535,376.21679688,,4.09600019454956,7.30000002613841,Turkmenistan
2014,5663152.0,7685.50985852327,437.74581909,,4.12599992752075,8.80000108809374,Turkmenistan
2015,5766431.0,6208.2966545016,405.12609863,,4.11399984359741,8.49997845126457,Turkmenistan
2016,5868561.0,6163.25340597611,423.05987549,,4.1399998664856,6.20181210651458,Turkmenistan
2017,5968383.0,6354.53282979422,456.83914185,,4.1710000038147,5.49999583590725,Turkmenistan
2018,6065066.0,6721.34954037245,460.32406616,,4.19600009918213,4.89948824038576,Turkmenistan
2019,6158420.0,7344.64823305792,500.00643921,,4.22599983215332,4.70786927420883,Turkmenistan
2020,6250438.0,,,,4.79899978637695,,Turkmenistan
2021,6341855.0,,,,4.78700017929077,,Turkmenistan
