Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,5896.0,,,,,,Turks and Caicos Islands
1973,6068.0,,,,,,Turks and Caicos Islands
1974,6249.0,,,,,,Turks and Caicos Islands
1975,6451.0,,,,,,Turks and Caicos Islands
1976,6668.0,,,,,,Turks and Caicos Islands
1977,6885.0,,,,,,Turks and Caicos Islands
1978,7110.0,,,,,,Turks and Caicos Islands
1979,7332.0,,,,,,Turks and Caicos Islands
1980,7598.0,,,,,,Turks and Caicos Islands
1981,7957.0,,,,,,Turks and Caicos Islands
1982,8355.0,,,,,,Turks and Caicos Islands
1983,8758.0,,,,,,Turks and Caicos Islands
1984,9166.0,,,,,,Turks and Caicos Islands
1985,9577.0,,,,,,Turks and Caicos Islands
1986,9986.0,,,,,,Turks and Caicos Islands
1987,10400.0,,,,,,Turks and Caicos Islands
1988,10816.0,,,,,,Turks and Caicos Islands
1989,11227.0,,,,,,Turks and Caicos Islands
1990,11709.0,,,,,,Turks and Caicos Islands
1991,12329.0,,,,,,Turks and Caicos Islands
1992,13014.0,,,,,,Turks and Caicos Islands
1993,13704.0,,,,,,Turks and Caicos Islands
1994,14402.0,,,,,,Turks and Caicos Islands
1995,15101.0,,,,,,Turks and Caicos Islands
1996,15806.0,,,,,,Turks and Caicos Islands
1997,16515.0,,,,,,Turks and Caicos Islands
1998,17239.0,,,,,,Turks and Caicos Islands
1999,17984.0,,,,,,Turks and Caicos Islands
2000,18744.0,,,,,,Turks and Caicos Islands
2001,19578.0,18323.8737358259,,,,,Turks and Caicos Islands
2002,20598.0,17803.0828235751,,,,,Turks and Caicos Islands
2003,21739.0,18848.7786926722,,,,,Turks and Caicos Islands
2004,22869.0,21233.9323975688,,,,,Turks and Caicos Islands
2005,23995.0,24115.2656803501,,,,,Turks and Caicos Islands
2006,25128.0,28728.5697230181,,,,,Turks and Caicos Islands
2007,26268.0,29446.0826861581,,,,,Turks and Caicos Islands
2008,27422.0,31459.5434322807,,,,,Turks and Caicos Islands
2009,28581.0,24602.9110248067,,,,,Turks and Caicos Islands
2010,29726.0,23103.9426764449,,,,,Turks and Caicos Islands
2011,30816.0,23649.7144340602,,,,,Turks and Caicos Islands
2012,32081.0,22666.4069075154,,,,,Turks and Caicos Islands
2013,33594.0,22451.5687325118,,,,,Turks and Caicos Islands
2014,34985.0,24040.8746605688,,,,-8.2672072479104,Turks and Caicos Islands
2015,36538.0,25783.2941047676,,,,-7.41855700744106,Turks and Caicos Islands
2016,38246.0,26995.0321602259,,,,1.60685436223669,Turks and Caicos Islands
2017,39844.0,25659.1958638691,,,,2.15852459737961,Turks and Caicos Islands
2018,41487.0,26831.9714609396,,,,3.79337356649161,Turks and Caicos Islands
2019,43080.0,27795.1485608171,,,,2.25165599228338,Turks and Caicos Islands
2020,44276.0,20882.2612702141,,,,3.29001169175726,Turks and Caicos Islands
2021,45114.0,20908.5827016004,,,,3.04157704402282,Turks and Caicos Islands
