Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,5891.0,,,,,,Tuvalu
1973,5934.0,,,,,,Tuvalu
1974,6100.0,,,,,,Tuvalu
1975,6381.0,,,,,,Tuvalu
1976,6677.0,,,,,,Tuvalu
1977,6984.0,,,,,,Tuvalu
1978,7297.0,,,,,,Tuvalu
1979,7552.0,,,,,,Tuvalu
1980,7731.0,,,,,,Tuvalu
1981,7874.0,,,,,,Tuvalu
1982,7993.0,,,,,,Tuvalu
1983,8099.0,,,,,,Tuvalu
1984,8197.0,,,,,,Tuvalu
1985,8329.0,,,,,,Tuvalu
1986,8496.0,,,,,,Tuvalu
1987,8665.0,,,,,,Tuvalu
1988,8844.0,,,,,,Tuvalu
1989,9017.0,,,,,,Tuvalu
1990,9182.0,961.059435877069,,,,,Tuvalu
1991,9354.0,1001.19370469251,,,,,Tuvalu
1992,9466.0,1029.25728620435,,,,,Tuvalu
1993,9517.0,1011.95365702389,,,,,Tuvalu
1994,9559.0,1138.90841712442,,,,,Tuvalu
1995,9585.0,1150.33334841435,,,,,Tuvalu
1996,9611.0,1283.40924275305,,,,,Tuvalu
1997,9630.0,1318.88945457202,,,,,Tuvalu
1998,9634.0,1324.23010882819,,,,,Tuvalu
1999,9640.0,1419.82791554749,,,,,Tuvalu
2000,9638.0,1564.03937567783,359.10177612,,,,Tuvalu
2001,9621.0,1451.51602623683,272.0803833,,,-0.0666652012321718,Tuvalu
2002,9609.0,1752.76657524349,218.12919617,,,-0.0580656991474599,Tuvalu
2003,9668.0,2012.46531750813,287.87768555,,,-0.0563994818129198,Tuvalu
2004,9791.0,2328.41080749753,228.37380981,,,-0.0513075987085173,Tuvalu
2005,9912.0,2311.29009741625,242.88703918,,,-0.0498360548617513,Tuvalu
2006,10030.0,2402.43126043556,298.6590271,,,-0.0439180073436116,Tuvalu
2007,10149.0,2803.1827898032,295.29885864,,,-0.0388546364318884,Tuvalu
2008,10272.0,3102.98351538374,314.48632813,,,5.29525028405276,Tuvalu
2009,10408.0,2697.61175036517,375.97106934,,,6.2367442905834,Tuvalu
2010,10550.0,3043.05223355687,500.05596924,,,1.4179874250613,Tuvalu
2011,10700.0,3663.12725029281,567.47424316,0.500580743152696,,-0.303830253431503,Tuvalu
2012,10854.0,3624.98804230918,532.04663086,,,3.36770020030884,Tuvalu
2013,10918.0,3537.04833528643,628.64202881,,,0.8726615,Tuvalu
2014,10899.0,3556.26111776132,567.96411133,,,0.774,Tuvalu
2015,10877.0,3384.35777601473,531.26647949,,,0.81495918367347,Tuvalu
2016,10852.0,3836.11292595787,547.8984375,,,0.720642857142857,Tuvalu
2017,10828.0,4175.99352406743,633.36108398,,,0.663457627118644,Tuvalu
2018,10865.0,4401.13120074687,766.26287842,,,0.6249951575,Tuvalu
2019,10956.0,4949.17388770172,972.61242676,,,0.551170496153846,Tuvalu
2020,11069.0,4973.77456126816,,,,0.1816375,Tuvalu
2021,11204.0,5632.00299343641,,,,0.316050651428571,Tuvalu
