Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,10885563.0,137.025217589156,,,,-0.797802816901409,Uganda
1973,11146099.0,152.745907640275,,,,0.30542941757157,Uganda
1974,11428676.0,183.760800757004,,,,0.0809468822170901,Uganda
1975,11730959.0,201.139186962938,,,,0.0889998116406103,Uganda
1976,12045227.0,203.175913579711,,,,0.0837657786131655,Uganda
1977,12369253.0,237.400802476535,,,,0.0272435897435897,Uganda
1978,12701999.0,190.541730444572,,,,0.0813961843854417,Uganda
1979,13011511.0,164.394819325749,,,,0.0935005434719089,Uganda
1980,13284026.0,93.6922285457737,,,,0.321385815637027,Uganda
1981,13563558.0,98.5950736525033,,,,0.0,Uganda
1982,13880052.0,156.879815724033,,,,0.0927669345579793,Uganda
1983,14228932.0,157.449155940399,,,,0.0,Uganda
1984,14617944.0,247.343092643831,,,,0.0,Uganda
1985,15038915.0,234.037251924394,,,,-0.113647136270219,Uganda
1986,15486807.0,253.327372267753,,,,0.0,Uganda
1987,15974216.0,392.476952525391,,,,0.0,Uganda
1988,16489323.0,394.736136326923,,,,0.0722084706296851,Uganda
1989,17028543.0,309.860977888676,,,,-0.0333555641472032,Uganda
1990,17586630.0,244.754047016551,,,,-0.13730140222003,Uganda
1991,18171935.0,182.794460640661,,,3.31900000572205,0.0301048033359581,Uganda
1992,18801966.0,151.976546497897,,,3.37199997901917,0.104988424919295,Uganda
1993,19462958.0,165.465035899964,,,3.30999994277954,1.69542100473886,Uganda
1994,20125021.0,198.282051318712,,10.0367598792176,3.36100006103516,2.2102878668809,Uganda
1995,20680831.0,278.31661829359,,6.55014018970372,3.29800009727478,2.10569514272683,Uganda
1996,21249572.0,284.456803503525,,7.19164660433345,3.35999989509583,2.00179157800548,Uganda
1997,21876935.0,286.572744910157,,8.1690214410696,3.44899988174438,2.79136538541262,Uganda
1998,22537658.0,292.169481253444,,0.0688041719983226,3.47499990463257,3.18915524586374,Uganda
1999,23279247.0,257.678577745517,,5.77736898687892,3.44199991226196,2.33722633189323,Uganda
2000,24020697.0,257.829605739453,16.63032341,3.39202158512999,3.55200004577637,2.59476174980504,Uganda
2001,24763325.0,235.852974855859,16.18933678,1.86512524084774,3.53900003433228,2.59388837095242,Uganda
2002,25545090.0,241.86893022857,15.92738056,-0.287508511765189,3.5,2.98852729248719,Uganda
2003,26354736.0,250.69059279441,14.43743706,8.68047651566882,3.59999990463257,3.06033194557872,Uganda
2004,27146084.0,292.472662865966,18.83850098,3.72128743978224,2.74600005149841,3.72085075734679,Uganda
2005,27946588.0,330.602857799971,26.12890434,8.44872642299535,1.89999997615814,4.11082606827155,Uganda
2006,28773227.0,346.768460996729,31.8495903,7.31067613561862,2.27600002288818,6.45705804502694,Uganda
2007,29629804.0,401.709184486129,36.30623245,6.13851083285053,2.72399997711182,6.65659730270496,Uganda
2008,30509862.0,473.302829802644,40.19852066,12.0508555482885,3.14299988746643,5.0473719403406,Uganda
2009,31412520.0,799.929632084631,44.42363358,13.0172561889186,3.59999990463257,3.34916155142191,Uganda
2010,32341728.0,824.737678434546,51.82595825,3.9765528847817,3.58699989318848,2.039004692596,Uganda
2011,33295738.0,837.09588312989,55.00610352,16.5643496174515,3.4909999370575,3.20860603857143,Uganda
2012,34273295.0,796.711135048199,54.68679047,12.6790377224659,3.54999995231628,4.41438587275828,Uganda
2013,35273570.0,819.757880944623,52.37650299,4.90520875694555,1.9099999666214,3.79031703384278,Uganda
2014,36336539.0,897.509742423677,50.24546432,3.07570668958641,2.32299995422363,3.24589607972727,Uganda
2015,37477356.0,864.18006234671,39.37041855,5.58968606251724,2.74900007247925,2.27760506652642,Uganda
2016,38748299.0,753.684408569709,38.24341202,5.70637504616216,3.18300008773804,2.14253048045235,Uganda
2017,40127085.0,766.177605762572,30.68274689,5.20971705914217,3.64000010490417,2.61088917415985,Uganda
2018,41515395.0,793.128081123392,32.0545311,2.61601190952264,3.57100009918213,3.20512811057536,Uganda
2019,42949080.0,823.138950454868,32.40844345,2.86758803446909,3.55399990081787,3.60254290330612,Uganda
2020,44404611.0,846.767201292225,,3.31332289544493,4.51100015640259,2.32383307035584,Uganda
2021,45853778.0,883.892032311279,,2.20457204757416,4.29500007629395,2.71518465134808,Uganda
