Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,47974187.0,,,,,,Ukraine
1973,48301548.0,,,,,,Ukraine
1974,48602694.0,,,,,,Ukraine
1975,48892187.0,,,,,,Ukraine
1976,49144535.0,,,,,,Ukraine
1977,49357430.0,,,,,,Ukraine
1978,49536615.0,,,,,,Ukraine
1979,49739734.0,,,,,,Ukraine
1980,49973920.0,,,,,,Ukraine
1981,50221000.0,,,,,,Ukraine
1982,50384000.0,,,,,,Ukraine
1983,50564000.0,,,,,,Ukraine
1984,50754000.0,,,,,,Ukraine
1985,50917000.0,,,,,,Ukraine
1986,51097000.0,,,,,,Ukraine
1987,51293000.0,1249.44323730469,,,,,Ukraine
1988,51521000.0,1449.96252441406,,,,,Ukraine
1989,51773000.0,1597.53466796875,,,,,Ukraine
1990,51891400.0,1568.53662109375,,,,,Ukraine
1991,52000500.0,1487.49975585938,,,1.89999997615814,,Ukraine
1992,52150400.0,1417.935546875,,,1.89999997615814,0.270467973646631,Ukraine
1993,52179200.0,1257.35009765625,,4734.91434744585,2.0,0.304843093482967,Ukraine
1994,51921400.0,1011.97937011719,,891.187748133705,2.0,0.302607061653856,Ukraine
1995,51512800.0,935.976135253906,,376.746174768209,5.61999988555908,0.553772423060795,Ukraine
1996,51057800.0,872.69873046875,,80.3255014551743,7.65000009536743,1.16926054048749,Ukraine
1997,50594600.0,991.220397949219,,15.9405994149429,8.93000030517578,1.24226326781985,Ukraine
1998,50144500.0,835.2509765625,,10.5771611482514,11.3199996948242,1.77397921885509,Ukraine
1999,49674000.0,635.764404296875,,22.6836718061345,11.8599996566772,1.57056653531838,Ukraine
2000,49176500.0,658.3486328125,35.13175964,28.2030972388552,11.710000038147,1.83782192496366,Ukraine
2001,48662400.0,807.801940917969,44.7864418,11.958808539046,11.0600004196167,2.01477599147626,Ukraine
2002,48202470.0,911.9111328125,52.87649155,0.757420846392867,10.1400003433228,1.57656330881788,Ukraine
2003,47812949.0,1087.78564453125,68.91546631,5.17967781908312,9.0600004196167,2.73792244596276,Ukraine
2004,47451626.0,1416.60375976563,84.58253479,9.0480678605089,8.59000015258789,2.55131815944331,Ukraine
2005,47105171.0,1894.47082519531,116.33116913,13.5695764909248,7.17999982833862,8.74950147050784,Ukraine
2006,46787786.0,2391.32397460938,148.37510681,9.05252491133255,6.80999994277954,5.00872538573992,Ukraine
2007,46509355.0,3197.93432617188,185.91156006,12.8387796190181,6.34999990463257,6.8531805098082,Ukraine
2008,46258189.0,4066.5478515625,215.78677368,25.226461707384,6.3600001335144,5.68812669115146,Ukraine
2009,46053331.0,2639.3916015625,168.28643799,15.8811924594476,8.84000015258789,3.92339862434823,Ukraine
2010,45870741.0,3078.42993164063,202.34086609,9.37293105078976,8.10000038146973,4.56837773127429,Ukraine
2011,45706086.0,3704.82495117188,243.78082275,7.95572466274646,7.84999990463257,4.25610951260694,Ukraine
2012,45593342.0,4004.80444335938,275.2192688,0.568727971803899,7.53000020980835,4.47718484595942,Ukraine
2013,45489648.0,4187.73974609375,280.97668457,-0.238948626045408,7.17000007629395,2.36694390135139,Ukraine
2014,45272155.0,3104.64331054688,212.7696991,12.0718562874252,9.27000045776367,0.634440716736561,Ukraine
2015,45154036.0,2124.66235351563,157.57748413,48.6998646434423,9.14000034332275,-0.217508418219562,Ukraine
2016,45004673.0,2187.73046875,157.53770447,13.9127101997796,9.35000038146973,4.42178358298744,Ukraine
2017,44831135.0,2638.326171875,187.3952179,14.4383227488749,9.5,3.28306056533099,Ukraine
2018,44622518.0,3096.56176757813,222.47535706,10.9518559353179,8.80000019073486,3.80087103565933,Ukraine
2019,44386203.0,3661.45629882813,248.13348389,7.8867174561113,8.1899995803833,3.76649836392355,Ukraine
2020,44132049.0,3751.74072265625,,2.7324920941942,9.47999954223633,0.194103020682487,Ukraine
2021,43792855.0,4835.57177734375,,9.36313917695229,9.82999992370605,3.97529980910599,Ukraine
