Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,392368.0,,,,,,United Arab Emirates
1973,441546.0,,,,,,United Arab Emirates
1974,491955.0,,,,,,United Arab Emirates
1975,543394.0,27090.23748238,,,,0.108351027393326,United Arab Emirates
1976,614177.0,31282.5499669519,,,,0.257273417071533,United Arab Emirates
1977,706861.0,35186.2320379881,,,,0.451274583969912,United Arab Emirates
1978,805231.0,29526.7218766122,,,,0.164536829905021,United Arab Emirates
1979,908452.0,34372.1662980083,,,,0.206818388728571,United Arab Emirates
1980,1014048.0,42994.7580874356,,,,0.22395138271941,United Arab Emirates
1981,1100180.0,44841.2297397817,,,,-0.0343377746365328,United Arab Emirates
1982,1167856.0,39921.6329798234,,,,0.203892014116107,United Arab Emirates
1983,1237572.0,34586.5318099776,,,,0.106393607647695,United Arab Emirates
1984,1308331.0,31955.1812468733,,,,0.407195240980733,United Arab Emirates
1985,1379536.0,29432.8312066844,,,,-0.544187526835552,United Arab Emirates
1986,1468697.0,23111.3783815158,,,,0.324685539041065,United Arab Emirates
1987,1575909.0,23088.2041692835,,,,0.128404884092042,United Arab Emirates
1988,1683681.0,21545.4555840533,,,,0.520707068990223,United Arab Emirates
1989,1791840.0,23141.014774712,,,,0.0935487850536073,United Arab Emirates
1990,1900151.0,26682.8498094612,,,,-0.228435309406528,United Arab Emirates
1991,2008383.0,25668.4933214662,,,1.88699996471405,0.0503179637301319,United Arab Emirates
1992,2116231.0,25630.0809730927,,,1.85800004005432,0.239162943469002,United Arab Emirates
1993,2223284.0,25019.372357889,,,1.86199998855591,0.721471948889765,United Arab Emirates
1994,2329024.0,25463.4962885063,,,1.80999994277954,0.105319789259975,United Arab Emirates
1995,2433988.0,27010.6781857038,,,1.79999995231628,0.608195467069962,United Arab Emirates
1996,2572735.0,28596.5068287975,,,1.90299999713898,0.408474866570238,United Arab Emirates
1997,2746119.0,28709.2469206781,,,1.98300004005432,0.294815985875101,United Arab Emirates
1998,2921130.0,25905.8433836172,,,2.1470000743866,0.340485312002994,United Arab Emirates
1999,3097563.0,27261.9065733158,,,2.22300004959106,-1.16683578609984,United Arab Emirates
2000,3275333.0,31855.5006047175,787.02111816,,2.25,-0.485281532816973,United Arab Emirates
2001,3454198.0,29909.0094348435,777.13061523,,2.50099992752075,1.14589216989256,United Arab Emirates
2002,3633655.0,30221.9669995136,857.91192627,,2.65400004386902,0.0867813661375527,United Arab Emirates
2003,3813443.0,32607.3729348287,886.5012207,,2.75099992752075,3.42266271330333,United Arab Emirates
2004,3993339.0,37017.736365469,894.54040527,,2.90400004386902,6.76715211324682,United Arab Emirates
2005,4280993.0,42190.5543794633,913.3560791,,3.11999988555908,6.03481603924168,United Arab Emirates
2006,4898954.0,45339.5851165809,974.52062988,,2.92600011825562,5.76543753210014,United Arab Emirates
2007,5872624.0,43918.3801694265,1072.70532227,,2.85999989509583,5.50043971843078,United Arab Emirates
2008,6988685.0,45140.7690772438,1303.14074707,12.250420244814,2.72099995613098,1.6048746086738,United Arab Emirates
2009,7992644.0,31722.5887637992,1296.97766113,1.56181317449067,2.66799998283386,0.447367363952641,United Arab Emirates
2010,8481771.0,34165.9133053315,1314.63000488,0.877983288285896,2.46399998664856,3.03559369451727,United Arab Emirates
2011,8575205.0,40893.0233597739,1438.47216797,0.877346595685083,2.28399991989136,2.03957459089259,United Arab Emirates
2012,8664969.0,44386.7860789846,1403.52490234,0.662268900269082,2.1710000038147,2.4873633634704,United Arab Emirates
2013,8751847.0,45729.6076756823,1523.88378906,1.10111836375706,2.03200006484985,2.43989565736958,United Arab Emirates
2014,8835951.0,46865.9645983676,1588.28234863,2.34626865671643,1.90199995040894,2.67360384789356,United Arab Emirates
2015,8916899.0,41525.1389031283,1385.53771973,4.06996608361598,1.76300001144409,2.30933522457138,United Arab Emirates
2016,8994263.0,41054.5395699204,1322.00427246,1.61748808904192,1.63999998569489,2.60111969076035,United Arab Emirates
2017,9068296.0,43063.9674770763,1650.01855469,1.96682557818839,2.46000003814697,2.65141548161459,United Arab Emirates
2018,9140169.0,46722.2687183733,1817.34765625,3.06863379251994,2.24000000953674,2.43186975983804,United Arab Emirates
2019,9211657.0,45376.1708381558,1842.69445801,-1.93108114782171,2.32999992370605,4.27633945790034,United Arab Emirates
2020,9287289.0,37629.1741687956,,-2.0794031794094,4.28999996185303,5.68984379115185,United Arab Emirates
2021,9365145.0,44315.5541834116,,,3.10999989509583,4.97976995753109,United Arab Emirates
