Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,56086065.0,3030.43251411977,,7.07109839479793,,0.710712760088409,United Kingdom
1973,56194527.0,3426.27622050378,,9.1960331665781,,1.41412745627602,United Kingdom
1974,56229974.0,3665.8627976419,,16.0440111889862,,2.12182327411176,United Kingdom
1975,56225800.0,4299.74561799284,,24.2072876743291,,1.37267618730267,United Kingdom
1976,56211968.0,4138.16778761535,,16.5595225588084,,1.29235580557936,United Kingdom
1977,56193492.0,4681.43993173038,,15.8402667458767,,1.68267205120844,United Kingdom
1978,56196504.0,5976.93816899991,,8.26314103860768,,1.12758624698224,United Kingdom
1979,56246951.0,7804.76208051155,,13.4212799774013,,1.47370581928106,United Kingdom
1980,56314216.0,10032.062080015,,17.9659242656858,,1.79181968888777,United Kingdom
1981,56333829.0,9599.30622221965,,11.8766265142296,,1.08723167304469,United Kingdom
1982,56313641.0,9146.07735701852,,8.59886383332181,,1.05101856977298,United Kingdom
1983,56332848.0,8691.51881306514,,4.60930327269783,,1.05771880105628,United Kingdom
1984,56422072.0,8179.19444064991,,4.96071097821929,,-0.0752615937834715,United Kingdom
1985,56550268.0,8652.21654247593,,6.07139434015118,,1.11928039047476,United Kingdom
1986,56681396.0,10611.112210096,,3.42760940369308,,1.42482066983063,United Kingdom
1987,56802050.0,13118.586534629,,4.14892232052949,,1.75464033712155,United Kingdom
1988,56928327.0,15987.1680775688,,4.15535171583102,,2.90410516796534,United Kingdom
1989,57076711.0,16239.2821960944,,5.76024909185262,,2.92466121996993,United Kingdom
1990,57247586.0,19095.4669984608,,8.06346090938833,,3.78380567982468,United Kingdom
1991,57424897.0,19900.7266505069,,7.46178295746933,8.55000019073486,2.03397301702108,United Kingdom
1992,57580402.0,20487.1707852878,,4.59154929577464,9.77000045776367,1.95066544669245,United Kingdom
1993,57718614.0,18389.0195675099,,2.55857796929707,10.3500003814697,1.85476418901582,United Kingdom
1994,57865745.0,19709.2380983653,,2.21901260504202,9.64999961853027,1.71516994974046,United Kingdom
1995,58019030.0,23202.4615775949,,2.69749518304432,8.6899995803833,2.16383876490375,United Kingdom
1996,58166950.0,24440.3281377791,,2.85178236397748,8.1899995803833,2.27998225786733,United Kingdom
1997,58316954.0,26781.362168176,,2.20114313510882,7.07000017166138,3.2854136962067,United Kingdom
1998,58487141.0,28297.8659970584,,1.82056163731558,6.19999980926514,6.63525962872139,United Kingdom
1999,58682466.0,28786.9592756835,,1.7529508005142,6.03999996185303,7.68912401220499,United Kingdom
2000,58892514.0,28290.9725024578,2029.52490234,1.18295624210404,5.55999994277954,9.85101287435155,United Kingdom
2001,59119673.0,27886.7985907797,2101.83642578,1.53234960272418,4.69999980926514,3.40221627127623,United Kingdom
2002,59370479.0,30079.6600435049,2386.21240234,1.52040245947458,5.03999996185303,5.02622802171611,United Kingdom
2003,59647577.0,34479.3929332278,2796.34106445,1.3765003854201,4.80999994277954,1.75099805819842,United Kingdom
2004,59987905.0,40390.7858294925,3384.60522461,1.39039756680426,4.59000015258789,3.59311217897595,United Kingdom
2005,60401206.0,42131.6993992712,3552.64306641,2.08913649025072,4.75,9.92820086489634,United Kingdom
2006,60846820.0,44536.6197203512,3842.67578125,2.45566166439288,5.34999990463257,7.51450436948492,United Kingdom
2007,61322463.0,50435.37028921,4450.12890625,2.38656150773328,5.26000022888184,6.7742346209273,United Kingdom
2008,61806995.0,47429.9363403009,4301.11669922,3.52140856342537,5.61999988555908,8.64587954889008,United Kingdom
2009,62276270.0,38821.1795827116,3841.87890625,1.96173173560107,7.53999996185303,0.601707405002711,United Kingdom
2010,62766365.0,39693.1938701237,3904.50708008,2.49265472467065,7.78999996185303,2.67859911725338,United Kingdom
2011,63258810.0,42150.6981408821,4156.57714844,3.85611244682819,8.03999996185303,1.01305204131073,United Kingdom
2012,63700215.0,42485.5860695397,4222.08496094,2.57323479654528,7.88000011444092,1.7274537945239,United Kingdom
2013,64128273.0,43449.0917173139,4344.66845703,2.29166666666666,7.51999998092651,1.95502558727387,United Kingdom
2014,64602298.0,47447.5889322667,4740.11035156,1.45112016293279,6.1100001335144,1.92124487781883,United Kingdom
2015,65116219.0,45071.0743234873,4477.28564453,0.368046842325369,5.30000019073486,1.54465680973005,United Kingdom
2016,65611593.0,41146.0773555246,4067.17578125,1.00841736811403,4.80999994277954,12.0316359317202,United Kingdom
2017,66058859.0,40621.334478632,3966.05834961,2.55775577557754,4.32999992370605,4.67164255559398,United Kingdom
2018,66460344.0,43306.3083049317,4270.22119141,2.29283990345939,4.0,-0.870539117616634,United Kingdom
2019,66836327.0,42747.080460496,4312.88916016,1.73810460086511,3.74000000953674,0.692697277491496,United Kingdom
2020,67081000.0,40318.5575660493,,0.98948670377243,4.47200012207031,4.89815817915433,United Kingdom
2021,67326569.0,46510.2827819127,,2.51837109614205,4.82600021362305,0.189126103827933,United Kingdom
