Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1435596863.0,369.400783169109,,,,,Upper middle income
1973,1466631013.0,470.225243413428,,,,0.804865747996507,Upper middle income
1974,1496298581.0,571.434403732487,,,,0.900821200115974,Upper middle income
1975,1523626669.0,618.142484262705,,,,0.706452439855593,Upper middle income
1976,1549452007.0,640.182827944656,,,,0.669729817705875,Upper middle income
1977,1574053054.0,696.838297024593,,,,0.584421566982595,Upper middle income
1978,1598845249.0,735.287958275153,,,,0.643490868823721,Upper middle income
1979,1623849912.0,878.67531252015,,,,0.517942548662967,Upper middle income
1980,1648343471.0,1005.92955760436,,,,0.605189057365286,Upper middle income
1981,1673149687.0,1071.38304625581,,13.2666874934914,,0.799346972141363,Upper middle income
1982,1700078134.0,1006.85404484903,,7.81274141216488,,0.725338661823285,Upper middle income
1983,1727229212.0,941.476673003008,,9.81355311787776,,0.69212104713723,Upper middle income
1984,1753590272.0,954.978799108069,,7.38916256169464,,0.648094790046649,Upper middle income
1985,1780598442.0,962.323137453687,,10.8659529841193,,0.69293981611268,Upper middle income
1986,1809230667.0,958.632212664845,,8.68058297129238,,0.618966917287279,Upper middle income
1987,1839525529.0,1006.1842095036,,7.02175303902778,,0.634393209949183,Upper middle income
1988,1870056980.0,1097.59495284179,,8.35167956821222,,0.97896471539579,Upper middle income
1989,1899423485.0,1142.82782610147,,11.3871321997958,,0.889153319071972,Upper middle income
1990,1927678769.0,1335.20205084858,,13.4880887926371,,0.827987759247232,Upper middle income
1991,1954896100.0,1276.22488596163,,13.3048861646994,3.75816861477115,1.14328116986485,Upper middle income
1992,1980080141.0,1313.7521919416,,10.0459179984088,3.78770457018269,1.32091056174216,Upper middle income
1993,2004415584.0,1415.51439701408,,11.8196901746257,4.10232360275519,1.75187629531539,Upper middle income
1994,2028624294.0,1550.00951860455,,21.5656237655026,4.55019309178308,2.13481742667872,Upper middle income
1995,2051920108.0,1724.36374127326,,13.4254143646407,4.95297030493791,2.11472976777234,Upper middle income
1996,2074878234.0,1855.61470222907,,8.31316028893904,5.12161001619388,2.39783858142655,Upper middle income
1997,2097432530.0,1966.32366517574,,7.14511160883929,5.29052079654082,2.94415972353363,Upper middle income
1998,2118986216.0,1918.34467107806,,6.81079323797194,5.53673177504678,3.03398934273381,Upper middle income
1999,2139105183.0,1795.64721489373,,4.85844749902668,5.70219133055277,3.59616722264857,Upper middle income
2000,2158201213.0,1967.78797358541,109.181307406327,5.33895102929217,5.46402140016675,2.9993225590634,Upper middle income
2001,2176410449.0,1960.86145068598,108.56541818365,5.70190018305716,5.69905225489235,3.19309981732906,Upper middle income
2002,2193797571.0,1959.13904324367,106.376489594991,5.46442625689102,5.97869107880722,2.80902633086311,Upper middle income
2003,2210557257.0,2176.74403917377,118.878667015774,4.63422674362029,6.16185790383891,2.6568656812327,Upper middle income
2004,2227039419.0,2589.75261284266,139.065175018363,4.69938972474518,5.97344939171783,3.03786133306547,Upper middle income
2005,2243536298.0,3089.28624166607,165.261574366537,4.36528590053294,5.89688962318119,3.37440565480056,Upper middle income
2006,2259259920.0,3644.57518608182,192.333219598799,4.53364289691008,5.66159980065787,3.62560030242877,Upper middle income
2007,2274211146.0,4485.51495060606,232.668313554243,5.69331680358269,5.44465813339422,4.13242799328388,Upper middle income
2008,2289934559.0,5433.98336271995,283.435552825429,9.86588539349814,5.53476413246319,3.76761696145391,Upper middle income
2009,2306134012.0,5196.21917850605,292.360324786172,2.5540190078784,6.04288283262134,2.60442819340521,Upper middle income
2010,2321793515.0,6290.11009884083,338.008699849343,3.71119493687506,5.71478846543185,3.46746969560251,Upper middle income
2011,2338654010.0,7546.03030958207,397.719082780631,5.00559518081198,5.55765939300417,3.34142595946422,Upper middle income
2012,2357942787.0,8021.73367039928,428.079975508045,3.68520802929638,5.45668636905553,2.85904629442432,Upper middle income
2013,2378263733.0,8538.42876620621,464.557970770014,2.74483621896179,5.48033680123544,3.00954830990077,Upper middle income
2014,2398563632.0,8730.05993426656,479.681779909453,3.06881210379542,5.48744726961187,2.38563242264868,Upper middle income
2015,2417959696.0,8132.28571037896,456.410561227436,1.54869158222488,5.67903589374804,2.3072734065631,Upper middle income
2016,2436043943.0,8025.23480020977,447.045480721005,1.72826463324535,5.93487421758008,2.15099045401402,Upper middle income
2017,2453799496.0,8820.94949272126,503.17836439958,3.13106248590119,5.9513138763508,1.81984553614024,Upper middle income
2018,2469801107.0,9435.78082781379,531.270719153217,2.56572880132714,5.81172625557515,1.96586431818729,Upper middle income
2019,2483924063.0,9534.00511269487,551.409395736069,1.96823036836555,6.05108150346091,1.71937683975075,Upper middle income
2020,2495285443.0,9157.82001579761,,1.62088661717004,6.78656211141737,1.69139215430593,Upper middle income
2021,2503136362.0,10828.0506944074,,4.02852888157379,6.34280185045199,2.22608665033632,Upper middle income
