Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2821086.0,776.090484791666,,76.4849237828813,,-0.0520686273375839,Uruguay
1973,2836825.0,1397.44103796478,,96.9972653187057,,0.0350629724627693,Uruguay
1974,2853588.0,1433.35677118481,,77.213413779201,,-0.00195588994746683,Uruguay
1975,2871947.0,1232.01553582892,,81.4053840067419,,0.639858313740362,Uruguay
1976,2891094.0,1268.43376295746,,50.6230495604619,,0.085897501979638,Uruguay
1977,2909327.0,1414.30202333707,,58.1961750215737,,1.6040179921023,Uruguay
1978,2925840.0,1678.23848294218,,44.5483436672392,,2.62308047376091,Uruguay
1979,2940729.0,2441.97451651836,,66.8442861850437,,3.00089736802366,Uruguay
1980,2953750.0,3440.71777087917,,63.4758304314673,,2.84856269793068,Uruguay
1981,2966076.0,3724.89967940583,,34.0453358609474,,0.439885264323091,Uruguay
1982,2979182.0,3080.9806727691,,18.9925012952182,,-0.149256947227059,Uruguay
1983,2993285.0,1704.57582756064,,49.1973796505638,,0.10975482571477,Uruguay
1984,3008255.0,1612.31060604119,,55.3044235418763,,0.0700996010308784,Uruguay
1985,3024218.0,1564.70792561372,,72.2225644287757,,-0.166947805595481,Uruguay
1986,3041205.0,1933.4812314229,,76.3806364119544,,0.629239630793004,Uruguay
1987,3058787.0,2408.63259860858,,63.5666624326724,,0.680014119499354,Uruguay
1988,3077760.0,2668.6666466883,,62.1919564596004,,0.569792560035944,Uruguay
1989,3097889.0,2724.09743411286,,80.4474367280735,,0.446737963915544,Uruguay
1990,3117012.0,2983.25436515207,,112.525905573023,,0.446722402365872,Uruguay
1991,3135374.0,3574.04608039609,,101.971683202507,8.94999980926514,0.28859613818276,Uruguay
1992,3153732.0,4083.47947161771,,68.4591938395374,8.96000003814697,0.0877451825909748,Uruguay
1993,3171747.0,4729.91903783142,,54.1007924425194,8.35000038146973,0.676571652620503,Uruguay
1994,3189945.0,5478.04046539451,,44.7360421521933,9.03999996185303,0.884137991424044,Uruguay
1995,3208300.0,6014.91852275368,,42.2483197983755,10.0200004577637,0.811497222313885,Uruguay
1996,3226633.0,6358.18918334165,,28.3420486004309,11.9300003051758,0.666811498669675,Uruguay
1997,3245069.0,7386.53723863589,,19.8188093183778,11.4399995803833,0.472260474975899,Uruguay
1998,3262683.0,7780.69098002223,,10.8110703055616,9.35999965667725,0.646421114799265,Uruguay
1999,3278963.0,7314.49095052925,,5.65868803927908,10.4700002670288,0.981072955803878,Uruguay
2000,3292224.0,6932.47355035523,687.93054199,4.76382472733248,12.6300001144409,1.15156664010556,Uruguay
2001,3300939.0,6331.16468272657,668.95794678,4.35934065217274,15.0500001907349,1.48526757627519,Uruguay
2002,3306441.0,4115.14816064344,430.25042725,13.9724725913516,16.6499996185303,1.32181133417201,Uruguay
2003,3310202.0,3638.94139769575,378.65307617,19.3797301743994,16.6599998474121,3.34326500752044,Uruguay
2004,3313801.0,4130.1001146777,371.60061646,9.15760507540996,12.9799995422363,2.57711736584849,Uruguay
2005,3317665.0,5233.45717058668,440.45199585,4.6992773903564,12.0100002288818,4.76089085880272,Uruguay
2006,3322282.0,5893.37628956657,495.2510376,6.39764974385121,10.8400001525879,7.70373863851025,Uruguay
2007,3328651.0,7033.05111719873,571.99188232,8.11464561179318,9.39999961853027,5.80394391524039,Uruguay
2008,3336126.0,9102.2380807238,802.45715332,7.87707374730889,8.02999973297119,7.05379143831332,Uruguay
2009,3344156.0,9467.5341930907,816.29486084,7.06221874388572,7.73999977111816,5.06173621709613,Uruguay
2010,3352651.0,12015.7098522638,1030.6217041,6.69870886978135,7.15999984741211,5.43898761177647,Uruguay
2011,3361637.0,14267.5843060166,1229.37780762,8.09283206302989,6.30999994277954,5.60875183938749,Uruguay
2012,3371133.0,15206.8726201223,1329.65795898,8.09776580573602,6.44999980926514,12.4727316704308,Uruguay
2013,3381180.0,17015.1347609149,1497.06884766,8.57513504005394,6.44000005722046,1.71546826500967,Uruguay
2014,3391662.0,16875.506193165,1476.20080566,8.87735333229828,6.55000019073486,7.1375125667792,Uruguay
2015,3402818.0,15655.936997552,1406.52233887,8.66626987079337,7.48999977111816,5.01750586599343,Uruguay
2016,3413766.0,16766.4252588402,1450.14489746,9.63941347635073,7.84000015258789,-0.900908868689829,Uruguay
2017,3422200.0,18769.787523012,1648.87463379,6.21809382561863,7.8899998664856,4.18238119907878,Uruguay
2018,3427042.0,18825.2838068916,1686.07128906,7.60653360377044,8.34000015258789,2.67619780382981,Uruguay
2019,3428409.0,17859.9314960921,1660.95288086,7.88198870879622,8.72999954223633,2.40079709543328,Uruguay
2020,3429086.0,15619.5426555695,,9.75640636078191,10.3299999237061,0.965547268238259,Uruguay
2021,3426260.0,17313.1883484186,,7.74791402314763,9.28999996185303,6.15303979511611,Uruguay
