Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,12733242.0,,,,,,Uzbekistan
1973,13107928.0,,,,,,Uzbekistan
1974,13494711.0,,,,,,Uzbekistan
1975,13894347.0,,,,,,Uzbekistan
1976,14307397.0,,,,,,Uzbekistan
1977,14731709.0,,,,,,Uzbekistan
1978,15154314.0,,,,,,Uzbekistan
1979,15558907.0,,,,,,Uzbekistan
1980,15947129.0,,,,,,Uzbekistan
1981,16335642.0,,,,,,Uzbekistan
1982,16735643.0,,,,,,Uzbekistan
1983,17152857.0,,,,,,Uzbekistan
1984,17594364.0,,,,,,Uzbekistan
1985,18063201.0,,,,,,Uzbekistan
1986,18560008.0,,,,,,Uzbekistan
1987,19077170.0,,,,,,Uzbekistan
1988,19600028.0,,,,,,Uzbekistan
1989,20102902.0,,,,,,Uzbekistan
1990,20510000.0,651.419206137363,,,,,Uzbekistan
1991,20952000.0,652.807475287429,,,1.89999997615814,,Uzbekistan
1992,21449000.0,603.352015296438,,,2.90000009536743,0.0695448048093375,Uzbekistan
1993,21942000.0,596.983585612576,,,4.90000009536743,0.366439799230329,Uzbekistan
1994,22377000.0,576.447110453392,,,7.30000019073486,0.565928456046463,Uzbekistan
1995,22785000.0,585.932364161135,,,7.80000019073486,-0.179768966531952,Uzbekistan
1996,23225000.0,600.598157828584,,,10.6999998092651,0.645212527339969,Uzbekistan
1997,23667000.0,623.002652367639,,,10.8999996185303,1.13126132489788,Uzbekistan
1998,24051000.0,623.216132835985,,,13.3000001907349,0.931351444581184,Uzbekistan
1999,24311650.0,702.480744088873,,,13.3000001907349,0.7096656112296,Uzbekistan
2000,24650400.0,558.226802377,35.63145828,,12.2110004425049,0.542857629929967,Uzbekistan
2001,24964450.0,456.706289511583,30.44022942,,11.1809997558594,0.726225244285648,Uzbekistan
2002,25271850.0,383.343067990742,24.47666931,,10.1129999160767,0.674044440727725,Uzbekistan
2003,25567650.0,396.377979026633,25.58103943,,9.07199954986572,0.815041486213592,Uzbekistan
2004,25864350.0,465.119886944025,27.97478294,,8.17099952697754,1.46799380065313,Uzbekistan
2005,26167000.0,546.776850185552,32.42808914,,7.07100009918213,1.49216056466348,Uzbekistan
2006,26488250.0,654.283837283285,37.82676315,,6.01200008392334,1.19530557570436,Uzbekistan
2007,26868000.0,830.407694204322,46.67816925,,4.98999977111816,2.99176207276698,Uzbekistan
2008,27302800.0,1082.28602501699,61.00310135,,4.8899998664856,1.85438789059302,Uzbekistan
2009,27767400.0,1213.26532816388,71.64038086,,5.03999996185303,1.81985173937585,Uzbekistan
2010,28562400.0,1742.34925645077,85.44557953,,5.3600001335144,3.34115466012919,Uzbekistan
2011,29339400.0,2051.12951516418,100.31286621,13.7797446476602,4.96000003814697,2.68375111593279,Uzbekistan
2012,29774500.0,2267.62327535512,117.84118652,13.2088026688373,4.86999988555908,1.10230120247607,Uzbekistan
2013,30243200.0,2419.71870345484,130.42457581,11.8414333622049,4.8600001335144,0.945033997321416,Uzbekistan
2014,30757700.0,2628.46000757936,117.65130615,9.28309356162692,5.09000015258789,1.00027478726333,Uzbekistan
2015,31298900.0,2753.97107219949,131.83302307,8.75188196737501,5.15000009536743,1.20794014540971,Uzbekistan
2016,31847900.0,2704.67718798168,129.17277527,8.13088669523599,5.15999984741211,1.93048466478695,Uzbekistan
2017,32388600.0,1916.76464246779,93.00417328,13.8757425441635,5.82999992370605,2.8966835420375,Uzbekistan
2018,32956100.0,1597.0683366109,82.26926422,17.5241796514055,5.85599994659424,1.18686912904352,Uzbekistan
2019,33580350.0,1784.00981608195,98.57316589,14.5257359560686,5.86100006103516,3.86675496902802,Uzbekistan
2020,34232050.0,1749.65581532206,,12.8677297362606,5.28999996185303,2.88549776207329,Uzbekistan
2021,34915100.0,1983.06472288992,,10.8492397508122,6.01700019836426,3.00637182389262,Uzbekistan
