Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,92687.0,,,,,,Vanuatu
1973,95687.0,,,,,,Vanuatu
1974,98790.0,,,,,,Vanuatu
1975,102010.0,,,,,,Vanuatu
1976,105341.0,,,,,,Vanuatu
1977,108769.0,,,5.73650947982463,,,Vanuatu
1978,112185.0,,,6.41379310344847,,,Vanuatu
1979,115344.0,1033.94051997091,,4.16936703391666,,4.10032505033476,Vanuatu
1980,118156.0,1025.63981151411,,11.2401493156364,,3.82512767037216,Vanuatu
1981,120887.0,941.224414730783,,26.8456375838928,,6.25847038927249,Vanuatu
1982,123748.0,925.282934050386,,6.67254556143446,,6.05486080673344,Vanuatu
1983,126743.0,926.201480092832,,1.65334802976032,,4.99797443047385,Vanuatu
1984,129873.0,1112.4907822899,,5.51640010843042,,5.14796268122809,Vanuatu
1985,133119.0,990.515408793515,,1.06615285806043,,3.50819189737049,Vanuatu
1986,136488.0,926.813605120226,,4.76614133197763,,1.59481551036887,Vanuatu
1987,139956.0,996.485849462146,,16.0393950052762,,9.24471246437662,Vanuatu
1988,143528.0,1103.27858280718,,8.7602303728401,,6.82884964200247,Vanuatu
1989,147181.0,1046.4204083168,,7.74804905239702,,5.95311575797771,Vanuatu
1990,150882.0,1119.28001513864,,4.75944128297968,,7.76365372915173,Vanuatu
1991,154678.0,1301.63416293488,,6.46913580246915,1.73399996757507,12.6528540107589,Vanuatu
1992,158577.0,1318.53184641176,,4.0584415584416,1.75100004673004,12.6515100301481,Vanuatu
1993,162548.0,1233.43168275123,,3.56585691999114,1.79700005054474,12.9521079762656,Vanuatu
1994,166560.0,1403.10579665277,,2.30256079190871,1.62199997901917,12.7454042254148,Vanuatu
1995,170612.0,1461.40511852922,,2.22970130416486,1.79999995231628,12.4511731408336,Vanuatu
1996,174714.0,1495.98798314167,,0.906344410876215,1.77300000190735,12.523285011715,Vanuatu
1997,178871.0,1524.96049730623,,2.83070223189978,1.71899998188019,11.0837578711861,Vanuatu
1998,183088.0,1432.60842167883,,3.28215987294864,1.80799996852875,7.77121291962937,Vanuatu
1999,187432.0,1429.88909412638,,1.99897488467451,1.83200001716614,5.00112608347965,Vanuatu
2000,192074.0,1416.19736690445,48.71302414,2.53768844221106,1.70799994468689,7.4466895201681,Vanuatu
2001,197034.0,1309.04758427698,46.25571823,3.57755452095076,1.932000041008,6.98039768364935,Vanuatu
2002,202125.0,1299.17920991108,52.87108231,1.96356754199194,1.98300004005432,5.39327048668813,Vanuatu
2003,207258.0,1517.29403965853,55.42980957,3.01624129930396,1.75300002098083,5.72730509455972,Vanuatu
2004,212422.0,1718.26302892176,63.296772,1.41891891891891,1.76300001144409,5.4358941630547,Vanuatu
2005,217632.0,1814.81837384258,62.3782196,1.19920053297802,1.73699998855591,3.35516426308434,Vanuatu
2006,222923.0,1970.89899911526,68.08332062,2.0408163265306,1.67200005054474,9.88873325832348,Vanuatu
2007,228345.0,2261.45929411079,73.1243515,3.93548387096775,1.79900002479553,6.61419496414564,Vanuatu
2008,233952.0,2525.08308123742,82.50093842,4.84171322160149,1.74100005626678,6.38080575260241,Vanuatu
2009,239689.0,2472.46432819553,83.70121002,4.29706572955357,1.80400002002716,5.42349409640455,Vanuatu
2010,245453.0,2732.55249715649,100.13548279,2.7626946947735,1.85000002384186,9.4092971573027,Vanuatu
2011,251294.0,3064.7500702517,114.20265961,0.873793104781058,1.80099999904633,7.93578766318656,Vanuatu
2012,257313.0,2906.34246130818,117.96515656,1.34740362877658,1.84899997711182,8.07506480226511,Vanuatu
2013,263534.0,2877.44452801285,129.78491211,1.45893371757928,1.85899996757507,7.83052394467406,Vanuatu
2014,269927.0,2861.20218157438,106.72694397,0.798863838096904,1.79200005531311,1.71771247819523,Vanuatu
2015,276438.0,2643.88608538737,116.49732971,2.48326875660446,1.85500001907349,4.24442391739499,Vanuatu
2016,283218.0,2757.20330593386,82.24130249,0.842069084035039,1.74899995326996,6.27844762711595,Vanuatu
2017,290239.0,3032.19795770056,85.16284943,3.08452624403546,1.71000003814697,4.5104110514543,Vanuatu
2018,297298.0,3076.8353148388,104.58609772,2.3309637956687,1.78400003910065,4.10866391285911,Vanuatu
2019,304404.0,3076.58988588361,104.2496109,2.76252019386107,1.75699996948242,3.96283923161648,Vanuatu
2020,311685.0,2877.52017323582,,5.32935073101713,2.01699995994568,2.72486223752021,Vanuatu
2021,319137.0,2996.62106154483,,2.34328358208955,2.11800003051758,4.32090666863716,Vanuatu
