Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,12061621.0,1158.85976459775,,,,-2.68999382133914,"Venezuela, RB"
1973,12424804.0,1371.09457785804,,,,-0.493085607415396,"Venezuela, RB"
1974,12796220.0,2039.73753440923,,,,-1.64745086159274,"Venezuela, RB"
1975,13176387.0,2084.38406998752,,,,1.52195634134363,"Venezuela, RB"
1976,13566112.0,2316.0309220299,,,,-2.82944990525817,"Venezuela, RB"
1977,13965250.0,2592.91438924606,,,,-0.00828484451466225,"Venezuela, RB"
1978,14372959.0,2735.4338845444,,,,0.170412871169999,"Venezuela, RB"
1979,14788523.0,3266.78534648512,,,,0.182153395880368,"Venezuela, RB"
1980,15210443.0,3886.57395632113,,,,0.0930366127591945,"Venezuela, RB"
1981,15638426.0,4241.31187246499,,,,0.277411573307902,"Venezuela, RB"
1982,16071654.0,4214.67163155992,,,,0.379410027878105,"Venezuela, RB"
1983,16509596.0,4091.9401704177,,,,0.127301268193272,"Venezuela, RB"
1984,16953234.0,3539.75446302963,,,,0.0299948580243387,"Venezuela, RB"
1985,17402304.0,3560.76222244288,,,,0.109738542543051,"Venezuela, RB"
1986,17860872.0,3381.22376882112,,,,0.0264937486201173,"Venezuela, RB"
1987,18328655.0,2620.43420440609,,,,0.0437235522765683,"Venezuela, RB"
1988,18800770.0,3203.40144542503,,,,0.147775692415861,"Venezuela, RB"
1989,19275292.0,2258.13718424112,,,,0.489359828544302,"Venezuela, RB"
1990,19750579.0,2460.60206969284,,,,0.928015703335423,"Venezuela, RB"
1991,20226214.0,2643.94373712183,,,9.44999980926514,3.58285058857768,"Venezuela, RB"
1992,20700461.0,2917.89628480322,,,7.69000005722046,1.0413597248252,"Venezuela, RB"
1993,21172100.0,2836.98882081682,,,6.59999990463257,0.619328946627764,"Venezuela, RB"
1994,21640833.0,2699.46478800824,,,8.5600004196167,1.37113707947231,"Venezuela, RB"
1995,22107286.0,3501.45767528153,,,10.2399997711182,1.28669326477314,"Venezuela, RB"
1996,22572110.0,3125.23778765472,,,11.7700004577637,3.09455717335353,"Venezuela, RB"
1997,23037561.0,3726.24231309124,,,11.1599998474121,7.22477240682275,"Venezuela, RB"
1998,23503819.0,3885.80270436744,,,11.1499996185303,5.50085820743248,"Venezuela, RB"
1999,23966960.0,4087.9980709826,,,14.5299997329712,2.99254253967505,"Venezuela, RB"
2000,24427729.0,4795.39966770598,355.12823486,,13.9899997711182,4.01482922275033,"Venezuela, RB"
2001,24880203.0,4939.82947826047,391.32363892,,13.039999961853,3.01373527251422,"Venezuela, RB"
2002,25330929.0,3667.20019363107,285.61972046,,16.1700000762939,0.819216932585211,"Venezuela, RB"
2003,25782029.0,3243.36880476351,245.40156555,,16.7800006866455,1.88111477594963,"Venezuela, RB"
2004,26226927.0,4287.70714653739,293.39657593,,15.0699996948242,1.32410423693221,"Venezuela, RB"
2005,26668785.0,5456.19187881074,333.29962158,,10.6599998474121,1.68373298263524,"Venezuela, RB"
2006,27102081.0,6769.86841430715,553.40869141,,8.60999965667725,0.107915126446007,"Venezuela, RB"
2007,27525097.0,8369.23526829668,658.04937744,,7.28000020980835,1.89178854425804,"Venezuela, RB"
2008,27933833.0,11310.7781703527,731.87005615,,6.25,0.659274461280102,"Venezuela, RB"
2009,28327892.0,11641.7991472317,886.77722168,27.0809414466131,6.09999990463257,-0.344767329112459,"Venezuela, RB"
2010,28715022.0,13692.9149666211,945.9151001,28.1874647092039,7.1100001335144,0.402601927997842,"Venezuela, RB"
2011,29096159.0,10877.1123638816,786.34631348,26.0902123160955,6.90000009536743,1.85002511047875,"Venezuela, RB"
2012,29470426.0,12937.9275972349,837.42858887,21.0689956331878,6.59999990463257,1.3076789836805,"Venezuela, RB"
2013,29838021.0,12433.9807853398,697.52526855,40.6394275161588,7.53999996185303,0.57815873215477,"Venezuela, RB"
2014,30193258.0,15975.7293753361,698.91583252,62.168649979483,6.86499977111816,0.23530176692753,"Venezuela, RB"
2015,30529716.0,,663.17260742,121.738085297504,6.0770001411438,,"Venezuela, RB"
2016,30741464.0,,505.027771,254.948534781815,5.32000017166138,,"Venezuela, RB"
2017,30563433.0,,524.50366211,,5.05000019073486,,"Venezuela, RB"
2018,29825653.0,,464.04434204,,5.01999998092651,,"Venezuela, RB"
2019,28971683.0,,338.82537842,,5.09200000762939,,"Venezuela, RB"
2020,28490453.0,,,,7.53000020980835,,"Venezuela, RB"
2021,28199867.0,,,,6.47100019454956,,"Venezuela, RB"
