Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,43906019.0,,,,,,Vietnam
1973,44891281.0,,,,,,Vietnam
1974,45898698.0,,,,,,Vietnam
1975,46969616.0,,,,,,Vietnam
1976,48163573.0,,,,,,Vietnam
1977,49418150.0,,,,,,Vietnam
1978,50701458.0,,,,,,Vietnam
1979,51831389.0,,,,,,Vietnam
1980,52968270.0,,,,,,Vietnam
1981,54280394.0,,,,,,Vietnam
1982,55632153.0,,,,,,Vietnam
1983,57011444.0,,,,,,Vietnam
1984,58406863.0,,,,,,Vietnam
1985,59811313.0,235.652539858881,,,,-0.000567589726125444,Vietnam
1986,61221107.0,430.188501008969,,,,0.00015187979966611,Vietnam
1987,62630787.0,585.304937175943,,,,0.0282712448214878,Vietnam
1988,64037514.0,397.01436018572,,,,0.030207899995773,Vietnam
1989,65466361.0,96.1303618906514,,,,0.0646719015911437,Vietnam
1990,66912613.0,96.7192957412953,,,,2.78132276010011,Vietnam
1991,68358820.0,140.631004461734,,,2.12400007247925,3.90279679984311,Vietnam
1992,69788747.0,141.383685201224,,,1.93799996376038,4.80334777518942,Vietnam
1993,71176405.0,185.187122026908,,,1.9889999628067,7.02759256377697,Vietnam
1994,72501087.0,224.637094521393,,,1.94500005245209,11.9394828341112,Vietnam
1995,73759110.0,281.133604499166,,,1.90699994564056,8.58596585460392,Vietnam
1996,74946448.0,329.001189952993,,5.67499999999989,1.92999994754791,9.71308063712156,Vietnam
1997,76058603.0,352.93443979701,,3.20952606261374,2.86999988555908,8.2700967582097,Vietnam
1998,77128424.0,352.783068017119,,7.26619804400963,2.28999996185303,6.14121440264586,Vietnam
1999,78123713.0,367.156883682362,,4.11710235771737,2.32999992370605,4.92266345680124,Vietnam
2000,79001142.0,394.583136574358,18.91674423,-1.71033727851113,2.25999999046326,4.16392407955693,Vietnam
2001,79817777.0,409.497733008842,23.18782616,-0.431544511728152,2.75999999046326,3.97733546161917,Vietnam
2002,80642308.0,434.810292146332,19.65594101,3.83082838168469,2.11999988555908,3.99268705133996,Vietnam
2003,81475825.0,485.450909101852,22.37121964,3.23464817293924,2.25,3.6660122920956,Vietnam
2004,82311227.0,551.903505134912,28.7441864,7.75494748709602,2.14000010490417,3.54408107288199,Vietnam
2005,83142095.0,693.189841057927,35.03743744,8.2845724312867,2.09400010108948,3.39040364636363,Vietnam
2006,83951800.0,790.592516384921,42.29331589,7.41801715108469,2.08599996566772,3.61600090432522,Vietnam
2007,84762269.0,913.312331601755,49.50850296,8.34444889773838,2.02999997138977,8.65471771434805,Vietnam
2008,85597241.0,1158.10162735417,59.16986084,23.1154483474477,1.92700004577637,9.6630390545572,Vietnam
2009,86482923.0,1225.84501185537,64.43672943,6.71698269988629,1.74000000953674,7.16881987497989,Vietnam
2010,87411012.0,1684.01166437193,78.63555908,9.20746648778418,1.11000001430511,5.43473964019106,Vietnam
2011,88349117.0,1953.55697860752,89.58512878,18.6777322770706,1.0,4.3048747260148,Vietnam
2012,89301326.0,2190.23228396054,108.93997192,9.09470339557193,1.02999997138977,4.27832318137387,Vietnam
2013,90267739.0,2367.4995386408,119.52192688,6.59267475899191,1.32000005245209,4.16454480697667,Vietnam
2014,91235504.0,2558.7789242001,117.41460419,4.08455446637622,1.25999999046326,3.94086163508764,Vietnam
2015,92191398.0,2595.23497870737,117.86289215,0.631200905175718,1.85000002384186,4.93190747678242,Vietnam
2016,93126529.0,2760.71710527049,124.0594101,2.66824816969083,1.85000002384186,4.90089302179434,Vietnam
2017,94033048.0,2992.07174150097,140.16532898,3.52025688811619,1.87000000476837,5.01148686657965,Vietnam
2018,94914330.0,3267.22500852051,163.1509552,3.53962805942641,1.1599999666214,4.99828328892879,Vietnam
2019,95776716.0,3491.09127354876,180.71818542,2.79582367452244,1.67999994754791,4.82107504935645,Vietnam
2020,96648685.0,3586.34730171843,,3.22093436652514,2.09999990463257,4.55836180834684,Vietnam
2021,97468029.0,3756.48912117326,,1.83471554810462,2.38000011444092,4.27708063908642,Vietnam
