Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,76319.0,,,,,,Virgin Islands (U.S.)
1973,84121.0,,,,,,Virgin Islands (U.S.)
1974,89941.0,,,,,,Virgin Islands (U.S.)
1975,94484.0,,,,,,Virgin Islands (U.S.)
1976,96166.0,,,,,,Virgin Islands (U.S.)
1977,93203.0,,,,,,Virgin Islands (U.S.)
1978,95929.0,,,,,,Virgin Islands (U.S.)
1979,96183.0,,,,,,Virgin Islands (U.S.)
1980,99636.0,,,,,,Virgin Islands (U.S.)
1981,99853.0,,,,,,Virgin Islands (U.S.)
1982,100068.0,,,,,,Virgin Islands (U.S.)
1983,100348.0,,,,,,Virgin Islands (U.S.)
1984,100600.0,,,,,,Virgin Islands (U.S.)
1985,100760.0,,,,,,Virgin Islands (U.S.)
1986,100842.0,,,,,,Virgin Islands (U.S.)
1987,100901.0,,,,,,Virgin Islands (U.S.)
1988,100952.0,,,,,,Virgin Islands (U.S.)
1989,101041.0,,,,,,Virgin Islands (U.S.)
1990,103963.0,,,,,,Virgin Islands (U.S.)
1991,104807.0,,,,12.0159997940063,,Virgin Islands (U.S.)
1992,105712.0,,,,12.2749996185303,,Virgin Islands (U.S.)
1993,106578.0,,,,12.4399995803833,,Virgin Islands (U.S.)
1994,107318.0,,,,12.2519998550415,,Virgin Islands (U.S.)
1995,107818.0,,,,11.8319997787476,,Virgin Islands (U.S.)
1996,108095.0,,,,11.7340002059937,,Virgin Islands (U.S.)
1997,108357.0,,,,11.5430002212524,,Virgin Islands (U.S.)
1998,108537.0,,,,11.3000001907349,,Virgin Islands (U.S.)
1999,108599.0,,,,10.9230003356934,,Virgin Islands (U.S.)
2000,108642.0,,,,10.5,,Virgin Islands (U.S.)
2001,108549.0,,,,10.6000003814697,,Virgin Islands (U.S.)
2002,108509.0,30062.0225050457,,,10.8369998931885,,Virgin Islands (U.S.)
2003,108505.0,31731.2566241187,,,11.1639995574951,,Virgin Islands (U.S.)
2004,108466.0,35006.3614404514,,,10.8439998626709,,Virgin Islands (U.S.)
2005,108453.0,40828.7460927775,,,10.7690000534058,,Virgin Islands (U.S.)
2006,108369.0,41377.1466009652,,,10.2279996871948,,Virgin Islands (U.S.)
2007,108337.0,44158.5054044325,,,10.0240001678467,,Virgin Islands (U.S.)
2008,108397.0,39152.3750657306,,,10.1120004653931,,Virgin Islands (U.S.)
2009,108404.0,38753.1825393897,,,11.4060001373291,,Virgin Islands (U.S.)
2010,108357.0,39905.1284180994,,,11.5500001907349,,Virgin Islands (U.S.)
2011,108290.0,38997.1373164651,,,11.826000213623,,Virgin Islands (U.S.)
2012,108188.0,37795.3192590675,,,11.9099998474121,,Virgin Islands (U.S.)
2013,108041.0,34597.9766940328,,,12.4020004272461,,Virgin Islands (U.S.)
2014,107882.0,33045.3643795999,,,12.4750003814697,,Virgin Islands (U.S.)
2015,107712.0,34007.3529411765,,,12.2580003738403,,Virgin Islands (U.S.)
2016,107516.0,35324.9748874586,,,12.3540000915527,,Virgin Islands (U.S.)
2017,107281.0,35365.0693039774,,,12.0530004501343,,Virgin Islands (U.S.)
2018,107001.0,36653.8630480089,,,12.2449998855591,,Virgin Islands (U.S.)
2019,106669.0,38596.0307118282,,,12.3500003814697,,Virgin Islands (U.S.)
2020,106290.0,39552.1685953523,,,13.2550001144409,,Virgin Islands (U.S.)
2021,105870.0,,,,13.1730003356934,,Virgin Islands (U.S.)
