Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,,,,,,,West Bank and Gaza
1973,,,,,,,West Bank and Gaza
1974,,,,,,,West Bank and Gaza
1975,,,,,,,West Bank and Gaza
1976,,,,,,,West Bank and Gaza
1977,,,,,,,West Bank and Gaza
1978,,,,,,,West Bank and Gaza
1979,,,,,,,West Bank and Gaza
1980,,,,,,,West Bank and Gaza
1981,,,,,,,West Bank and Gaza
1982,,,,,,,West Bank and Gaza
1983,,,,,,,West Bank and Gaza
1984,,,,,,,West Bank and Gaza
1985,,,,,,,West Bank and Gaza
1986,,,,,,,West Bank and Gaza
1987,,,,,,,West Bank and Gaza
1988,,,,,,,West Bank and Gaza
1989,,,,,,,West Bank and Gaza
1990,1978248.0,,,,,,West Bank and Gaza
1991,2068845.0,,,,11.6680002212524,,West Bank and Gaza
1992,2163591.0,,,,11.3450002670288,,West Bank and Gaza
1993,2262676.0,,,,11.3330001831055,,West Bank and Gaza
1994,2366298.0,1201.58154213882,,,11.1789999008179,,West Bank and Gaza
1995,2474666.0,1326.56285737146,,,11.128999710083,3.73461679054466,West Bank and Gaza
1996,2587997.0,1317.46675131385,,,11.0550003051758,5.19709056780854,West Bank and Gaza
1997,2706518.0,1389.16497137651,,7.08700591205703,10.8400001525879,4.33533698600989,West Bank and Gaza
1998,2776568.0,1465.04605685868,,5.57964505838262,10.7209997177124,5.13725120968612,West Bank and Gaza
1999,2848431.0,1499.49217657019,,5.54439180368748,10.6389999389648,4.44188476235941,West Bank and Gaza
2000,2922153.0,1476.17185000238,,2.79819892435757,10.6300001144409,1.43744162248919,West Bank and Gaza
2001,2997784.0,1335.55319529359,,1.22278475878899,21.4899997711182,0.478966972250668,West Bank and Gaza
2002,3075373.0,1156.21747345769,,5.70951585976628,27.4599990844727,0.265481748129816,West Bank and Gaza
2003,3154969.0,1257.69857009689,,4.40303221730885,23.0,0.324395161290323,West Bank and Gaza
2004,3236626.0,1422.19088643544,,3.00417498638594,23.2099990844727,0.445786535161087,West Bank and Gaza
2005,3320396.0,1543.70141392774,,4.10725070715932,20.0200004577637,0.707064400959869,West Bank and Gaza
2006,3406334.0,1570.10439962728,,3.8423412562478,19.0100002288818,0.347548940784922,West Bank and Gaza
2007,3494496.0,1664.24571669276,,1.85974379351109,18.2800006866455,0.33694998022594,West Bank and Gaza
2008,3591977.0,2035.20234121766,,9.88999788691853,22.9099998474121,0.70458524841322,West Bank and Gaza
2009,3689099.0,2191.78178736868,,2.75393485083151,20.4500007629395,3.7160419011341,West Bank and Gaza
2010,3786161.0,2557.07562356699,,3.74915727597098,21.4200000762939,1.85860711452246,West Bank and Gaza
2011,3882986.0,2880.79843707909,,2.8772435849594,17.6000003814697,2.13515604683715,West Bank and Gaza
2012,3979998.0,3067.43872735614,,2.77908768282493,19.2000007629395,0.51591827025569,West Bank and Gaza
2013,4076708.0,3315.29753909282,,1.72439933626923,19.8899993896484,1.40253913684002,West Bank and Gaza
2014,4173398.0,3352.11259506043,,1.73298510037451,20.5300006866455,1.14163752860063,West Bank and Gaza
2015,4270092.0,3272.15432360708,,1.43161145810472,23.0,0.751035803856388,West Bank and Gaza
2016,4367088.0,3527.61382413178,,-0.219106604907305,23.9400005340576,1.92447798073354,West Bank and Gaza
2017,4454805.0,3620.36048715937,,0.212570934228834,25.6800003051758,1.14056698202946,West Bank and Gaza
2018,4569087.0,3562.33094270256,,-0.195107773730686,26.2600002288818,1.29446294401352,West Bank and Gaza
2019,4685306.0,3656.85827137011,,1.58018333639459,25.3400001525879,0.769720046510608,West Bank and Gaza
2020,4803269.0,3233.56863835858,,-0.735332001092242,25.8899993896484,0.513433766585376,West Bank and Gaza
2021,4922749.0,3663.96905468875,,1.23748102831382,26.3899993896484,1.41664131990076,West Bank and Gaza
