Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3843695351.0,993.090490679671,,,,0.422590281715877,World
1973,3920099706.0,1187.97136472307,,,,0.480108233049467,World
1974,3995972023.0,1343.24640016667,,,,0.49704257221267,World
1975,4070114517.0,1468.97737674996,,,,0.486831243623182,World
1976,4143194666.0,1568.68452974756,,,,0.342659741233691,World
1977,4215940807.0,1743.5691246008,,,,0.409787955499167,World
1978,4289914737.0,2017.88030338957,,,,0.432819329124128,World
1979,4365850756.0,2302.9214544875,,,,0.45253196041097,World
1980,4442440474.0,2551.88352241644,,,,0.515251169849723,World
1981,4520991254.0,2594.03376455995,,12.4424368936176,,0.637939500104013,World
1982,4602763792.0,2522.34762770751,,10.2217271376891,,0.602002303813316,World
1983,4684941826.0,2527.25981081724,,8.66927159808515,,0.477565653946555,World
1984,4766716805.0,2574.43431369803,,8.08032017255761,,0.510556229577096,World
1985,4850160867.0,2651.89759175904,,6.80756655768336,,0.364345859899083,World
1986,4936097368.0,3080.92281790257,,5.77811257038605,,0.569608415182499,World
1987,5024386163.0,3445.23923677663,,5.71011938486678,,0.850175422937762,World
1988,5113492328.0,3782.38372143632,,7.1134065293135,,0.902288189774065,World
1989,5202698711.0,3882.10379837443,,6.92390503711237,,1.03754170918892,World
1990,5293517142.0,4304.08636210701,,8.06346090938833,,1.09301079022415,World
1991,5382656065.0,4414.82705469522,,8.99693873494325,4.93554168964954,0.768437731641793,World
1992,5470276947.0,4645.15449239076,,7.63610852336971,5.08283887610468,0.741585804767899,World
1993,5556722537.0,4647.73902732869,,7.14458706876256,5.35163164126911,0.906373195964239,World
1994,5642128764.0,4940.82417538548,,10.2479355556119,5.61072524008804,1.00281238148376,World
1995,5726801833.0,5421.59537276161,,9.07738095238092,5.77761849456801,1.17451429969521,World
1996,5811624986.0,5461.77358810021,,6.52609569372578,5.8817119280017,1.31738516238522,World
1997,5896077736.0,5364.20078540048,,5.55412988949405,5.9209639978001,1.67619211857936,World
1998,5979730356.0,5275.56875810876,,5.09729149331443,6.09267539196444,2.49369459135439,World
1999,6062281732.0,5401.49785807072,,3.04194667094531,6.23393188831375,3.65548446248892,World
2000,6144322697.0,5507.4489274109,476.743247688793,3.43351563418762,6.07113133549315,4.60900919425521,World
2001,6226339538.0,5400.26349946652,489.496819067167,3.83657262052541,6.17967143067309,2.66063789528559,World
2002,6308092739.0,5535.40891099272,520.075209675755,2.90799857032208,6.42398098477563,2.13975297096703,World
2003,6389383352.0,6127.69930801665,583.785283898949,3.02504526252236,6.54129579955811,1.86054442646252,World
2004,6470821068.0,6818.89843158842,642.805641401121,3.51799903099597,6.41505940294809,2.22834622852042,World
2005,6552571570.0,7292.45271257738,681.804656835416,4.10725070715932,6.33733446787232,3.28040051204109,World
2006,6634935638.0,7804.16050561167,723.86951858428,4.26717463390267,6.0639050859488,4.2525993982538,World
2007,6717641730.0,8685.98696111953,793.122653133874,4.81023704342911,5.85083883376667,5.32604189430219,World
2008,6801408360.0,9427.54805691425,859.020187308721,8.94995335353386,5.8696229980023,3.79180838364233,World
2009,6885490816.0,8830.73039299608,869.382088723138,2.92856432701032,6.46084807709102,2.31923929175222,World
2010,6969631901.0,9556.54477786581,906.36368902481,3.34686866964991,6.34596602779779,2.84096934258699,World
2011,7053533350.0,10470.9877752081,980.094439624534,4.82239636013318,6.19189309085807,3.15493141666077,World
2012,7140895722.0,10572.9576676745,989.122916888528,3.72532666110647,6.13894178333617,2.65749008624788,World
2013,7229184551.0,10735.1290211119,1005.22128832062,2.62105001748115,6.11637099897571,2.67788073176841,World
2014,7317508753.0,10896.1450259007,1028.02799327892,2.34626865671643,5.98144753464193,2.38678720261755,World
2015,7404910892.0,10153.5813025003,987.27414162596,1.43431763373063,6.01094836214878,3.60686538011408,World
2016,7491934113.0,10206.892281587,1009.28404468588,1.55001641722147,6.00324653263312,3.5236862026678,World
2017,7578157615.0,10742.6504572914,1049.76902305308,2.19201010963043,5.87365723163504,2.66132603775795,World
2018,7661776338.0,11285.4976396404,1096.41454365023,2.43873655522938,5.69907720646562,1.05705808988808,World
2019,7742681934.0,11320.915884525,1115.00873033244,2.18690154543462,5.54316370137589,1.91670925431526,World
2020,7820981524.0,10883.0760474916,,1.92096800566845,6.89826495732717,1.41754125151258,World
2021,7888408686.0,12236.6157434985,,3.49505757399453,6.20181158321218,2.22004754709869,World
