Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,7215835.0,,,,,,"Yemen, Rep."
1973,7417736.0,,,,,,"Yemen, Rep."
1974,7630190.0,,,,,,"Yemen, Rep."
1975,7855657.0,,,,,,"Yemen, Rep."
1976,8094985.0,,,,,,"Yemen, Rep."
1977,8348182.0,,,,,,"Yemen, Rep."
1978,8615301.0,,,,,,"Yemen, Rep."
1979,8899922.0,,,,,,"Yemen, Rep."
1980,9204938.0,,,,,,"Yemen, Rep."
1981,9529105.0,,,,,,"Yemen, Rep."
1982,9872292.0,,,,,,"Yemen, Rep."
1983,10237391.0,,,,,,"Yemen, Rep."
1984,10625687.0,,,,,,"Yemen, Rep."
1985,11036918.0,,,,,,"Yemen, Rep."
1986,11465444.0,,,,,,"Yemen, Rep."
1987,11915563.0,,,,,,"Yemen, Rep."
1988,12387238.0,,,,,,"Yemen, Rep."
1989,12872362.0,,,,,,"Yemen, Rep."
1990,13375121.0,422.210702169172,,,,-2.31799603818535,"Yemen, Rep."
1991,13895851.0,426.772737443023,,36.0,8.34200000762939,4.76361478890832,"Yemen, Rep."
1992,14433771.0,447.814364313836,,29.4117647058824,8.32499980926514,11.1082747621609,"Yemen, Rep."
1993,14988047.0,358.170121487263,,35.752298016449,8.36499977111816,16.8210596072152,"Yemen, Rep."
1994,15553171.0,267.942533207646,,49.3941553813254,8.34000015258789,0.379137272149153,"Yemen, Rep."
1995,16103339.0,264.466190859543,,55.0811068702292,8.96700000762939,-5.1117821036544,"Yemen, Rep."
1996,16614326.0,348.234728924103,,30.7337332718043,9.59500026702881,-1.03877063426039,"Yemen, Rep."
1997,17108681.0,399.712718029144,,2.17672667372645,10.206000328064,-2.02528095056819,"Yemen, Rep."
1998,17608133.0,359.217054747933,,5.97650852141862,10.8140001296997,-3.46869700700935,"Yemen, Rep."
1999,18114552.0,421.821225451826,,8.66021949364344,11.460000038147,-4.02559707932253,"Yemen, Rep."
2000,18628700.0,518.14867272789,25.82774544,4.58999999999981,11.5579996109009,0.0662994282572368,"Yemen, Rep."
2001,19143457.0,515.139982017881,27.19543648,11.9115912929855,11.7180004119873,1.57318921559631,"Yemen, Rep."
2002,19660653.0,543.960980933471,28.01715851,12.2385339389711,11.8450002670288,1.06877956877249,"Yemen, Rep."
2003,20188799.0,583.391150379462,35.71838379,10.8323607023241,11.9770002365112,-0.756556733186567,"Yemen, Rep."
2004,20733406.0,669.103361915005,39.15239334,12.5150951495208,12.1029996871948,1.03496112054364,"Yemen, Rep."
2005,21320671.0,785.451112969402,43.37588501,11.8112639374949,12.210000038147,-1.80371741400597,"Yemen, Rep."
2006,21966298.0,867.782936666331,51.00078583,10.8447986914257,12.371000289917,5.88065921349728,"Yemen, Rep."
2007,22641538.0,956.230635225937,59.23065186,7.90511778988729,12.4980001449585,4.2368473384621,"Yemen, Rep."
2008,23329004.0,1153.53623162633,70.82818604,18.9762574318077,12.6230001449585,5.77696327441119,"Yemen, Rep."
2009,24029589.0,1045.805407835,66.81106567,5.40776098077526,12.75,0.514120933823452,"Yemen, Rep."
2010,24743946.0,1249.06308529856,68.86593628,11.1748338605043,12.826000213623,0.610357927076417,"Yemen, Rep."
2011,25475610.0,1284.61763539287,65.56300354,19.5435617131149,13.2489995956421,-1.58233916831705,"Yemen, Rep."
2012,26223391.0,1349.99029491959,75.14369965,9.88538714484848,13.164999961853,-0.0402221923159827,"Yemen, Rep."
2013,26984002.0,1497.7479410273,79.7281189,10.9684421500194,13.2639999389648,-0.330496410064222,"Yemen, Rep."
2014,27753304.0,1557.60140563182,81.05194855,8.10472583623948,13.4700002670288,-0.539237328374498,"Yemen, Rep."
2015,28516545.0,1488.41648208462,73.17674255,,13.7829999923706,-0.0363882480868743,"Yemen, Rep."
2016,29274002.0,1069.81712249613,,,13.4069995880127,-1.79131193116635,"Yemen, Rep."
2017,30034389.0,893.716572852695,,,13.25,-1.00531881251249,"Yemen, Rep."
2018,30790513.0,701.714877767947,,,13.076000213623,-1.30563838914082,"Yemen, Rep."
2019,31546691.0,,,,12.9779996871948,,"Yemen, Rep."
2020,32284046.0,,,,13.5749998092651,,"Yemen, Rep."
2021,32981641.0,,,,13.8870000839233,,"Yemen, Rep."
