Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4523581.0,422.389758404743,,,,1.51775700934579,Zambia
1973,4653289.0,487.550694941639,,,,1.4104905232668,Zambia
1974,4789038.0,651.870654050633,,,,1.21723346324275,Zambia
1975,4931249.0,531.035173171476,,,,1.45112016293279,Zambia
1976,5079672.0,540.726701589056,,,,1.12862120975711,Zambia
1977,5233292.0,474.462346072033,,,,1.73016512283528,Zambia
1978,5391355.0,521.8307827995,,,,1.37201759452615,Zambia
1979,5553462.0,598.815657692445,,,,1.05848744549692,Zambia
1980,5720438.0,669.441745544659,,,,1.61117639378509,Zambia
1981,5897481.0,656.664543161168,,,,-0.991564813220864,Zambia
1982,6090818.0,655.868846808061,,,,0.976274580702584,Zambia
1983,6291070.0,511.249706696586,,,,0.799052903472687,Zambia
1984,6488072.0,422.227811967013,,,,0.627864530521192,Zambia
1985,6686449.0,341.1763201239,,,,2.25752626592571,Zambia
1986,6890967.0,241.177866321043,,55.8282208588966,,1.7028202912861,Zambia
1987,7095185.0,319.920444194493,,47.0472440944876,,3.2820905212391,Zambia
1988,7294325.0,509.110090081169,,51.0040160642574,,2.51237712098109,Zambia
1989,7491275.0,533.772646333157,,123.40425531915,,4.09389429733315,Zambia
1990,7686401.0,427.406453462986,,107.023809523809,,6.17006352567496,Zambia
1991,7880466.0,428.766820761764,,97.6423231742383,18.8999996185303,1.01512856670323,Zambia
1992,8074337.0,394.07839773216,,165.70652700999,19.4599990844727,1.41423966402371,Zambia
1993,8270917.0,395.752714403601,,183.312041464393,19.7000007629395,9.6051681541433,Zambia
1994,8474216.0,431.502777867425,,54.6013218413016,18.6790008544922,1.09389809458444,Zambia
1995,8684135.0,438.393360059568,,34.9295874166667,16.8579998016357,2.81056247696779,Zambia
1996,8902019.0,404.090461051607,,43.0730979982882,15.3000001907349,3.53328309110399,Zambia
1997,9133156.0,471.171403652105,,24.4187215689412,13.6379995346069,4.81957731943108,Zambia
1998,9372430.0,377.456331604857,,24.4584563516656,12.0,5.59688353716625,Zambia
1999,9621238.0,353.833048984903,,26.7876966790029,12.41100025177,4.75867080091179,Zambia
2000,9891136.0,364.031294255032,24.72463989,26.0304117888121,12.9300003051758,3.37991427340519,Zambia
2001,10191964.0,401.736209833483,25.0923233,21.3937821792546,13.5030002593994,3.5413523819194,Zambia
2002,10508294.0,399.098624207728,25.96962738,22.2333446430947,14.1309995651245,7.11494944969411,Zambia
2003,10837973.0,452.283810936391,31.30976868,21.4015783901995,14.6859998703003,7.07897481402152,Zambia
2004,11188040.0,556.04714273266,37.97074127,17.9677891087286,15.293999671936,5.85171925237132,Zambia
2005,11564870.0,720.446504729389,48.21477509,18.324439701174,15.8999996185303,4.28403218909524,Zambia
2006,11971567.0,1065.59641685012,61.57552338,9.01957247226486,13.2349996566772,4.82712872237459,Zambia
2007,12402073.0,1133.43615831521,48.94664383,10.6573496000153,10.576000213623,9.41811167277731,Zambia
2008,12852966.0,1393.51949098012,55.93905258,12.4455793463192,7.92999982833862,5.24050811284723,Zambia
2009,13318087.0,1150.94174590972,51.35781097,13.3952546325895,10.5600004196167,4.53277977632725,Zambia
2010,13792086.0,1469.36145002684,55.3928299,8.50176133365265,13.1899995803833,8.53319643791576,Zambia
2011,14265814.0,1644.45683054452,57.88014603,6.42939681072336,10.585000038147,4.72516156867912,Zambia
2012,14744658.0,1729.64747097057,69.29530334,6.57589970757695,7.84999990463257,6.78938124085044,Zambia
2013,15234976.0,1840.32055335789,88.12820435,6.97767605490317,8.00500011444092,7.48932505567266,Zambia
2014,15737793.0,1724.57621968232,67.49678802,7.80687553566328,8.13300037384033,5.55542791808588,Zambia
2015,16248230.0,1307.90964916032,59.33764267,10.1105928909618,8.27999973297119,7.44741668984248,Zambia
2016,16767761.0,1249.92314348406,57.36268997,17.8697300795268,8.39299964904785,3.16251974813899,Zambia
2017,17298054.0,1495.75213841021,67.19523621,6.57731154205652,8.52000045776367,4.28050117059574,Zambia
2018,17835893.0,1475.20453821416,76.31442261,7.49457192728511,5.03000020980835,1.55231396923024,Zambia
2019,18380477.0,1268.12094056241,69.32437897,9.15031644316299,5.53999996185303,2.35091904331731,Zambia
2020,18927715.0,956.831363865706,,15.7325851421273,6.03000020980835,1.35393121611376,Zambia
2021,19473125.0,1137.34363269164,,22.0212342935964,6.21999979019165,-3.71634599397167,Zambia
